source name	characteristics[organism]	characteristics[organism part]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[instrument]	comment[label]	comment[cleavage agent details]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf template]	factor value[submitted supernatant sample]
CHO perfusion supernatant sample A3	Cricetulus griseus	cell suspension culture	1	FE_CHO_A3_50min5-45_3of15_20160205_r2	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	1	2	FE_CHO_A3_50min5-45_3of15_20160205_r2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	A3
CHO perfusion supernatant sample G2	Cricetulus griseus	cell suspension culture	1	FE_CHO_G2_50min5-45_4of15_20160205_r3	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	1	3	FE_CHO_G2_50min5-45_4of15_20160205_r3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	G2
CHO perfusion supernatant sample D2	Cricetulus griseus	cell suspension culture	1	FE_CHO_D2_50min5-45_3of15_20160205_r2	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	1	2	FE_CHO_D2_50min5-45_3of15_20160205_r2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	D2
CHO perfusion supernatant sample C1	Cricetulus griseus	cell suspension culture	1	FE_CHO_C1_50min5-45_4of15_20160205_r3	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	1	3	FE_CHO_C1_50min5-45_4of15_20160205_r3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	C1
CHO perfusion supernatant sample F1	Cricetulus griseus	cell suspension culture	1	FE_CHO_F1_50min5-45_4of15_20160205_r3	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	1	3	FE_CHO_F1_50min5-45_4of15_20160205_r3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	F1
CHO perfusion supernatant sample F1	Cricetulus griseus	cell suspension culture	1	FE_CHO_F1_50min5-45_2of15_20160205_r1	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	1	1	FE_CHO_F1_50min5-45_2of15_20160205_r1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	F1
CHO perfusion supernatant sample E2	Cricetulus griseus	cell suspension culture	1	FE_CHO_E2_50min5-45_4of15_20160205_r3	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	1	3	FE_CHO_E2_50min5-45_4of15_20160205_r3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	E2
CHO perfusion supernatant sample G1	Cricetulus griseus	cell suspension culture	1	FE_CHO_G1_50min5-45_3of15_20160205_r2	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	1	2	FE_CHO_G1_50min5-45_3of15_20160205_r2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	G1
CHO perfusion supernatant sample A2	Cricetulus griseus	cell suspension culture	1	FE_CHO_A2_50min5-45_4of15_20160205_r3	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	1	3	FE_CHO_A2_50min5-45_4of15_20160205_r3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	A2
CHO perfusion supernatant sample C2	Cricetulus griseus	cell suspension culture	1	FE_CHO_C2_50min5-45_3of15_20160205_r2	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	1	2	FE_CHO_C2_50min5-45_3of15_20160205_r2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	C2
CHO perfusion supernatant sample H2	Cricetulus griseus	cell suspension culture	1	FE_CHO_H2_50min5-45_3of15_20160205_r2	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	1	2	FE_CHO_H2_50min5-45_3of15_20160205_r2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	H2
CHO perfusion supernatant sample B1	Cricetulus griseus	cell suspension culture	1	FE_CHO_B1_50min5-45_4of15_20160205_r3	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	1	3	FE_CHO_B1_50min5-45_4of15_20160205_r3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	B1
CHO perfusion supernatant sample B2	Cricetulus griseus	cell suspension culture	1	FE_CHO_B2_50min5-45_3of15_20160205_r2	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	1	2	FE_CHO_B2_50min5-45_3of15_20160205_r2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	B2
CHO perfusion supernatant sample D1	Cricetulus griseus	cell suspension culture	1	FE_CHO_D1_50min5-45_3of15_20160205_r2	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	1	2	FE_CHO_D1_50min5-45_3of15_20160205_r2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	D1
CHO perfusion supernatant sample A3	Cricetulus griseus	cell suspension culture	1	FE_CHO_A3_50min5-45_4of15_20160205_r3	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	1	3	FE_CHO_A3_50min5-45_4of15_20160205_r3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	A3
CHO perfusion supernatant sample G2	Cricetulus griseus	cell suspension culture	1	FE_CHO_G2_50min5-45_2of15_20160205_r1	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	1	1	FE_CHO_G2_50min5-45_2of15_20160205_r1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	G2
CHO perfusion supernatant sample B1	Cricetulus griseus	cell suspension culture	1	FE_CHO_B1_50min5-45_3of15_20160205_r2	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	1	2	FE_CHO_B1_50min5-45_3of15_20160205_r2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	B1
CHO perfusion supernatant sample E1	Cricetulus griseus	cell suspension culture	1	FE_CHO_E1_50min5-45_3of15_20160205_r2	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	1	2	FE_CHO_E1_50min5-45_3of15_20160205_r2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	E1
CHO perfusion supernatant sample B2	Cricetulus griseus	cell suspension culture	1	FE_CHO_B2_50min5-45_4of15_20160205_r3	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	1	3	FE_CHO_B2_50min5-45_4of15_20160205_r3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	B2
CHO perfusion supernatant sample H1	Cricetulus griseus	cell suspension culture	1	FE_CHO_H1_50min5-45_3of15_20160205_r2	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	1	2	FE_CHO_H1_50min5-45_3of15_20160205_r2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	H1
CHO perfusion supernatant sample D1	Cricetulus griseus	cell suspension culture	1	FE_CHO_D1_50min5-45_2of15_20160205_r1	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	1	1	FE_CHO_D1_50min5-45_2of15_20160205_r1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	D1
CHO perfusion supernatant sample G1	Cricetulus griseus	cell suspension culture	1	FE_CHO_G1_50min5-45_2of15_20160205_r1	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	1	1	FE_CHO_G1_50min5-45_2of15_20160205_r1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	G1
CHO perfusion supernatant sample C2	Cricetulus griseus	cell suspension culture	1	FE_CHO_C2_50min5-45_2of15_20160205_r1	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	1	1	FE_CHO_C2_50min5-45_2of15_20160205_r1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	C2
CHO perfusion supernatant sample G2	Cricetulus griseus	cell suspension culture	1	FE_CHO_G2_50min5-45_3of15_20160205_r2	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	1	2	FE_CHO_G2_50min5-45_3of15_20160205_r2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	G2
CHO perfusion supernatant sample G1	Cricetulus griseus	cell suspension culture	1	FE_CHO_G1_50min5-45_4of15_20160205_r3	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	1	3	FE_CHO_G1_50min5-45_4of15_20160205_r3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	G1
CHO perfusion supernatant sample H1	Cricetulus griseus	cell suspension culture	1	FE_CHO_H1_50min5-45_4of15_20160205_r3	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	1	3	FE_CHO_H1_50min5-45_4of15_20160205_r3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	H1
CHO perfusion supernatant sample E1	Cricetulus griseus	cell suspension culture	1	FE_CHO_E1_50min5-45_2of15_20160205_r1	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	1	1	FE_CHO_E1_50min5-45_2of15_20160205_r1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	E1
CHO perfusion supernatant sample A3	Cricetulus griseus	cell suspension culture	1	FE_CHO_A3_50min5-45_2of15_20160205_r1	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	1	1	FE_CHO_A3_50min5-45_2of15_20160205_r1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	A3
CHO perfusion supernatant sample F1	Cricetulus griseus	cell suspension culture	1	FE_CHO_F1_50min5-45_3of15_20160205_r2	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	1	2	FE_CHO_F1_50min5-45_3of15_20160205_r2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	F1
CHO perfusion supernatant sample C1	Cricetulus griseus	cell suspension culture	1	FE_CHO_C1_50min5-45_3of15_20160205_r2	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	1	2	FE_CHO_C1_50min5-45_3of15_20160205_r2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	C1
CHO perfusion supernatant sample F2	Cricetulus griseus	cell suspension culture	1	FE_CHO_F2_50min5-45_2of15_20160205_r1	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	1	1	FE_CHO_F2_50min5-45_2of15_20160205_r1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	F2
CHO perfusion supernatant sample B2	Cricetulus griseus	cell suspension culture	1	FE_CHO_B2_50min5-45_2of15_20160205_r1	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	1	1	FE_CHO_B2_50min5-45_2of15_20160205_r1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	B2
CHO perfusion supernatant sample A2	Cricetulus griseus	cell suspension culture	1	FE_CHO_A2_50min5-45_2of15_20160205_r1	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	1	1	FE_CHO_A2_50min5-45_2of15_20160205_r1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	A2
CHO perfusion supernatant sample E1	Cricetulus griseus	cell suspension culture	1	FE_CHO_E1_50min5-45_4of15_20160205_r3	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	1	3	FE_CHO_E1_50min5-45_4of15_20160205_r3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	E1
CHO perfusion supernatant sample A2	Cricetulus griseus	cell suspension culture	1	FE_CHO_A2_50min5-45_3of15_20160205_r2	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	1	2	FE_CHO_A2_50min5-45_3of15_20160205_r2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	A2
CHO perfusion supernatant sample E2	Cricetulus griseus	cell suspension culture	1	FE_CHO_E2_50min5-45_2of15_20160205_r1	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	1	1	FE_CHO_E2_50min5-45_2of15_20160205_r1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	E2
CHO perfusion supernatant sample A1	Cricetulus griseus	cell suspension culture	1	FE_CHO_A1_50min5-45_2of15_20160205_r1	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	1	1	FE_CHO_A1_50min5-45_2of15_20160205_r1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	A1
CHO perfusion supernatant sample C1	Cricetulus griseus	cell suspension culture	1	FE_CHO_C1_50min5-45_2of15_20160205_r1	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	1	1	FE_CHO_C1_50min5-45_2of15_20160205_r1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	C1
CHO perfusion supernatant sample C2	Cricetulus griseus	cell suspension culture	1	FE_CHO_C2_50min5-45_4of15_20160205_r3	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	1	3	FE_CHO_C2_50min5-45_4of15_20160205_r3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	C2
CHO perfusion supernatant sample F2	Cricetulus griseus	cell suspension culture	1	FE_CHO_F2_50min5-45_3of15_20160205_r2	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	1	2	FE_CHO_F2_50min5-45_3of15_20160205_r2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	F2
CHO perfusion supernatant sample H1	Cricetulus griseus	cell suspension culture	1	FE_CHO_H1_50min5-45_2of15_20160205_r1	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	1	1	FE_CHO_H1_50min5-45_2of15_20160205_r1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	H1
