source name	characteristics[organism]	characteristics[organism part]	characteristics[cell line]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[instrument]	comment[label]	comment[cleavage agent details]	comment[modification parameters]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf template]	factor value[submitted TMT set]
differentiated MonoMac6 submitted TMT set 2	Homo sapiens	cell culture	MonoMac6	1	JLEOIB_20160324_P2_Fr09	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=TMT 6-plex;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	9	1	JLEOIB_20160324_P2_Fr09.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	P2
differentiated MonoMac6 submitted TMT set 3	Homo sapiens	cell culture	MonoMac6	1	JLEOIB_20160324_P3_Fr06	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=TMT 6-plex;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	6	1	JLEOIB_20160324_P3_Fr06.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	P3
differentiated MonoMac6 submitted TMT set 1	Homo sapiens	cell culture	MonoMac6	1	JLEOIB_20160324_P1_Fr06	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=TMT 6-plex;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	6	1	JLEOIB_20160324_P1_Fr06.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	P1
differentiated MonoMac6 submitted TMT set 3	Homo sapiens	cell culture	MonoMac6	1	JLEOIB_20160324_P3_Fr08	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=TMT 6-plex;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	8	1	JLEOIB_20160324_P3_Fr08.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	P3
differentiated MonoMac6 submitted TMT set 4	Homo sapiens	cell culture	MonoMac6	1	JLEOIB_20160324_P4_Fr01	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=TMT 6-plex;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	1	1	JLEOIB_20160324_P4_Fr01.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	P4
differentiated MonoMac6 submitted TMT set 1	Homo sapiens	cell culture	MonoMac6	1	JLEOIB_20160324_P1_Fr02	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=TMT 6-plex;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	2	1	JLEOIB_20160324_P1_Fr02.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	P1
differentiated MonoMac6 submitted TMT set 1	Homo sapiens	cell culture	MonoMac6	1	JLEOIB_20160324_P1_Fr08	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=TMT 6-plex;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	8	1	JLEOIB_20160324_P1_Fr08.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	P1
differentiated MonoMac6 submitted TMT set 4	Homo sapiens	cell culture	MonoMac6	1	JLEOIB_20160324_P4_Fr08	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=TMT 6-plex;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	8	1	JLEOIB_20160324_P4_Fr08.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	P4
differentiated MonoMac6 submitted TMT set 1	Homo sapiens	cell culture	MonoMac6	1	JLEOIB_20160324_P1_Fr01	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=TMT 6-plex;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	1	1	JLEOIB_20160324_P1_Fr01.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	P1
differentiated MonoMac6 submitted TMT set 2	Homo sapiens	cell culture	MonoMac6	1	JLEOIB_20160324_P2_Fr11	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=TMT 6-plex;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	11	1	JLEOIB_20160324_P2_Fr11.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	P2
differentiated MonoMac6 submitted TMT set 2	Homo sapiens	cell culture	MonoMac6	1	JLEOIB_20160324_P2_Fr05	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=TMT 6-plex;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	5	1	JLEOIB_20160324_P2_Fr05.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	P2
differentiated MonoMac6 submitted TMT set 1	Homo sapiens	cell culture	MonoMac6	1	JLEOIB_20160324_P1_Fr04	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=TMT 6-plex;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	4	1	JLEOIB_20160324_P1_Fr04.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	P1
differentiated MonoMac6 submitted TMT set 4	Homo sapiens	cell culture	MonoMac6	1	JLEOIB_20160324_P4_Fr11	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=TMT 6-plex;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	11	1	JLEOIB_20160324_P4_Fr11.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	P4
differentiated MonoMac6 submitted TMT set 3	Homo sapiens	cell culture	MonoMac6	1	JLEOIB_20160324_P3_Fr03	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=TMT 6-plex;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	3	1	JLEOIB_20160324_P3_Fr03.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	P3
differentiated MonoMac6 submitted TMT set 4	Homo sapiens	cell culture	MonoMac6	1	JLEOIB_20160324_P4_Fr04	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=TMT 6-plex;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	4	1	JLEOIB_20160324_P4_Fr04.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	P4
differentiated MonoMac6 submitted TMT set 2	Homo sapiens	cell culture	MonoMac6	1	JLEOIB_20160324_P2_Fr01	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=TMT 6-plex;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	1	1	JLEOIB_20160324_P2_Fr01.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	P2
differentiated MonoMac6 submitted TMT set 4	Homo sapiens	cell culture	MonoMac6	1	JLEOIB_20160324_P4_Fr03	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=TMT 6-plex;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	3	1	JLEOIB_20160324_P4_Fr03.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	P4
differentiated MonoMac6 submitted TMT set 3	Homo sapiens	cell culture	MonoMac6	1	JLEOIB_20160324_P3_Fr01	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=TMT 6-plex;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	1	1	JLEOIB_20160324_P3_Fr01.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	P3
differentiated MonoMac6 submitted TMT set 3	Homo sapiens	cell culture	MonoMac6	1	JLEOIB_20160324_P3_Fr04	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=TMT 6-plex;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	4	1	JLEOIB_20160324_P3_Fr04.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	P3
differentiated MonoMac6 submitted TMT set 1	Homo sapiens	cell culture	MonoMac6	1	JLEOIB_20160324_P1_Fr05	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=TMT 6-plex;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	5	1	JLEOIB_20160324_P1_Fr05.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	P1
differentiated MonoMac6 submitted TMT set 4	Homo sapiens	cell culture	MonoMac6	1	JLEOIB_20160324_P4_Fr07	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=TMT 6-plex;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	7	1	JLEOIB_20160324_P4_Fr07.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	P4
differentiated MonoMac6 submitted TMT set 1	Homo sapiens	cell culture	MonoMac6	1	JLEOIB_20160324_P1_Fr09	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=TMT 6-plex;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	9	1	JLEOIB_20160324_P1_Fr09.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	P1
differentiated MonoMac6 submitted TMT set 3	Homo sapiens	cell culture	MonoMac6	1	JLEOIB_20160324_P3_Fr05	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=TMT 6-plex;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	5	1	JLEOIB_20160324_P3_Fr05.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	P3
differentiated MonoMac6 submitted TMT set 3	Homo sapiens	cell culture	MonoMac6	1	JLEOIB_20160324_P3_Fr10	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=TMT 6-plex;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	10	1	JLEOIB_20160324_P3_Fr10.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	P3
differentiated MonoMac6 submitted TMT set 4	Homo sapiens	cell culture	MonoMac6	1	JLEOIB_20160324_P4_Fr02	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=TMT 6-plex;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	2	1	JLEOIB_20160324_P4_Fr02.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	P4
differentiated MonoMac6 submitted TMT set 3	Homo sapiens	cell culture	MonoMac6	1	JLEOIB_20160324_P3_Fr11	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=TMT 6-plex;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	11	1	JLEOIB_20160324_P3_Fr11.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	P3
differentiated MonoMac6 submitted TMT set 2	Homo sapiens	cell culture	MonoMac6	1	JLEOIB_20160324_P2_Fr07	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=TMT 6-plex;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	7	1	JLEOIB_20160324_P2_Fr07.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	P2
differentiated MonoMac6 submitted TMT set 2	Homo sapiens	cell culture	MonoMac6	1	JLEOIB_20160324_P2_Fr12	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=TMT 6-plex;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	12	1	JLEOIB_20160324_P2_Fr12.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	P2
differentiated MonoMac6 submitted TMT set 2	Homo sapiens	cell culture	MonoMac6	1	JLEOIB_20160324_P2_Fr08	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=TMT 6-plex;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	8	1	JLEOIB_20160324_P2_Fr08.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	P2
differentiated MonoMac6 submitted TMT set 3	Homo sapiens	cell culture	MonoMac6	1	JLEOIB_20160324_P3_Fr07	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=TMT 6-plex;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	7	1	JLEOIB_20160324_P3_Fr07.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	P3
differentiated MonoMac6 submitted TMT set 2	Homo sapiens	cell culture	MonoMac6	1	JLEOIB_20160324_P2_Fr03	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=TMT 6-plex;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	3	1	JLEOIB_20160324_P2_Fr03.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	P2
differentiated MonoMac6 submitted TMT set 3	Homo sapiens	cell culture	MonoMac6	1	JLEOIB_20160324_P3_Fr12	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=TMT 6-plex;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	12	1	JLEOIB_20160324_P3_Fr12.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	P3
differentiated MonoMac6 submitted TMT set 4	Homo sapiens	cell culture	MonoMac6	1	JLEOIB_20160324_P4_Fr05	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=TMT 6-plex;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	5	1	JLEOIB_20160324_P4_Fr05.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	P4
differentiated MonoMac6 submitted TMT set 2	Homo sapiens	cell culture	MonoMac6	1	JLEOIB_20160324_P2_Fr02	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=TMT 6-plex;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	2	1	JLEOIB_20160324_P2_Fr02.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	P2
differentiated MonoMac6 submitted TMT set 1	Homo sapiens	cell culture	MonoMac6	1	JLEOIB_20160324_P1_Fr11	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=TMT 6-plex;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	11	1	JLEOIB_20160324_P1_Fr11.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	P1
differentiated MonoMac6 submitted TMT set 1	Homo sapiens	cell culture	MonoMac6	1	JLEOIB_20160324_P1_Fr10	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=TMT 6-plex;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	10	1	JLEOIB_20160324_P1_Fr10.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	P1
