source name	characteristics[organism]	characteristics[organism part]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[instrument]	comment[label]	comment[cleavage agent details]	comment[modification parameters]	comment[modification parameters]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf template]	factor value[sample material]	factor value[solubilization treatment]
Native silk urea 2	Larinioides sclopetarius	major ampullate silk fiber	2	Native_Silk_Urea_2	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	1	1	Native_Silk_Urea_2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	major ampullate silk fiber	8 M urea
Native silk urea 3	Larinioides sclopetarius	major ampullate silk fiber	3	Native_Silk_Urea_3	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	1	1	Native_Silk_Urea_3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	major ampullate silk fiber	8 M urea
MA1 2 M urea	Larinioides sclopetarius	major ampullate silk fiber	1	MA1_2Murea	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	1	1	MA1_2Murea.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	formic-acid-resolubilized major ampullate silk	2 M urea
MA1 4 M urea	Larinioides sclopetarius	major ampullate silk fiber	1	MA1_4Murea	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	1	1	MA1_4Murea.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	formic-acid-resolubilized major ampullate silk	4 M urea
MA1 8 M urea	Larinioides sclopetarius	major ampullate silk fiber	1	MA1_8Murea	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	1	1	MA1_8Murea.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	formic-acid-resolubilized major ampullate silk	8 M urea
MA2 2 M urea	Larinioides sclopetarius	major ampullate silk fiber	2	MA2_2Murea	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	1	1	MA2_2Murea.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	formic-acid-resolubilized major ampullate silk	2 M urea
MA2 4 M urea	Larinioides sclopetarius	major ampullate silk fiber	2	MA2_4Murea	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	1	1	MA2_4Murea.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	formic-acid-resolubilized major ampullate silk	4 M urea
MA2 8 M urea	Larinioides sclopetarius	major ampullate silk fiber	2	MA2_8Murea	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	1	1	MA2_8Murea.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	formic-acid-resolubilized major ampullate silk	8 M urea
silk sample 7	Larinioides sclopetarius	major ampullate silk fiber	7	silk_sample_7	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	1	1	silk_sample_7.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	major ampullate silk fiber	not available
silk sample 8	Larinioides sclopetarius	major ampullate silk fiber	8	silk_sample_8	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	1	1	silk_sample_8.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	major ampullate silk fiber	not available
silk sample 9	Larinioides sclopetarius	major ampullate silk fiber	9	silk_sample_9	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	1	1	silk_sample_9.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	major ampullate silk fiber	not available
silk sample 10	Larinioides sclopetarius	major ampullate silk fiber	10	silk_sample_10	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	1	1	silk_sample_10.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	major ampullate silk fiber	not available
silk sample 11	Larinioides sclopetarius	major ampullate silk fiber	11	silk_sample_11	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	1	1	silk_sample_11.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	major ampullate silk fiber	not available
silk sample 12	Larinioides sclopetarius	major ampullate silk fiber	12	silk_sample_12	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	1	1	silk_sample_12.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	major ampullate silk fiber	not available
silk sample 13	Larinioides sclopetarius	major ampullate silk fiber	13	silk_sample_13	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	1	1	silk_sample_13.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	major ampullate silk fiber	not available
silk sample 14	Larinioides sclopetarius	major ampullate silk fiber	14	silk_sample_14	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	1	1	silk_sample_14.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	major ampullate silk fiber	not available
silk sample 15	Larinioides sclopetarius	major ampullate silk fiber	15	silk_sample_15	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	1	1	silk_sample_15.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	major ampullate silk fiber	not available
