source name	characteristics[organism]	characteristics[organism part]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[instrument]	comment[label]	comment[cleavage agent details]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf template]	factor value[raw acquisition series]
pooled human plasma TMT sample (Fusion_170109)	Homo sapiens	blood plasma	1	Fusion_170109_70	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion;AC=MS:1002416	NT=TMT 10-plex;AC=MS:1002010	NT=Trypsin;AC=MS:1001251	70	1	Fusion_170109_70.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	Fusion_170109
pooled human plasma TMT sample (Fusion_170109)	Homo sapiens	blood plasma	1	Fusion_170109_77	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion;AC=MS:1002416	NT=TMT 10-plex;AC=MS:1002010	NT=Trypsin;AC=MS:1001251	77	1	Fusion_170109_77.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	Fusion_170109
pooled human plasma TMT sample (Fusion_170109)	Homo sapiens	blood plasma	1	Fusion_170109_79	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion;AC=MS:1002416	NT=TMT 10-plex;AC=MS:1002010	NT=Trypsin;AC=MS:1001251	79	1	Fusion_170109_79.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	Fusion_170109
pooled human plasma TMT sample (Fusion_170109)	Homo sapiens	blood plasma	1	Fusion_170109_80	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion;AC=MS:1002416	NT=TMT 10-plex;AC=MS:1002010	NT=Trypsin;AC=MS:1001251	80	1	Fusion_170109_80.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	Fusion_170109
pooled human plasma TMT sample (Fusion_170109)	Homo sapiens	blood plasma	1	Fusion_170109_83	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion;AC=MS:1002416	NT=TMT 10-plex;AC=MS:1002010	NT=Trypsin;AC=MS:1001251	83	1	Fusion_170109_83.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	Fusion_170109
pooled human plasma TMT sample (Fusion_170109)	Homo sapiens	blood plasma	1	Fusion_170109_84	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion;AC=MS:1002416	NT=TMT 10-plex;AC=MS:1002010	NT=Trypsin;AC=MS:1001251	84	1	Fusion_170109_84.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	Fusion_170109
pooled human plasma TMT sample (Fusion_170109)	Homo sapiens	blood plasma	1	Fusion_170109_85	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion;AC=MS:1002416	NT=TMT 10-plex;AC=MS:1002010	NT=Trypsin;AC=MS:1001251	85	1	Fusion_170109_85.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	Fusion_170109
pooled human plasma TMT sample (Fusion_170109)	Homo sapiens	blood plasma	1	Fusion_170109_86	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion;AC=MS:1002416	NT=TMT 10-plex;AC=MS:1002010	NT=Trypsin;AC=MS:1001251	86	1	Fusion_170109_86.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	Fusion_170109
pooled human plasma TMT sample (Fusion_170109)	Homo sapiens	blood plasma	1	Fusion_170109_87	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion;AC=MS:1002416	NT=TMT 10-plex;AC=MS:1002010	NT=Trypsin;AC=MS:1001251	87	1	Fusion_170109_87.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	Fusion_170109
pooled human plasma TMT sample (Fusion_170109)	Homo sapiens	blood plasma	1	Fusion_170109_88	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion;AC=MS:1002416	NT=TMT 10-plex;AC=MS:1002010	NT=Trypsin;AC=MS:1001251	88	1	Fusion_170109_88.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	Fusion_170109
pooled human plasma TMT sample (Fusion_170109)	Homo sapiens	blood plasma	1	Fusion_170109_90	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion;AC=MS:1002416	NT=TMT 10-plex;AC=MS:1002010	NT=Trypsin;AC=MS:1001251	90	1	Fusion_170109_90.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	Fusion_170109
pooled human plasma TMT sample (Fusion_170109)	Homo sapiens	blood plasma	1	Fusion_170109_91	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion;AC=MS:1002416	NT=TMT 10-plex;AC=MS:1002010	NT=Trypsin;AC=MS:1001251	91	1	Fusion_170109_91.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	Fusion_170109
pooled human plasma TMT sample (Fusion_170109)	Homo sapiens	blood plasma	1	Fusion_170109_92	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion;AC=MS:1002416	NT=TMT 10-plex;AC=MS:1002010	NT=Trypsin;AC=MS:1001251	92	1	Fusion_170109_92.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	Fusion_170109
pooled human plasma TMT sample (Fusion_170109)	Homo sapiens	blood plasma	1	Fusion_170109_93	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion;AC=MS:1002416	NT=TMT 10-plex;AC=MS:1002010	NT=Trypsin;AC=MS:1001251	93	1	Fusion_170109_93.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	Fusion_170109
pooled human plasma TMT sample (Fusion_170109)	Homo sapiens	blood plasma	1	Fusion_170109_94	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion;AC=MS:1002416	NT=TMT 10-plex;AC=MS:1002010	NT=Trypsin;AC=MS:1001251	94	1	Fusion_170109_94.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	Fusion_170109
pooled human plasma TMT sample (Fusion_170109)	Homo sapiens	blood plasma	1	Fusion_170109_95	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion;AC=MS:1002416	NT=TMT 10-plex;AC=MS:1002010	NT=Trypsin;AC=MS:1001251	95	1	Fusion_170109_95.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	Fusion_170109
pooled human plasma TMT sample (Fusion_170109)	Homo sapiens	blood plasma	1	Fusion_170109_96	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion;AC=MS:1002416	NT=TMT 10-plex;AC=MS:1002010	NT=Trypsin;AC=MS:1001251	96	1	Fusion_170109_96.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	Fusion_170109
pooled human plasma TMT sample (Fusion_170109)	Homo sapiens	blood plasma	1	Fusion_170109_97	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion;AC=MS:1002416	NT=TMT 10-plex;AC=MS:1002010	NT=Trypsin;AC=MS:1001251	97	1	Fusion_170109_97.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	Fusion_170109
pooled human plasma TMT sample (QEHF_180306)	Homo sapiens	blood plasma	1	QEHF_180306_14	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=TMT 10-plex;AC=MS:1002010	NT=Trypsin;AC=MS:1001251	14	1	QEHF_180306_14.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	QEHF_180306
pooled human plasma TMT sample (QEHF_180306)	Homo sapiens	blood plasma	1	QEHF_180306_16	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=TMT 10-plex;AC=MS:1002010	NT=Trypsin;AC=MS:1001251	16	1	QEHF_180306_16.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	QEHF_180306
pooled human plasma TMT sample (QEHF_180306)	Homo sapiens	blood plasma	1	QEHF_180306_18	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=TMT 10-plex;AC=MS:1002010	NT=Trypsin;AC=MS:1001251	18	1	QEHF_180306_18.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	QEHF_180306
pooled human plasma TMT sample (QEHF_180306)	Homo sapiens	blood plasma	1	QEHF_180306_19	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=TMT 10-plex;AC=MS:1002010	NT=Trypsin;AC=MS:1001251	19	1	QEHF_180306_19.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	QEHF_180306
pooled human plasma TMT sample (QEHF_180307)	Homo sapiens	blood plasma	1	QEHF_180307_06	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=TMT 10-plex;AC=MS:1002010	NT=Trypsin;AC=MS:1001251	06	1	QEHF_180307_06.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	QEHF_180307
pooled human plasma TMT sample (QEHF_180307)	Homo sapiens	blood plasma	1	QEHF_180307_06_180308003307	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=TMT 10-plex;AC=MS:1002010	NT=Trypsin;AC=MS:1001251	06	1	QEHF_180307_06_180308003307.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	QEHF_180307
pooled human plasma TMT sample (QEHF_180307)	Homo sapiens	blood plasma	1	QEHF_180307_07	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=TMT 10-plex;AC=MS:1002010	NT=Trypsin;AC=MS:1001251	07	1	QEHF_180307_07.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	QEHF_180307
pooled human plasma TMT sample (QEHF_180307)	Homo sapiens	blood plasma	1	QEHF_180307_07_180308015235	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=TMT 10-plex;AC=MS:1002010	NT=Trypsin;AC=MS:1001251	07	1	QEHF_180307_07_180308015235.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	QEHF_180307
pooled human plasma TMT sample (QEHF_180307)	Homo sapiens	blood plasma	1	QEHF_180307_08	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=TMT 10-plex;AC=MS:1002010	NT=Trypsin;AC=MS:1001251	08	1	QEHF_180307_08.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	QEHF_180307
pooled human plasma TMT sample (QEHF_180307)	Homo sapiens	blood plasma	1	QEHF_180307_08_180308031154	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=TMT 10-plex;AC=MS:1002010	NT=Trypsin;AC=MS:1001251	08	1	QEHF_180307_08_180308031154.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	QEHF_180307
pooled human plasma TMT sample (QEHF_180307)	Homo sapiens	blood plasma	1	QEHF_180307_09_180308043118	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=TMT 10-plex;AC=MS:1002010	NT=Trypsin;AC=MS:1001251	09	1	QEHF_180307_09_180308043118.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	QEHF_180307
pooled human plasma TMT sample (QEHF_180307)	Homo sapiens	blood plasma	1	QEHF_180307_11_180308071007	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=TMT 10-plex;AC=MS:1002010	NT=Trypsin;AC=MS:1001251	11	1	QEHF_180307_11_180308071007.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	QEHF_180307
pooled human plasma TMT sample (QEHF_180307)	Homo sapiens	blood plasma	1	QEHF_180307_12	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=TMT 10-plex;AC=MS:1002010	NT=Trypsin;AC=MS:1001251	12	1	QEHF_180307_12.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	QEHF_180307
pooled human plasma TMT sample (QEHF_180307)	Homo sapiens	blood plasma	1	QEHF_180307_19	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=TMT 10-plex;AC=MS:1002010	NT=Trypsin;AC=MS:1001251	19	1	QEHF_180307_19.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	QEHF_180307
pooled human plasma TMT sample (QEHF_180307)	Homo sapiens	blood plasma	1	QEHF_180307_25	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=TMT 10-plex;AC=MS:1002010	NT=Trypsin;AC=MS:1001251	25	1	QEHF_180307_25.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	QEHF_180307
pooled human plasma TMT sample (QEHF_180307)	Homo sapiens	blood plasma	1	QEHF_180307_26	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=TMT 10-plex;AC=MS:1002010	NT=Trypsin;AC=MS:1001251	26	1	QEHF_180307_26.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	QEHF_180307
pooled human plasma TMT sample (QEHF_180307)	Homo sapiens	blood plasma	1	QEHF_180307_27	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=TMT 10-plex;AC=MS:1002010	NT=Trypsin;AC=MS:1001251	27	1	QEHF_180307_27.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	QEHF_180307
pooled human plasma TMT sample (QEHF_180307)	Homo sapiens	blood plasma	1	QEHF_180307_28	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=TMT 10-plex;AC=MS:1002010	NT=Trypsin;AC=MS:1001251	28	1	QEHF_180307_28.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	QEHF_180307
pooled human plasma TMT sample (QEHF_180307)	Homo sapiens	blood plasma	1	QEHF_180307_29	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=TMT 10-plex;AC=MS:1002010	NT=Trypsin;AC=MS:1001251	29	1	QEHF_180307_29.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	QEHF_180307
pooled human plasma TMT sample (QEHF_180307)	Homo sapiens	blood plasma	1	QEHF_180307_30	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=TMT 10-plex;AC=MS:1002010	NT=Trypsin;AC=MS:1001251	30	1	QEHF_180307_30.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	QEHF_180307
pooled human plasma TMT sample (QEHF_180307)	Homo sapiens	blood plasma	1	QEHF_180307_31	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=TMT 10-plex;AC=MS:1002010	NT=Trypsin;AC=MS:1001251	31	1	QEHF_180307_31.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	QEHF_180307
pooled human plasma TMT sample (QEHF_180307)	Homo sapiens	blood plasma	1	QEHF_180307_32	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=TMT 10-plex;AC=MS:1002010	NT=Trypsin;AC=MS:1001251	32	1	QEHF_180307_32.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	QEHF_180307
pooled human plasma TMT sample (QEHF_180307)	Homo sapiens	blood plasma	1	QEHF_180307_33	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=TMT 10-plex;AC=MS:1002010	NT=Trypsin;AC=MS:1001251	33	1	QEHF_180307_33.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	QEHF_180307
pooled human plasma TMT sample (QEHF_180307)	Homo sapiens	blood plasma	1	QEHF_180307_34	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=TMT 10-plex;AC=MS:1002010	NT=Trypsin;AC=MS:1001251	34	1	QEHF_180307_34.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	QEHF_180307
pooled human plasma TMT sample (QEHF_180307)	Homo sapiens	blood plasma	1	QEHF_180307_35	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=TMT 10-plex;AC=MS:1002010	NT=Trypsin;AC=MS:1001251	35	1	QEHF_180307_35.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	QEHF_180307
pooled human plasma TMT sample (QEHF_180307)	Homo sapiens	blood plasma	1	QEHF_180307_36	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=TMT 10-plex;AC=MS:1002010	NT=Trypsin;AC=MS:1001251	36	1	QEHF_180307_36.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	QEHF_180307
pooled human plasma TMT sample (QEHF_180307)	Homo sapiens	blood plasma	1	QEHF_180307_37	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=TMT 10-plex;AC=MS:1002010	NT=Trypsin;AC=MS:1001251	37	1	QEHF_180307_37.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	QEHF_180307
pooled human plasma TMT sample (QEHF_180307)	Homo sapiens	blood plasma	1	QEHF_180307_38	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=TMT 10-plex;AC=MS:1002010	NT=Trypsin;AC=MS:1001251	38	1	QEHF_180307_38.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	QEHF_180307
pooled human plasma TMT sample (QEHF_180307)	Homo sapiens	blood plasma	1	QEHF_180307_39	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=TMT 10-plex;AC=MS:1002010	NT=Trypsin;AC=MS:1001251	39	1	QEHF_180307_39.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	QEHF_180307
pooled human plasma TMT sample (QEHF_180307)	Homo sapiens	blood plasma	1	QEHF_180307_40	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=TMT 10-plex;AC=MS:1002010	NT=Trypsin;AC=MS:1001251	40	1	QEHF_180307_40.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	QEHF_180307
pooled human plasma TMT sample (QEHF_180307)	Homo sapiens	blood plasma	1	QEHF_180307_41	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=TMT 10-plex;AC=MS:1002010	NT=Trypsin;AC=MS:1001251	41	1	QEHF_180307_41.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	QEHF_180307
