source name	characteristics[organism]	characteristics[organism part]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[instrument]	comment[label]	comment[cleavage agent details]	comment[modification parameters]	comment[modification parameters]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf template]	factor value[submitted data group]	factor value[developmental stage]
Saprolegnia developmental-stage sample BR1	Oomycetes	whole organism	1	2014LanaITRAQBR1200mMb	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Xevo Q-Tof;AC=MS:1001785	NT=iTRAQ 4-plex;AC=MS:1002011	NT=Trypsin;AC=MS:1001251	NT=Methylthio;AC=UNIMOD:39;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=MY;MT=Variable	1	1	2014LanaITRAQBR1200mMb.mgf	v1.1.0	NT=ms-proteomics;VV=v1.1.0	BR1	not stage-resolved
Saprolegnia developmental-stage sample BR1	Oomycetes	whole organism	1	2014LanaITRAQBR1225mMa	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Xevo Q-Tof;AC=MS:1001785	NT=iTRAQ 4-plex;AC=MS:1002011	NT=Trypsin;AC=MS:1001251	NT=Methylthio;AC=UNIMOD:39;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=MY;MT=Variable	1	1	2014LanaITRAQBR1225mMa.mgf	v1.1.0	NT=ms-proteomics;VV=v1.1.0	BR1	not stage-resolved
Saprolegnia developmental-stage sample BR1	Oomycetes	whole organism	1	2014LanaITRAQBR1225mMb	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Xevo Q-Tof;AC=MS:1001785	NT=iTRAQ 4-plex;AC=MS:1002011	NT=Trypsin;AC=MS:1001251	NT=Methylthio;AC=UNIMOD:39;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=MY;MT=Variable	1	1	2014LanaITRAQBR1225mMb.mgf	v1.1.0	NT=ms-proteomics;VV=v1.1.0	BR1	not stage-resolved
Saprolegnia developmental-stage sample BR1	Oomycetes	whole organism	1	2014LanaITRAQBR1250mMa	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Xevo Q-Tof;AC=MS:1001785	NT=iTRAQ 4-plex;AC=MS:1002011	NT=Trypsin;AC=MS:1001251	NT=Methylthio;AC=UNIMOD:39;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=MY;MT=Variable	1	1	2014LanaITRAQBR1250mMa.mgf	v1.1.0	NT=ms-proteomics;VV=v1.1.0	BR1	not stage-resolved
Saprolegnia developmental-stage sample BR1	Oomycetes	whole organism	1	2014LanaITRAQBR1250mMb	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Xevo Q-Tof;AC=MS:1001785	NT=iTRAQ 4-plex;AC=MS:1002011	NT=Trypsin;AC=MS:1001251	NT=Methylthio;AC=UNIMOD:39;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=MY;MT=Variable	1	1	2014LanaITRAQBR1250mMb.mgf	v1.1.0	NT=ms-proteomics;VV=v1.1.0	BR1	not stage-resolved
Saprolegnia developmental-stage sample BR1	Oomycetes	whole organism	1	2014LanaITRAQBR1275mMb	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Xevo Q-Tof;AC=MS:1001785	NT=iTRAQ 4-plex;AC=MS:1002011	NT=Trypsin;AC=MS:1001251	NT=Methylthio;AC=UNIMOD:39;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=MY;MT=Variable	1	1	2014LanaITRAQBR1275mMb.mgf	v1.1.0	NT=ms-proteomics;VV=v1.1.0	BR1	not stage-resolved
Saprolegnia developmental-stage sample BR1	Oomycetes	whole organism	1	2014LanaITRAQBR1300mMa	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Xevo Q-Tof;AC=MS:1001785	NT=iTRAQ 4-plex;AC=MS:1002011	NT=Trypsin;AC=MS:1001251	NT=Methylthio;AC=UNIMOD:39;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=MY;MT=Variable	1	1	2014LanaITRAQBR1300mMa.mgf	v1.1.0	NT=ms-proteomics;VV=v1.1.0	BR1	not stage-resolved
Saprolegnia developmental-stage sample BR1	Oomycetes	whole organism	1	2014LanaITRAQBR1325mMa	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Xevo Q-Tof;AC=MS:1001785	NT=iTRAQ 4-plex;AC=MS:1002011	NT=Trypsin;AC=MS:1001251	NT=Methylthio;AC=UNIMOD:39;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=MY;MT=Variable	1	1	2014LanaITRAQBR1325mMa.mgf	v1.1.0	NT=ms-proteomics;VV=v1.1.0	BR1	not stage-resolved
Saprolegnia developmental-stage sample BR1	Oomycetes	whole organism	1	2014LanaITRAQBR150mMa	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Xevo Q-Tof;AC=MS:1001785	NT=iTRAQ 4-plex;AC=MS:1002011	NT=Trypsin;AC=MS:1001251	NT=Methylthio;AC=UNIMOD:39;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=MY;MT=Variable	1	1	2014LanaITRAQBR150mMa.mgf	v1.1.0	NT=ms-proteomics;VV=v1.1.0	BR1	not stage-resolved
Saprolegnia developmental-stage sample BR1	Oomycetes	whole organism	1	2014LanaITRAQBR175mMa	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Xevo Q-Tof;AC=MS:1001785	NT=iTRAQ 4-plex;AC=MS:1002011	NT=Trypsin;AC=MS:1001251	NT=Methylthio;AC=UNIMOD:39;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=MY;MT=Variable	1	1	2014LanaITRAQBR175mMa.mgf	v1.1.0	NT=ms-proteomics;VV=v1.1.0	BR1	not stage-resolved
Saprolegnia developmental-stage sample BR1	Oomycetes	whole organism	1	2014LanaITRAQBR1mix2	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Xevo Q-Tof;AC=MS:1001785	NT=iTRAQ 4-plex;AC=MS:1002011	NT=Trypsin;AC=MS:1001251	NT=Methylthio;AC=UNIMOD:39;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=MY;MT=Variable	1	1	2014LanaITRAQBR1mix2.mgf	v1.1.0	NT=ms-proteomics;VV=v1.1.0	BR1	not stage-resolved
Saprolegnia developmental-stage sample primary cyst gel bands	Oomycetes	whole organism	1	2014LanaPrimaryCystBands	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Xevo Q-Tof;AC=MS:1001785	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Methylthio;AC=UNIMOD:39;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=MY;MT=Variable	1	1	2014LanaPrimaryCystBands.mgf	v1.1.0	NT=ms-proteomics;VV=v1.1.0	primary cyst gel bands	primary cyst
Saprolegnia developmental-stage sample secondary cyst gel bands	Oomycetes	whole organism	1	2014LanaSecondaryCystBands	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Xevo Q-Tof;AC=MS:1001785	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Methylthio;AC=UNIMOD:39;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=MY;MT=Variable	1	1	2014LanaSecondaryCystBands.mgf	v1.1.0	NT=ms-proteomics;VV=v1.1.0	secondary cyst gel bands	secondary cyst
Saprolegnia developmental-stage sample sporulating mycelium gel bands	Oomycetes	whole organism	1	2014LanaSporulatingMyceliumBands	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Xevo Q-Tof;AC=MS:1001785	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Methylthio;AC=UNIMOD:39;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=MY;MT=Variable	1	1	2014LanaSporulatingMyceliumBands.mgf	v1.1.0	NT=ms-proteomics;VV=v1.1.0	sporulating mycelium gel bands	sporulating mycelium
Saprolegnia developmental-stage sample BR2	Oomycetes	whole organism	2	2015LanaItraqBR2Frac100mMa	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Xevo Q-Tof;AC=MS:1001785	NT=iTRAQ 4-plex;AC=MS:1002011	NT=Trypsin;AC=MS:1001251	NT=Methylthio;AC=UNIMOD:39;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=MY;MT=Variable	1	1	2015LanaItraqBR2Frac100mMa.mgf	v1.1.0	NT=ms-proteomics;VV=v1.1.0	BR2	not stage-resolved
Saprolegnia developmental-stage sample BR2	Oomycetes	whole organism	2	2015LanaItraqBR2Frac100mMb	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Xevo Q-Tof;AC=MS:1001785	NT=iTRAQ 4-plex;AC=MS:1002011	NT=Trypsin;AC=MS:1001251	NT=Methylthio;AC=UNIMOD:39;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=MY;MT=Variable	1	1	2015LanaItraqBR2Frac100mMb.mgf	v1.1.0	NT=ms-proteomics;VV=v1.1.0	BR2	not stage-resolved
Saprolegnia developmental-stage sample BR2	Oomycetes	whole organism	2	2015LanaItraqBR2Frac125mMa	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Xevo Q-Tof;AC=MS:1001785	NT=iTRAQ 4-plex;AC=MS:1002011	NT=Trypsin;AC=MS:1001251	NT=Methylthio;AC=UNIMOD:39;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=MY;MT=Variable	1	1	2015LanaItraqBR2Frac125mMa.mgf	v1.1.0	NT=ms-proteomics;VV=v1.1.0	BR2	not stage-resolved
Saprolegnia developmental-stage sample BR2	Oomycetes	whole organism	2	2015LanaItraqBR2Frac125mMb	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Xevo Q-Tof;AC=MS:1001785	NT=iTRAQ 4-plex;AC=MS:1002011	NT=Trypsin;AC=MS:1001251	NT=Methylthio;AC=UNIMOD:39;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=MY;MT=Variable	1	1	2015LanaItraqBR2Frac125mMb.mgf	v1.1.0	NT=ms-proteomics;VV=v1.1.0	BR2	not stage-resolved
Saprolegnia developmental-stage sample BR2	Oomycetes	whole organism	2	2015LanaItraqBR2Frac150mMa	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Xevo Q-Tof;AC=MS:1001785	NT=iTRAQ 4-plex;AC=MS:1002011	NT=Trypsin;AC=MS:1001251	NT=Methylthio;AC=UNIMOD:39;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=MY;MT=Variable	1	1	2015LanaItraqBR2Frac150mMa.mgf	v1.1.0	NT=ms-proteomics;VV=v1.1.0	BR2	not stage-resolved
Saprolegnia developmental-stage sample BR2	Oomycetes	whole organism	2	2015LanaItraqBR2Frac150mMb	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Xevo Q-Tof;AC=MS:1001785	NT=iTRAQ 4-plex;AC=MS:1002011	NT=Trypsin;AC=MS:1001251	NT=Methylthio;AC=UNIMOD:39;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=MY;MT=Variable	1	1	2015LanaItraqBR2Frac150mMb.mgf	v1.1.0	NT=ms-proteomics;VV=v1.1.0	BR2	not stage-resolved
Saprolegnia developmental-stage sample BR2	Oomycetes	whole organism	2	2015LanaItraqBR2Frac175mMa	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Xevo Q-Tof;AC=MS:1001785	NT=iTRAQ 4-plex;AC=MS:1002011	NT=Trypsin;AC=MS:1001251	NT=Methylthio;AC=UNIMOD:39;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=MY;MT=Variable	1	1	2015LanaItraqBR2Frac175mMa.mgf	v1.1.0	NT=ms-proteomics;VV=v1.1.0	BR2	not stage-resolved
Saprolegnia developmental-stage sample BR2	Oomycetes	whole organism	2	2015LanaItraqBR2Frac175mMb	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Xevo Q-Tof;AC=MS:1001785	NT=iTRAQ 4-plex;AC=MS:1002011	NT=Trypsin;AC=MS:1001251	NT=Methylthio;AC=UNIMOD:39;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=MY;MT=Variable	1	1	2015LanaItraqBR2Frac175mMb.mgf	v1.1.0	NT=ms-proteomics;VV=v1.1.0	BR2	not stage-resolved
Saprolegnia developmental-stage sample BR2	Oomycetes	whole organism	2	2015LanaItraqBR2Frac200mMa	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Xevo Q-Tof;AC=MS:1001785	NT=iTRAQ 4-plex;AC=MS:1002011	NT=Trypsin;AC=MS:1001251	NT=Methylthio;AC=UNIMOD:39;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=MY;MT=Variable	1	1	2015LanaItraqBR2Frac200mMa.mgf	v1.1.0	NT=ms-proteomics;VV=v1.1.0	BR2	not stage-resolved
Saprolegnia developmental-stage sample BR2	Oomycetes	whole organism	2	2015LanaItraqBR2Frac200mMb	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Xevo Q-Tof;AC=MS:1001785	NT=iTRAQ 4-plex;AC=MS:1002011	NT=Trypsin;AC=MS:1001251	NT=Methylthio;AC=UNIMOD:39;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=MY;MT=Variable	1	1	2015LanaItraqBR2Frac200mMb.mgf	v1.1.0	NT=ms-proteomics;VV=v1.1.0	BR2	not stage-resolved
Saprolegnia developmental-stage sample BR2	Oomycetes	whole organism	2	2015LanaItraqBR2Frac225mMa	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Xevo Q-Tof;AC=MS:1001785	NT=iTRAQ 4-plex;AC=MS:1002011	NT=Trypsin;AC=MS:1001251	NT=Methylthio;AC=UNIMOD:39;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=MY;MT=Variable	1	1	2015LanaItraqBR2Frac225mMa.mgf	v1.1.0	NT=ms-proteomics;VV=v1.1.0	BR2	not stage-resolved
Saprolegnia developmental-stage sample BR2	Oomycetes	whole organism	2	2015LanaItraqBR2Frac225mMb	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Xevo Q-Tof;AC=MS:1001785	NT=iTRAQ 4-plex;AC=MS:1002011	NT=Trypsin;AC=MS:1001251	NT=Methylthio;AC=UNIMOD:39;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=MY;MT=Variable	1	1	2015LanaItraqBR2Frac225mMb.mgf	v1.1.0	NT=ms-proteomics;VV=v1.1.0	BR2	not stage-resolved
Saprolegnia developmental-stage sample BR2	Oomycetes	whole organism	2	2015LanaItraqBR2Frac250275300mMb2	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Xevo Q-Tof;AC=MS:1001785	NT=iTRAQ 4-plex;AC=MS:1002011	NT=Trypsin;AC=MS:1001251	NT=Methylthio;AC=UNIMOD:39;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=MY;MT=Variable	1	1	2015LanaItraqBR2Frac250275300mMb2.mgf	v1.1.0	NT=ms-proteomics;VV=v1.1.0	BR2	not stage-resolved
Saprolegnia developmental-stage sample BR2	Oomycetes	whole organism	2	2015LanaItraqBR2Frac250mMa	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Xevo Q-Tof;AC=MS:1001785	NT=iTRAQ 4-plex;AC=MS:1002011	NT=Trypsin;AC=MS:1001251	NT=Methylthio;AC=UNIMOD:39;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=MY;MT=Variable	1	1	2015LanaItraqBR2Frac250mMa.mgf	v1.1.0	NT=ms-proteomics;VV=v1.1.0	BR2	not stage-resolved
Saprolegnia developmental-stage sample BR2	Oomycetes	whole organism	2	2015LanaItraqBR2Frac250mMb	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Xevo Q-Tof;AC=MS:1001785	NT=iTRAQ 4-plex;AC=MS:1002011	NT=Trypsin;AC=MS:1001251	NT=Methylthio;AC=UNIMOD:39;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=MY;MT=Variable	1	1	2015LanaItraqBR2Frac250mMb.mgf	v1.1.0	NT=ms-proteomics;VV=v1.1.0	BR2	not stage-resolved
Saprolegnia developmental-stage sample BR2	Oomycetes	whole organism	2	2015LanaItraqBR2Frac275mMa	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Xevo Q-Tof;AC=MS:1001785	NT=iTRAQ 4-plex;AC=MS:1002011	NT=Trypsin;AC=MS:1001251	NT=Methylthio;AC=UNIMOD:39;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=MY;MT=Variable	1	1	2015LanaItraqBR2Frac275mMa.mgf	v1.1.0	NT=ms-proteomics;VV=v1.1.0	BR2	not stage-resolved
Saprolegnia developmental-stage sample BR2	Oomycetes	whole organism	2	2015LanaItraqBR2Frac275mMb	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Xevo Q-Tof;AC=MS:1001785	NT=iTRAQ 4-plex;AC=MS:1002011	NT=Trypsin;AC=MS:1001251	NT=Methylthio;AC=UNIMOD:39;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=MY;MT=Variable	1	1	2015LanaItraqBR2Frac275mMb.mgf	v1.1.0	NT=ms-proteomics;VV=v1.1.0	BR2	not stage-resolved
Saprolegnia developmental-stage sample BR2	Oomycetes	whole organism	2	2015LanaItraqBR2Frac300mMa	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Xevo Q-Tof;AC=MS:1001785	NT=iTRAQ 4-plex;AC=MS:1002011	NT=Trypsin;AC=MS:1001251	NT=Methylthio;AC=UNIMOD:39;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=MY;MT=Variable	1	1	2015LanaItraqBR2Frac300mMa.mgf	v1.1.0	NT=ms-proteomics;VV=v1.1.0	BR2	not stage-resolved
Saprolegnia developmental-stage sample BR2	Oomycetes	whole organism	2	2015LanaItraqBR2Frac300mMb	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Xevo Q-Tof;AC=MS:1001785	NT=iTRAQ 4-plex;AC=MS:1002011	NT=Trypsin;AC=MS:1001251	NT=Methylthio;AC=UNIMOD:39;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=MY;MT=Variable	1	1	2015LanaItraqBR2Frac300mMb.mgf	v1.1.0	NT=ms-proteomics;VV=v1.1.0	BR2	not stage-resolved
Saprolegnia developmental-stage sample BR2	Oomycetes	whole organism	2	2015LanaItraqBR2Frac325mMb	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Xevo Q-Tof;AC=MS:1001785	NT=iTRAQ 4-plex;AC=MS:1002011	NT=Trypsin;AC=MS:1001251	NT=Methylthio;AC=UNIMOD:39;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=MY;MT=Variable	1	1	2015LanaItraqBR2Frac325mMb.mgf	v1.1.0	NT=ms-proteomics;VV=v1.1.0	BR2	not stage-resolved
Saprolegnia developmental-stage sample BR2	Oomycetes	whole organism	2	2015LanaItraqBR2Frac350mMb	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Xevo Q-Tof;AC=MS:1001785	NT=iTRAQ 4-plex;AC=MS:1002011	NT=Trypsin;AC=MS:1001251	NT=Methylthio;AC=UNIMOD:39;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=MY;MT=Variable	1	1	2015LanaItraqBR2Frac350mMb.mgf	v1.1.0	NT=ms-proteomics;VV=v1.1.0	BR2	not stage-resolved
Saprolegnia developmental-stage sample BR2	Oomycetes	whole organism	2	2015LanaItraqBR2Frac75mMa	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Xevo Q-Tof;AC=MS:1001785	NT=iTRAQ 4-plex;AC=MS:1002011	NT=Trypsin;AC=MS:1001251	NT=Methylthio;AC=UNIMOD:39;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=MY;MT=Variable	1	1	2015LanaItraqBR2Frac75mMa.mgf	v1.1.0	NT=ms-proteomics;VV=v1.1.0	BR2	not stage-resolved
