source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[age]	characteristics[sex]	characteristics[ancestry category]	characteristics[developmental stage]	characteristics[individual]	characteristics[biological replicate]	characteristics[treatment]	characteristics[sample type]	characteristics[sample matrix]	assay name	technology type	comment[technical replicate]	comment[data file]	comment[file uri]	comment[instrument]	comment[platform]	comment[panel name]	comment[quantification unit]	comment[plate]	comment[dilution]	comment[lot number]	comment[normalization method]	comment[olink panel]	comment[olink platform]	comment[npx normalization]	comment[sdrf version]	comment[sdrf annotation tool]	comment[sdrf template]	comment[sdrf template]	factor value[treatment]
PAD000044-Donor3-IL33-IL12	Homo sapiens	culture supernatant	mucosal invariant T cell	normal	not available	not available	not available	adult	3	3	interleukin-12 and interleukin-33	study sample	culture supernatant	PAD000044-r00011-Donor3-IL33-IL12-1-20-MAIT_Alarmins1	protein expression profiling by antibody array	1	MAIT-Plate1.npx.csv	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2026/06/PAD000044/MAIT-Plate1.npx.csv	NT=Olink platform;AC=PRIDE:0000654	Olink Target 48	Cytokine	NPX	MAIT_Alarmins1	1:20	932010	Calibrator Normalized	Olink Target 48 Cytokine	Olink Target 48	Calibrator Normalized	v1.1.0	NT=sdrf-skills;VV=v0.0.0	NT=affinity-proteomics;VV=v1.0.0	NT=human;VV=v1.1.0	interleukin-12 and interleukin-33
PAD000044-Donor1-Control	Homo sapiens	culture supernatant	mucosal invariant T cell	normal	not available	not available	not available	adult	1	1	untreated	study sample	culture supernatant	PAD000044-r00012-Donor1-Control-1-20-MAIT_Alarmins2	protein expression profiling by antibody array	2	MAIT-Plate2.npx.csv	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2026/06/PAD000044/MAIT-Plate2.npx.csv	NT=Olink platform;AC=PRIDE:0000654	Olink Target 48	Cytokine	NPX	MAIT_Alarmins2	1:20	932007	Calibrator Normalized	Olink Target 48 Cytokine	Olink Target 48	Calibrator Normalized	v1.1.0	NT=sdrf-skills;VV=v0.0.0	NT=affinity-proteomics;VV=v1.0.0	NT=human;VV=v1.1.0	untreated
PAD000044-Donor1-Control	Homo sapiens	culture supernatant	mucosal invariant T cell	normal	not available	not available	not available	adult	1	1	untreated	study sample	culture supernatant	PAD000044-r00013-Donor1-Control-1-50-MAIT_Alarmins2	protein expression profiling by antibody array	3	MAIT-Plate2.npx.csv	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2026/06/PAD000044/MAIT-Plate2.npx.csv	NT=Olink platform;AC=PRIDE:0000654	Olink Target 48	Cytokine	NPX	MAIT_Alarmins2	1:50	932007	Calibrator Normalized	Olink Target 48 Cytokine	Olink Target 48	Calibrator Normalized	v1.1.0	NT=sdrf-skills;VV=v0.0.0	NT=affinity-proteomics;VV=v1.0.0	NT=human;VV=v1.1.0	untreated
PAD000044-Donor1-IL12	Homo sapiens	culture supernatant	mucosal invariant T cell	normal	not available	not available	not available	adult	1	1	interleukin-12	study sample	culture supernatant	PAD000044-r00014-Donor1-IL12-1-20-MAIT_Alarmins2	protein expression profiling by antibody array	2	MAIT-Plate2.npx.csv	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2026/06/PAD000044/MAIT-Plate2.npx.csv	NT=Olink platform;AC=PRIDE:0000654	Olink Target 48	Cytokine	NPX	MAIT_Alarmins2	1:20	932007	Calibrator Normalized	Olink Target 48 Cytokine	Olink Target 48	Calibrator Normalized	v1.1.0	NT=sdrf-skills;VV=v0.0.0	NT=affinity-proteomics;VV=v1.0.0	NT=human;VV=v1.1.0	interleukin-12
PAD000044-Donor1-IL12	Homo sapiens	culture supernatant	mucosal invariant T cell	normal	not available	not available	not available	adult	1	1	interleukin-12	study sample	culture supernatant	PAD000044-r00015-Donor1-IL12-1-50-MAIT_Alarmins2	protein expression profiling by antibody array	3	MAIT-Plate2.npx.csv	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2026/06/PAD000044/MAIT-Plate2.npx.csv	NT=Olink platform;AC=PRIDE:0000654	Olink Target 48	Cytokine	NPX	MAIT_Alarmins2	1:50	932007	Calibrator Normalized	Olink Target 48 Cytokine	Olink Target 48	Calibrator Normalized	v1.1.0	NT=sdrf-skills;VV=v0.0.0	NT=affinity-proteomics;VV=v1.0.0	NT=human;VV=v1.1.0	interleukin-12
PAD000044-Donor1-IL12	Homo sapiens	culture supernatant	mucosal invariant T cell	normal	not available	not available	not available	adult	1	1	interleukin-12	study sample	culture supernatant	PAD000044-r00016-Donor1-IL12-1-100-MAIT_Alarmins2	protein expression profiling by antibody array	4	MAIT-Plate2.npx.csv	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2026/06/PAD000044/MAIT-Plate2.npx.csv	NT=Olink platform;AC=PRIDE:0000654	Olink Target 48	Cytokine	NPX	MAIT_Alarmins2	1:100	932007	Calibrator Normalized	Olink Target 48 Cytokine	Olink Target 48	Calibrator Normalized	v1.1.0	NT=sdrf-skills;VV=v0.0.0	NT=affinity-proteomics;VV=v1.0.0	NT=human;VV=v1.1.0	interleukin-12
PAD000044-Donor1-IL33	Homo sapiens	culture supernatant	mucosal invariant T cell	normal	not available	not available	not available	adult	1	1	interleukin-33	study sample	culture supernatant	PAD000044-r00017-Donor1-IL33-1-20-MAIT_Alarmins2	protein expression profiling by antibody array	2	MAIT-Plate2.npx.csv	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2026/06/PAD000044/MAIT-Plate2.npx.csv	NT=Olink platform;AC=PRIDE:0000654	Olink Target 48	Cytokine	NPX	MAIT_Alarmins2	1:20	932007	Calibrator Normalized	Olink Target 48 Cytokine	Olink Target 48	Calibrator Normalized	v1.1.0	NT=sdrf-skills;VV=v0.0.0	NT=affinity-proteomics;VV=v1.0.0	NT=human;VV=v1.1.0	interleukin-33
PAD000044-Donor1-IL33	Homo sapiens	culture supernatant	mucosal invariant T cell	normal	not available	not available	not available	adult	1	1	interleukin-33	study sample	culture supernatant	PAD000044-r00018-Donor1-IL33-1-50-MAIT_Alarmins2	protein expression profiling by antibody array	3	MAIT-Plate2.npx.csv	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2026/06/PAD000044/MAIT-Plate2.npx.csv	NT=Olink platform;AC=PRIDE:0000654	Olink Target 48	Cytokine	NPX	MAIT_Alarmins2	1:50	932007	Calibrator Normalized	Olink Target 48 Cytokine	Olink Target 48	Calibrator Normalized	v1.1.0	NT=sdrf-skills;VV=v0.0.0	NT=affinity-proteomics;VV=v1.0.0	NT=human;VV=v1.1.0	interleukin-33
PAD000044-Donor1-IL33	Homo sapiens	culture supernatant	mucosal invariant T cell	normal	not available	not available	not available	adult	1	1	interleukin-33	study sample	culture supernatant	PAD000044-r00019-Donor1-IL33-1-100-MAIT_Alarmins2	protein expression profiling by antibody array	4	MAIT-Plate2.npx.csv	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2026/06/PAD000044/MAIT-Plate2.npx.csv	NT=Olink platform;AC=PRIDE:0000654	Olink Target 48	Cytokine	NPX	MAIT_Alarmins2	1:100	932007	Calibrator Normalized	Olink Target 48 Cytokine	Olink Target 48	Calibrator Normalized	v1.1.0	NT=sdrf-skills;VV=v0.0.0	NT=affinity-proteomics;VV=v1.0.0	NT=human;VV=v1.1.0	interleukin-33
PAD000044-Donor1-IL33-IL12	Homo sapiens	culture supernatant	mucosal invariant T cell	normal	not available	not available	not available	adult	1	1	interleukin-12 and interleukin-33	study sample	culture supernatant	PAD000044-r00020-Donor1-IL33-IL12-1-20-MAIT_Alarmins2	protein expression profiling by antibody array	2	MAIT-Plate2.npx.csv	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2026/06/PAD000044/MAIT-Plate2.npx.csv	NT=Olink platform;AC=PRIDE:0000654	Olink Target 48	Cytokine	NPX	MAIT_Alarmins2	1:20	932007	Calibrator Normalized	Olink Target 48 Cytokine	Olink Target 48	Calibrator Normalized	v1.1.0	NT=sdrf-skills;VV=v0.0.0	NT=affinity-proteomics;VV=v1.0.0	NT=human;VV=v1.1.0	interleukin-12 and interleukin-33
PAD000044-Donor1-IL33-IL12	Homo sapiens	culture supernatant	mucosal invariant T cell	normal	not available	not available	not available	adult	1	1	interleukin-12 and interleukin-33	study sample	culture supernatant	PAD000044-r00021-Donor1-IL33-IL12-1-50-MAIT_Alarmins2	protein expression profiling by antibody array	3	MAIT-Plate2.npx.csv	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2026/06/PAD000044/MAIT-Plate2.npx.csv	NT=Olink platform;AC=PRIDE:0000654	Olink Target 48	Cytokine	NPX	MAIT_Alarmins2	1:50	932007	Calibrator Normalized	Olink Target 48 Cytokine	Olink Target 48	Calibrator Normalized	v1.1.0	NT=sdrf-skills;VV=v0.0.0	NT=affinity-proteomics;VV=v1.0.0	NT=human;VV=v1.1.0	interleukin-12 and interleukin-33
PAD000044-Donor1-IL33-IL12	Homo sapiens	culture supernatant	mucosal invariant T cell	normal	not available	not available	not available	adult	1	1	interleukin-12 and interleukin-33	study sample	culture supernatant	PAD000044-r00022-Donor1-IL33-IL12-1-100-MAIT_Alarmins2	protein expression profiling by antibody array	4	MAIT-Plate2.npx.csv	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2026/06/PAD000044/MAIT-Plate2.npx.csv	NT=Olink platform;AC=PRIDE:0000654	Olink Target 48	Cytokine	NPX	MAIT_Alarmins2	1:100	932007	Calibrator Normalized	Olink Target 48 Cytokine	Olink Target 48	Calibrator Normalized	v1.1.0	NT=sdrf-skills;VV=v0.0.0	NT=affinity-proteomics;VV=v1.0.0	NT=human;VV=v1.1.0	interleukin-12 and interleukin-33
PAD000044-Donor2-Control	Homo sapiens	culture supernatant	mucosal invariant T cell	normal	not available	not available	not available	adult	2	2	untreated	study sample	culture supernatant	PAD000044-r00023-Donor2-Control-1-20-MAIT_Alarmins2	protein expression profiling by antibody array	2	MAIT-Plate2.npx.csv	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2026/06/PAD000044/MAIT-Plate2.npx.csv	NT=Olink platform;AC=PRIDE:0000654	Olink Target 48	Cytokine	NPX	MAIT_Alarmins2	1:20	932007	Calibrator Normalized	Olink Target 48 Cytokine	Olink Target 48	Calibrator Normalized	v1.1.0	NT=sdrf-skills;VV=v0.0.0	NT=affinity-proteomics;VV=v1.0.0	NT=human;VV=v1.1.0	untreated
PAD000044-Donor2-Control	Homo sapiens	culture supernatant	mucosal invariant T cell	normal	not available	not available	not available	adult	2	2	untreated	study sample	culture supernatant	PAD000044-r00024-Donor2-Control-1-50-MAIT_Alarmins2	protein expression profiling by antibody array	3	MAIT-Plate2.npx.csv	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2026/06/PAD000044/MAIT-Plate2.npx.csv	NT=Olink platform;AC=PRIDE:0000654	Olink Target 48	Cytokine	NPX	MAIT_Alarmins2	1:50	932007	Calibrator Normalized	Olink Target 48 Cytokine	Olink Target 48	Calibrator Normalized	v1.1.0	NT=sdrf-skills;VV=v0.0.0	NT=affinity-proteomics;VV=v1.0.0	NT=human;VV=v1.1.0	untreated
PAD000044-Donor2-IL12	Homo sapiens	culture supernatant	mucosal invariant T cell	normal	not available	not available	not available	adult	2	2	interleukin-12	study sample	culture supernatant	PAD000044-r00025-Donor2-IL12-1-20-MAIT_Alarmins2	protein expression profiling by antibody array	2	MAIT-Plate2.npx.csv	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2026/06/PAD000044/MAIT-Plate2.npx.csv	NT=Olink platform;AC=PRIDE:0000654	Olink Target 48	Cytokine	NPX	MAIT_Alarmins2	1:20	932007	Calibrator Normalized	Olink Target 48 Cytokine	Olink Target 48	Calibrator Normalized	v1.1.0	NT=sdrf-skills;VV=v0.0.0	NT=affinity-proteomics;VV=v1.0.0	NT=human;VV=v1.1.0	interleukin-12
PAD000044-Donor2-IL12	Homo sapiens	culture supernatant	mucosal invariant T cell	normal	not available	not available	not available	adult	2	2	interleukin-12	study sample	culture supernatant	PAD000044-r00026-Donor2-IL12-1-50-MAIT_Alarmins2	protein expression profiling by antibody array	3	MAIT-Plate2.npx.csv	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2026/06/PAD000044/MAIT-Plate2.npx.csv	NT=Olink platform;AC=PRIDE:0000654	Olink Target 48	Cytokine	NPX	MAIT_Alarmins2	1:50	932007	Calibrator Normalized	Olink Target 48 Cytokine	Olink Target 48	Calibrator Normalized	v1.1.0	NT=sdrf-skills;VV=v0.0.0	NT=affinity-proteomics;VV=v1.0.0	NT=human;VV=v1.1.0	interleukin-12
PAD000044-Donor2-IL12	Homo sapiens	culture supernatant	mucosal invariant T cell	normal	not available	not available	not available	adult	2	2	interleukin-12	study sample	culture supernatant	PAD000044-r00027-Donor2-IL12-1-100-MAIT_Alarmins2	protein expression profiling by antibody array	4	MAIT-Plate2.npx.csv	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2026/06/PAD000044/MAIT-Plate2.npx.csv	NT=Olink platform;AC=PRIDE:0000654	Olink Target 48	Cytokine	NPX	MAIT_Alarmins2	1:100	932007	Calibrator Normalized	Olink Target 48 Cytokine	Olink Target 48	Calibrator Normalized	v1.1.0	NT=sdrf-skills;VV=v0.0.0	NT=affinity-proteomics;VV=v1.0.0	NT=human;VV=v1.1.0	interleukin-12
PAD000044-Donor2-IL33	Homo sapiens	culture supernatant	mucosal invariant T cell	normal	not available	not available	not available	adult	2	2	interleukin-33	study sample	culture supernatant	PAD000044-r00028-Donor2-IL33-1-20-MAIT_Alarmins2	protein expression profiling by antibody array	2	MAIT-Plate2.npx.csv	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2026/06/PAD000044/MAIT-Plate2.npx.csv	NT=Olink platform;AC=PRIDE:0000654	Olink Target 48	Cytokine	NPX	MAIT_Alarmins2	1:20	932007	Calibrator Normalized	Olink Target 48 Cytokine	Olink Target 48	Calibrator Normalized	v1.1.0	NT=sdrf-skills;VV=v0.0.0	NT=affinity-proteomics;VV=v1.0.0	NT=human;VV=v1.1.0	interleukin-33
PAD000044-Donor2-IL33	Homo sapiens	culture supernatant	mucosal invariant T cell	normal	not available	not available	not available	adult	2	2	interleukin-33	study sample	culture supernatant	PAD000044-r00029-Donor2-IL33-1-50-MAIT_Alarmins2	protein expression profiling by antibody array	3	MAIT-Plate2.npx.csv	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2026/06/PAD000044/MAIT-Plate2.npx.csv	NT=Olink platform;AC=PRIDE:0000654	Olink Target 48	Cytokine	NPX	MAIT_Alarmins2	1:50	932007	Calibrator Normalized	Olink Target 48 Cytokine	Olink Target 48	Calibrator Normalized	v1.1.0	NT=sdrf-skills;VV=v0.0.0	NT=affinity-proteomics;VV=v1.0.0	NT=human;VV=v1.1.0	interleukin-33
PAD000044-Donor2-IL33	Homo sapiens	culture supernatant	mucosal invariant T cell	normal	not available	not available	not available	adult	2	2	interleukin-33	study sample	culture supernatant	PAD000044-r00030-Donor2-IL33-1-100-MAIT_Alarmins2	protein expression profiling by antibody array	4	MAIT-Plate2.npx.csv	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2026/06/PAD000044/MAIT-Plate2.npx.csv	NT=Olink platform;AC=PRIDE:0000654	Olink Target 48	Cytokine	NPX	MAIT_Alarmins2	1:100	932007	Calibrator Normalized	Olink Target 48 Cytokine	Olink Target 48	Calibrator Normalized	v1.1.0	NT=sdrf-skills;VV=v0.0.0	NT=affinity-proteomics;VV=v1.0.0	NT=human;VV=v1.1.0	interleukin-33
PAD000044-Donor2-IL33-IL12	Homo sapiens	culture supernatant	mucosal invariant T cell	normal	not available	not available	not available	adult	2	2	interleukin-12 and interleukin-33	study sample	culture supernatant	PAD000044-r00031-Donor2-IL33-IL12-1-20-MAIT_Alarmins2	protein expression profiling by antibody array	2	MAIT-Plate2.npx.csv	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2026/06/PAD000044/MAIT-Plate2.npx.csv	NT=Olink platform;AC=PRIDE:0000654	Olink Target 48	Cytokine	NPX	MAIT_Alarmins2	1:20	932007	Calibrator Normalized	Olink Target 48 Cytokine	Olink Target 48	Calibrator Normalized	v1.1.0	NT=sdrf-skills;VV=v0.0.0	NT=affinity-proteomics;VV=v1.0.0	NT=human;VV=v1.1.0	interleukin-12 and interleukin-33
PAD000044-Donor2-IL33-IL12	Homo sapiens	culture supernatant	mucosal invariant T cell	normal	not available	not available	not available	adult	2	2	interleukin-12 and interleukin-33	study sample	culture supernatant	PAD000044-r00032-Donor2-IL33-IL12-1-50-MAIT_Alarmins2	protein expression profiling by antibody array	3	MAIT-Plate2.npx.csv	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2026/06/PAD000044/MAIT-Plate2.npx.csv	NT=Olink platform;AC=PRIDE:0000654	Olink Target 48	Cytokine	NPX	MAIT_Alarmins2	1:50	932007	Calibrator Normalized	Olink Target 48 Cytokine	Olink Target 48	Calibrator Normalized	v1.1.0	NT=sdrf-skills;VV=v0.0.0	NT=affinity-proteomics;VV=v1.0.0	NT=human;VV=v1.1.0	interleukin-12 and interleukin-33
PAD000044-Donor2-IL33-IL12	Homo sapiens	culture supernatant	mucosal invariant T cell	normal	not available	not available	not available	adult	2	2	interleukin-12 and interleukin-33	study sample	culture supernatant	PAD000044-r00033-Donor2-IL33-IL12-1-100-MAIT_Alarmins2	protein expression profiling by antibody array	4	MAIT-Plate2.npx.csv	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2026/06/PAD000044/MAIT-Plate2.npx.csv	NT=Olink platform;AC=PRIDE:0000654	Olink Target 48	Cytokine	NPX	MAIT_Alarmins2	1:100	932007	Calibrator Normalized	Olink Target 48 Cytokine	Olink Target 48	Calibrator Normalized	v1.1.0	NT=sdrf-skills;VV=v0.0.0	NT=affinity-proteomics;VV=v1.0.0	NT=human;VV=v1.1.0	interleukin-12 and interleukin-33
PAD000044-Donor3-Control	Homo sapiens	culture supernatant	mucosal invariant T cell	normal	not available	not available	not available	adult	3	3	untreated	study sample	culture supernatant	PAD000044-r00034-Donor3-Control-1-20-MAIT_Alarmins2	protein expression profiling by antibody array	2	MAIT-Plate2.npx.csv	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2026/06/PAD000044/MAIT-Plate2.npx.csv	NT=Olink platform;AC=PRIDE:0000654	Olink Target 48	Cytokine	NPX	MAIT_Alarmins2	1:20	932007	Calibrator Normalized	Olink Target 48 Cytokine	Olink Target 48	Calibrator Normalized	v1.1.0	NT=sdrf-skills;VV=v0.0.0	NT=affinity-proteomics;VV=v1.0.0	NT=human;VV=v1.1.0	untreated
PAD000044-Donor3-Control	Homo sapiens	culture supernatant	mucosal invariant T cell	normal	not available	not available	not available	adult	3	3	untreated	study sample	culture supernatant	PAD000044-r00035-Donor3-Control-1-50-MAIT_Alarmins2	protein expression profiling by antibody array	3	MAIT-Plate2.npx.csv	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2026/06/PAD000044/MAIT-Plate2.npx.csv	NT=Olink platform;AC=PRIDE:0000654	Olink Target 48	Cytokine	NPX	MAIT_Alarmins2	1:50	932007	Calibrator Normalized	Olink Target 48 Cytokine	Olink Target 48	Calibrator Normalized	v1.1.0	NT=sdrf-skills;VV=v0.0.0	NT=affinity-proteomics;VV=v1.0.0	NT=human;VV=v1.1.0	untreated
