source name	characteristics[organism]	characteristics[organism part]	characteristics[cell line]	characteristics[biological replicate]	assay name	technology type	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf template]	comment[sdrf annotation tool]	comment[proteomics data acquisition method]	comment[instrument]	comment[cleavage agent details]	comment[label]	comment[fraction identifier]	factor value[experiment series]	factor value[submitted sample group]	factor value[RNAse treatment]
Mus-musculus-N2a-Ctrl-un-3	Mus musculus	not applicable	Neuro-2a	3	VK_N2a_cells_Ctrl_un_CW_F2203_193	proteomic profiling by mass spectrometry	1	VK_N2a_cells_Ctrl_un_CW_F2203_193.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion;AC=MS:1002416	not applicable	label free sample	1	N2a cellular proteome	N2a-Ctrl-un	not applicable
Mus-musculus-N2a-ADAR3-diff-4	Mus musculus	not applicable	Neuro-2a	4	VK_N2a_cells_ADAR3_diff_CW_F2203_186	proteomic profiling by mass spectrometry	1	VK_N2a_cells_ADAR3_diff_CW_F2203_186.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion;AC=MS:1002416	not applicable	label free sample	1	N2a cellular proteome	N2a-ADAR3-diff	not applicable
Mus-musculus-N2a-ADAR3-un-4	Mus musculus	not applicable	Neuro-2a	4	VK_N2a_cells_ADAR3_un_CW_F2203_195	proteomic profiling by mass spectrometry	1	VK_N2a_cells_ADAR3_un_CW_F2203_195.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion;AC=MS:1002416	not applicable	label free sample	1	N2a cellular proteome	N2a-ADAR3-un	not applicable
Mus-musculus-N2a-Ctrl-diff-3	Mus musculus	not applicable	Neuro-2a	3	VK_N2a_cells_Ctrl_diffCW_F2203_197	proteomic profiling by mass spectrometry	1	VK_N2a_cells_Ctrl_diffCW_F2203_197.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion;AC=MS:1002416	not applicable	label free sample	1	N2a cellular proteome	N2a-Ctrl-diff	not applicable
Mus-musculus-N2a-Ctrl-diff-4	Mus musculus	not applicable	Neuro-2a	4	VK_N2a_cells_Ctrl_diff_CW_F2203_184	proteomic profiling by mass spectrometry	1	VK_N2a_cells_Ctrl_diff_CW_F2203_184.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion;AC=MS:1002416	not applicable	label free sample	1	N2a cellular proteome	N2a-Ctrl-diff	not applicable
Mus-musculus-N2a-Ctrl-un-4	Mus musculus	not applicable	Neuro-2a	4	VK_N2a_cells_Ctrl_un_CW_F2203_180	proteomic profiling by mass spectrometry	1	VK_N2a_cells_Ctrl_un_CW_F2203_180.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion;AC=MS:1002416	not applicable	label free sample	1	N2a cellular proteome	N2a-Ctrl-un	not applicable
Mus-musculus-ADAR3-T3-minusRNAse-1	Mus musculus	not applicable	Neuro-2a	1	VK_ADAR3_co_IP_T3minusRNAse_1_CW_C2305_084	proteomic profiling by mass spectrometry	1	VK_ADAR3_co_IP_T3minusRNAse_1_CW_C2305_084.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Eclipse;AC=MS:1003029	not applicable	label free sample	1	ADAR3 co-immunoprecipitation	ADAR3-T3-minusRNAse	absent
Mus-musculus-ADAR3-Ctrl-plusRNAse-2	Mus musculus	not applicable	Neuro-2a	2	VK_ADAR3_co_IP_CtrlplusRNASe_2_CW_C2305_074	proteomic profiling by mass spectrometry	1	VK_ADAR3_co_IP_CtrlplusRNASe_2_CW_C2305_074.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Eclipse;AC=MS:1003029	not applicable	label free sample	1	ADAR3 co-immunoprecipitation	ADAR3-Ctrl-plusRNAse	present
Mus-musculus-ADAR3-T3-minusRNAse-2	Mus musculus	not applicable	Neuro-2a	2	VK_ADAR3_co_IP_T3minusRNAse_2_CW_C2305_086	proteomic profiling by mass spectrometry	1	VK_ADAR3_co_IP_T3minusRNAse_2_CW_C2305_086.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Eclipse;AC=MS:1003029	not applicable	label free sample	1	ADAR3 co-immunoprecipitation	ADAR3-T3-minusRNAse	absent
Mus-musculus-ADAR3-Ctrl-plusRNAse-2-rep2	Mus musculus	not applicable	Neuro-2a	2	VK_ADAR3_co_IP_CtrlplusRNASe_2_CW_C2305_080	proteomic profiling by mass spectrometry	1	VK_ADAR3_co_IP_CtrlplusRNASe_2_CW_C2305_080.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Eclipse;AC=MS:1003029	not applicable	label free sample	1	ADAR3 co-immunoprecipitation	ADAR3-Ctrl-plusRNAse	present
Mus-musculus-ADAR3-T3-plusRNAse-1	Mus musculus	not applicable	Neuro-2a	1	VK_ADAR3_co_IP_T3plusRNAse_1_CW_C2305_090	proteomic profiling by mass spectrometry	1	VK_ADAR3_co_IP_T3plusRNAse_1_CW_C2305_090.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Eclipse;AC=MS:1003029	not applicable	label free sample	1	ADAR3 co-immunoprecipitation	ADAR3-T3-plusRNAse	present
Mus-musculus-ADAR3-T3-plusRNAse-2	Mus musculus	not applicable	Neuro-2a	2	VK_ADAR3_co_IP_T3plusRNAse_2_CW_C2305_092	proteomic profiling by mass spectrometry	1	VK_ADAR3_co_IP_T3plusRNAse_2_CW_C2305_092.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Eclipse;AC=MS:1003029	not applicable	label free sample	1	ADAR3 co-immunoprecipitation	ADAR3-T3-plusRNAse	present
Mus-musculus-ADAR3-T3-minusRNAse-3	Mus musculus	not applicable	Neuro-2a	3	VK_ADAR3_co_IP_T3minusRNAse_3_CW_C2305_088	proteomic profiling by mass spectrometry	1	VK_ADAR3_co_IP_T3minusRNAse_3_CW_C2305_088.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Eclipse;AC=MS:1003029	not applicable	label free sample	1	ADAR3 co-immunoprecipitation	ADAR3-T3-minusRNAse	absent
Mus-musculus-ADAR3-Ctrl-minusRNAse-3	Mus musculus	not applicable	Neuro-2a	3	VK_ADAR3_co_IP_CtrlminusRNASe_3_CW_C2305_076	proteomic profiling by mass spectrometry	1	VK_ADAR3_co_IP_CtrlminusRNASe_3_CW_C2305_076.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Eclipse;AC=MS:1003029	not applicable	label free sample	1	ADAR3 co-immunoprecipitation	ADAR3-Ctrl-minusRNAse	absent
Mus-musculus-ADAR3-Ctrl-minusRNAse-1	Mus musculus	not applicable	Neuro-2a	1	VK_ADAR3_co_IP_CtrlminusRNASe_1_CW_C2305_072	proteomic profiling by mass spectrometry	1	VK_ADAR3_co_IP_CtrlminusRNASe_1_CW_C2305_072.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Eclipse;AC=MS:1003029	not applicable	label free sample	1	ADAR3 co-immunoprecipitation	ADAR3-Ctrl-minusRNAse	absent
Mus-musculus-ADAR3-Ctrl-plusRNAse-3	Mus musculus	not applicable	Neuro-2a	3	VK_ADAR3_co_IP_CtrlplusRNASe_3_CW_C2305_082	proteomic profiling by mass spectrometry	1	VK_ADAR3_co_IP_CtrlplusRNASe_3_CW_C2305_082.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Eclipse;AC=MS:1003029	not applicable	label free sample	1	ADAR3 co-immunoprecipitation	ADAR3-Ctrl-plusRNAse	present
Mus-musculus-ADAR3-Ctrl-plusRNAse-1	Mus musculus	not applicable	Neuro-2a	1	VK_ADAR3_co_IP_CtrlplusRNASe_1_CW_C2305_078	proteomic profiling by mass spectrometry	1	VK_ADAR3_co_IP_CtrlplusRNASe_1_CW_C2305_078.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Eclipse;AC=MS:1003029	not applicable	label free sample	1	ADAR3 co-immunoprecipitation	ADAR3-Ctrl-plusRNAse	present
Mus-musculus-ADAR3-T3-plusRNAse-3	Mus musculus	not applicable	Neuro-2a	3	VK_ADAR3_co_IP_T3plusRNAse_3_CW_C2305_094	proteomic profiling by mass spectrometry	1	VK_ADAR3_co_IP_T3plusRNAse_3_CW_C2305_094.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Eclipse;AC=MS:1003029	not applicable	label free sample	1	ADAR3 co-immunoprecipitation	ADAR3-T3-plusRNAse	present
