source name	characteristics[organism]	characteristics[organism part]	characteristics[cell line]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[instrument]	comment[label]	comment[cleavage agent details]	comment[modification parameters]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf template]	factor value[treatment]	factor value[temperature]
20210702_TPP_500alpha_52_001	Homo sapiens	cell culture	permanent cell line cell	001	20210702_TPP_500alpha_52_001	proteomic profiling by mass spectrometry	NT=data-independent acquisition;AC=PRIDE:0000628	NT=Synapt MS;AC=MS:1001782	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	1	1	20210702_TPP_500alpha_52_001.mgf	v1.1.0	NT=ms-proteomics;VV=v1.1.0	500alpha	52 degree Celsius
20210703_TPP_500alpha_37_002	Homo sapiens	cell culture	permanent cell line cell	002	20210703_TPP_500alpha_37_002	proteomic profiling by mass spectrometry	NT=data-independent acquisition;AC=PRIDE:0000628	NT=Synapt MS;AC=MS:1001782	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	1	1	20210703_TPP_500alpha_37_002.mgf	v1.1.0	NT=ms-proteomics;VV=v1.1.0	500alpha	37 degree Celsius
20210703_TPP_500alpha_42_003	Homo sapiens	cell culture	permanent cell line cell	003	20210703_TPP_500alpha_42_003	proteomic profiling by mass spectrometry	NT=data-independent acquisition;AC=PRIDE:0000628	NT=Synapt MS;AC=MS:1001782	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	1	1	20210703_TPP_500alpha_42_003.mgf	v1.1.0	NT=ms-proteomics;VV=v1.1.0	500alpha	42 degree Celsius
20210703_TPP_500alpha_47_003	Homo sapiens	cell culture	permanent cell line cell	003	20210703_TPP_500alpha_47_003	proteomic profiling by mass spectrometry	NT=data-independent acquisition;AC=PRIDE:0000628	NT=Synapt MS;AC=MS:1001782	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	1	1	20210703_TPP_500alpha_47_003.mgf	v1.1.0	NT=ms-proteomics;VV=v1.1.0	500alpha	47 degree Celsius
20210703_TPP_500alpha_52_002	Homo sapiens	cell culture	permanent cell line cell	002	20210703_TPP_500alpha_52_002	proteomic profiling by mass spectrometry	NT=data-independent acquisition;AC=PRIDE:0000628	NT=Synapt MS;AC=MS:1001782	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	1	1	20210703_TPP_500alpha_52_002.mgf	v1.1.0	NT=ms-proteomics;VV=v1.1.0	500alpha	52 degree Celsius
20210703_TPP_500alpha_67_003	Homo sapiens	cell culture	permanent cell line cell	003	20210703_TPP_500alpha_67_003	proteomic profiling by mass spectrometry	NT=data-independent acquisition;AC=PRIDE:0000628	NT=Synapt MS;AC=MS:1001782	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	1	1	20210703_TPP_500alpha_67_003.mgf	v1.1.0	NT=ms-proteomics;VV=v1.1.0	500alpha	67 degree Celsius
20210804_TPP_500ACTH_42_001	Homo sapiens	cell culture	permanent cell line cell	001	20210804_TPP_500ACTH_42_001	proteomic profiling by mass spectrometry	NT=data-independent acquisition;AC=PRIDE:0000628	NT=Synapt MS;AC=MS:1001782	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	1	1	20210804_TPP_500ACTH_42_001.mgf	v1.1.0	NT=ms-proteomics;VV=v1.1.0	500ACTH	42 degree Celsius
20210805_TPP_500ACTH_47_002	Homo sapiens	cell culture	permanent cell line cell	002	20210805_TPP_500ACTH_47_002	proteomic profiling by mass spectrometry	NT=data-independent acquisition;AC=PRIDE:0000628	NT=Synapt MS;AC=MS:1001782	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	1	1	20210805_TPP_500ACTH_47_002.mgf	v1.1.0	NT=ms-proteomics;VV=v1.1.0	500ACTH	47 degree Celsius
20210805_TPP_500ACTH_67_002	Homo sapiens	cell culture	permanent cell line cell	002	20210805_TPP_500ACTH_67_002	proteomic profiling by mass spectrometry	NT=data-independent acquisition;AC=PRIDE:0000628	NT=Synapt MS;AC=MS:1001782	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	1	1	20210805_TPP_500ACTH_67_002.mgf	v1.1.0	NT=ms-proteomics;VV=v1.1.0	500ACTH	67 degree Celsius
20210806_TPP_500ACTH_37_003	Homo sapiens	cell culture	permanent cell line cell	003	20210806_TPP_500ACTH_37_003	proteomic profiling by mass spectrometry	NT=data-independent acquisition;AC=PRIDE:0000628	NT=Synapt MS;AC=MS:1001782	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	1	1	20210806_TPP_500ACTH_37_003.mgf	v1.1.0	NT=ms-proteomics;VV=v1.1.0	500ACTH	37 degree Celsius
20210806_TPP_500ACTH_57_003	Homo sapiens	cell culture	permanent cell line cell	003	20210806_TPP_500ACTH_57_003	proteomic profiling by mass spectrometry	NT=data-independent acquisition;AC=PRIDE:0000628	NT=Synapt MS;AC=MS:1001782	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	1	1	20210806_TPP_500ACTH_57_003.mgf	v1.1.0	NT=ms-proteomics;VV=v1.1.0	500ACTH	57 degree Celsius
20210807_TPP_20gamma_42_001	Homo sapiens	cell culture	permanent cell line cell	001	20210807_TPP_20gamma_42_001	proteomic profiling by mass spectrometry	NT=data-independent acquisition;AC=PRIDE:0000628	NT=Synapt MS;AC=MS:1001782	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	1	1	20210807_TPP_20gamma_42_001.mgf	v1.1.0	NT=ms-proteomics;VV=v1.1.0	20gamma	42 degree Celsius
20210807_TPP_20gamma_52_001	Homo sapiens	cell culture	permanent cell line cell	001	20210807_TPP_20gamma_52_001	proteomic profiling by mass spectrometry	NT=data-independent acquisition;AC=PRIDE:0000628	NT=Synapt MS;AC=MS:1001782	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	1	1	20210807_TPP_20gamma_52_001.mgf	v1.1.0	NT=ms-proteomics;VV=v1.1.0	20gamma	52 degree Celsius
20210807_TPP_20gamma_57_001	Homo sapiens	cell culture	permanent cell line cell	001	20210807_TPP_20gamma_57_001	proteomic profiling by mass spectrometry	NT=data-independent acquisition;AC=PRIDE:0000628	NT=Synapt MS;AC=MS:1001782	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	1	1	20210807_TPP_20gamma_57_001.mgf	v1.1.0	NT=ms-proteomics;VV=v1.1.0	20gamma	57 degree Celsius
20210807_TPP_20gamma_57_003	Homo sapiens	cell culture	permanent cell line cell	003	20210807_TPP_20gamma_57_003	proteomic profiling by mass spectrometry	NT=data-independent acquisition;AC=PRIDE:0000628	NT=Synapt MS;AC=MS:1001782	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	1	1	20210807_TPP_20gamma_57_003.mgf	v1.1.0	NT=ms-proteomics;VV=v1.1.0	20gamma	57 degree Celsius
20210807_TPP_20gamma_62_002	Homo sapiens	cell culture	permanent cell line cell	002	20210807_TPP_20gamma_62_002	proteomic profiling by mass spectrometry	NT=data-independent acquisition;AC=PRIDE:0000628	NT=Synapt MS;AC=MS:1001782	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	1	1	20210807_TPP_20gamma_62_002.mgf	v1.1.0	NT=ms-proteomics;VV=v1.1.0	20gamma	62 degree Celsius
20210807_TPP_20gamma_67_002	Homo sapiens	cell culture	permanent cell line cell	002	20210807_TPP_20gamma_67_002	proteomic profiling by mass spectrometry	NT=data-independent acquisition;AC=PRIDE:0000628	NT=Synapt MS;AC=MS:1001782	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	1	1	20210807_TPP_20gamma_67_002.mgf	v1.1.0	NT=ms-proteomics;VV=v1.1.0	20gamma	67 degree Celsius
20210807_TPP_20gamma_67_003	Homo sapiens	cell culture	permanent cell line cell	003	20210807_TPP_20gamma_67_003	proteomic profiling by mass spectrometry	NT=data-independent acquisition;AC=PRIDE:0000628	NT=Synapt MS;AC=MS:1001782	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	1	1	20210807_TPP_20gamma_67_003.mgf	v1.1.0	NT=ms-proteomics;VV=v1.1.0	20gamma	67 degree Celsius
20210809_TPP_100alpha_37_001	Homo sapiens	cell culture	permanent cell line cell	001	20210809_TPP_100alpha_37_001	proteomic profiling by mass spectrometry	NT=data-independent acquisition;AC=PRIDE:0000628	NT=Synapt MS;AC=MS:1001782	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	1	1	20210809_TPP_100alpha_37_001.mgf	v1.1.0	NT=ms-proteomics;VV=v1.1.0	100alpha	37 degree Celsius
20210809_TPP_100alpha_42_001	Homo sapiens	cell culture	permanent cell line cell	001	20210809_TPP_100alpha_42_001	proteomic profiling by mass spectrometry	NT=data-independent acquisition;AC=PRIDE:0000628	NT=Synapt MS;AC=MS:1001782	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	1	1	20210809_TPP_100alpha_42_001.mgf	v1.1.0	NT=ms-proteomics;VV=v1.1.0	100alpha	42 degree Celsius
20210809_TPP_100alpha_57_001	Homo sapiens	cell culture	permanent cell line cell	001	20210809_TPP_100alpha_57_001	proteomic profiling by mass spectrometry	NT=data-independent acquisition;AC=PRIDE:0000628	NT=Synapt MS;AC=MS:1001782	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	1	1	20210809_TPP_100alpha_57_001.mgf	v1.1.0	NT=ms-proteomics;VV=v1.1.0	100alpha	57 degree Celsius
20210809_TPP_100alpha_62_001	Homo sapiens	cell culture	permanent cell line cell	001	20210809_TPP_100alpha_62_001	proteomic profiling by mass spectrometry	NT=data-independent acquisition;AC=PRIDE:0000628	NT=Synapt MS;AC=MS:1001782	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	1	1	20210809_TPP_100alpha_62_001.mgf	v1.1.0	NT=ms-proteomics;VV=v1.1.0	100alpha	62 degree Celsius
20210810_TPP_100ACTH_37_001	Homo sapiens	cell culture	permanent cell line cell	001	20210810_TPP_100ACTH_37_001	proteomic profiling by mass spectrometry	NT=data-independent acquisition;AC=PRIDE:0000628	NT=Synapt MS;AC=MS:1001782	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	1	1	20210810_TPP_100ACTH_37_001.mgf	v1.1.0	NT=ms-proteomics;VV=v1.1.0	100ACTH	37 degree Celsius
20210810_TPP_100ACTH_62_001	Homo sapiens	cell culture	permanent cell line cell	001	20210810_TPP_100ACTH_62_001	proteomic profiling by mass spectrometry	NT=data-independent acquisition;AC=PRIDE:0000628	NT=Synapt MS;AC=MS:1001782	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	1	1	20210810_TPP_100ACTH_62_001.mgf	v1.1.0	NT=ms-proteomics;VV=v1.1.0	100ACTH	62 degree Celsius
20210810_TPP_100ACTH_67_001	Homo sapiens	cell culture	permanent cell line cell	001	20210810_TPP_100ACTH_67_001	proteomic profiling by mass spectrometry	NT=data-independent acquisition;AC=PRIDE:0000628	NT=Synapt MS;AC=MS:1001782	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	1	1	20210810_TPP_100ACTH_67_001.mgf	v1.1.0	NT=ms-proteomics;VV=v1.1.0	100ACTH	67 degree Celsius
20210810_TPP_20alpha_47_001	Homo sapiens	cell culture	permanent cell line cell	001	20210810_TPP_20alpha_47_001	proteomic profiling by mass spectrometry	NT=data-independent acquisition;AC=PRIDE:0000628	NT=Synapt MS;AC=MS:1001782	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	1	1	20210810_TPP_20alpha_47_001.mgf	v1.1.0	NT=ms-proteomics;VV=v1.1.0	20alpha	47 degree Celsius
20210810_TPP_20alpha_52_001	Homo sapiens	cell culture	permanent cell line cell	001	20210810_TPP_20alpha_52_001	proteomic profiling by mass spectrometry	NT=data-independent acquisition;AC=PRIDE:0000628	NT=Synapt MS;AC=MS:1001782	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	1	1	20210810_TPP_20alpha_52_001.mgf	v1.1.0	NT=ms-proteomics;VV=v1.1.0	20alpha	52 degree Celsius
