source name	characteristics[organism]	characteristics[organism part]	characteristics[cell line]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[instrument]	comment[label]	comment[cleavage agent details]	comment[modification parameters]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf template]	factor value[experiment]
20210512_HeLa_FASP_05A_001	Homo sapiens	cell culture	HeLa	12	20210512_HeLa_FASP_05A_001	proteomic profiling by mass spectrometry	NT=data-independent acquisition;AC=PRIDE:0000628	NT=Synapt MS;AC=MS:1001782	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	1	1	20210512_HeLa_FASP_05A_001.mgf	v1.1.0	NT=ms-proteomics;VV=v1.1.0	HeLa FASP
20210512_HeLa_FASP_05B_001	Homo sapiens	cell culture	HeLa	13	20210512_HeLa_FASP_05B_001	proteomic profiling by mass spectrometry	NT=data-independent acquisition;AC=PRIDE:0000628	NT=Synapt MS;AC=MS:1001782	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	1	1	20210512_HeLa_FASP_05B_001.mgf	v1.1.0	NT=ms-proteomics;VV=v1.1.0	HeLa FASP
20210512_HeLa_FASP_05C_001	Homo sapiens	cell culture	HeLa	14	20210512_HeLa_FASP_05C_001	proteomic profiling by mass spectrometry	NT=data-independent acquisition;AC=PRIDE:0000628	NT=Synapt MS;AC=MS:1001782	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	1	1	20210512_HeLa_FASP_05C_001.mgf	v1.1.0	NT=ms-proteomics;VV=v1.1.0	HeLa FASP
20210512_HeLa_uFASP_25A_001	Mus musculus	pancreatic islet	not applicable	15	20210512_HeLa_uFASP_25A_001	proteomic profiling by mass spectrometry	NT=data-independent acquisition;AC=PRIDE:0000628	NT=Synapt MS;AC=MS:1001782	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	1	1	20210512_HeLa_uFASP_25A_001.mgf	v1.1.0	NT=ms-proteomics;VV=v1.1.0	355
20210512_HeLa_uFASP_5A_001	Mus musculus	pancreatic islet	not applicable	16	20210512_HeLa_uFASP_5A_001	proteomic profiling by mass spectrometry	NT=data-independent acquisition;AC=PRIDE:0000628	NT=Synapt MS;AC=MS:1001782	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	1	1	20210512_HeLa_uFASP_5A_001.mgf	v1.1.0	NT=ms-proteomics;VV=v1.1.0	355
20210519_HeLa_uFASP_25B_002	Mus musculus	pancreatic islet	not applicable	17	20210519_HeLa_uFASP_25B_002	proteomic profiling by mass spectrometry	NT=data-independent acquisition;AC=PRIDE:0000628	NT=Synapt MS;AC=MS:1001782	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	1	1	20210519_HeLa_uFASP_25B_002.mgf	v1.1.0	NT=ms-proteomics;VV=v1.1.0	355
20210519_HeLa_uFASP_5B_002	Mus musculus	pancreatic islet	not applicable	18	20210519_HeLa_uFASP_5B_002	proteomic profiling by mass spectrometry	NT=data-independent acquisition;AC=PRIDE:0000628	NT=Synapt MS;AC=MS:1001782	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	1	1	20210519_HeLa_uFASP_5B_002.mgf	v1.1.0	NT=ms-proteomics;VV=v1.1.0	355
20210519_HeLa_uFASP_5C_005	Mus musculus	pancreatic islet	not applicable	19	20210519_HeLa_uFASP_5C_005	proteomic profiling by mass spectrometry	NT=data-independent acquisition;AC=PRIDE:0000628	NT=Synapt MS;AC=MS:1001782	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	1	1	20210519_HeLa_uFASP_5C_005.mgf	v1.1.0	NT=ms-proteomics;VV=v1.1.0	355
20210520_HeLa_uFASP_25C_001	Mus musculus	pancreatic islet	not applicable	20	20210520_HeLa_uFASP_25C_001	proteomic profiling by mass spectrometry	NT=data-independent acquisition;AC=PRIDE:0000628	NT=Synapt MS;AC=MS:1001782	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	1	1	20210520_HeLa_uFASP_25C_001.mgf	v1.1.0	NT=ms-proteomics;VV=v1.1.0	355
20210521_HeLa_uFASP_25D_002	Mus musculus	pancreatic islet	not applicable	21	20210521_HeLa_uFASP_25D_002	proteomic profiling by mass spectrometry	NT=data-independent acquisition;AC=PRIDE:0000628	NT=Synapt MS;AC=MS:1001782	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	1	1	20210521_HeLa_uFASP_25D_002.mgf	v1.1.0	NT=ms-proteomics;VV=v1.1.0	355
20210521_HeLa_uFASP_5D_002	Mus musculus	pancreatic islet	not applicable	22	20210521_HeLa_uFASP_5D_002	proteomic profiling by mass spectrometry	NT=data-independent acquisition;AC=PRIDE:0000628	NT=Synapt MS;AC=MS:1001782	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	1	1	20210521_HeLa_uFASP_5D_002.mgf	v1.1.0	NT=ms-proteomics;VV=v1.1.0	355
20210703_HeLa_uFASP_11_001	Mus musculus	pancreatic islet	not applicable	23	20210703_HeLa_uFASP_11_001	proteomic profiling by mass spectrometry	NT=data-independent acquisition;AC=PRIDE:0000628	NT=Synapt MS;AC=MS:1001782	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	1	1	20210703_HeLa_uFASP_11_001.mgf	v1.1.0	NT=ms-proteomics;VV=v1.1.0	333
20210703_HeLa_uFASP_12_001	Mus musculus	pancreatic islet	not applicable	24	20210703_HeLa_uFASP_12_001	proteomic profiling by mass spectrometry	NT=data-independent acquisition;AC=PRIDE:0000628	NT=Synapt MS;AC=MS:1001782	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	1	1	20210703_HeLa_uFASP_12_001.mgf	v1.1.0	NT=ms-proteomics;VV=v1.1.0	333
20210703_HeLa_uFASP_14_001	Mus musculus	pancreatic islet	not applicable	25	20210703_HeLa_uFASP_14_001	proteomic profiling by mass spectrometry	NT=data-independent acquisition;AC=PRIDE:0000628	NT=Synapt MS;AC=MS:1001782	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	1	1	20210703_HeLa_uFASP_14_001.mgf	v1.1.0	NT=ms-proteomics;VV=v1.1.0	333
20210703_HeLa_uFASP_15_001	Mus musculus	pancreatic islet	not applicable	26	20210703_HeLa_uFASP_15_001	proteomic profiling by mass spectrometry	NT=data-independent acquisition;AC=PRIDE:0000628	NT=Synapt MS;AC=MS:1001782	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	1	1	20210703_HeLa_uFASP_15_001.mgf	v1.1.0	NT=ms-proteomics;VV=v1.1.0	333
20210706_HeLa_uFASP_12_001	Mus musculus	pancreatic islet	not applicable	27	20210706_HeLa_uFASP_12_001	proteomic profiling by mass spectrometry	NT=data-independent acquisition;AC=PRIDE:0000628	NT=Synapt MS;AC=MS:1001782	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	1	1	20210706_HeLa_uFASP_12_001.mgf	v1.1.0	NT=ms-proteomics;VV=v1.1.0	335
20210706_HeLa_uFASP_13_001	Mus musculus	pancreatic islet	not applicable	28	20210706_HeLa_uFASP_13_001	proteomic profiling by mass spectrometry	NT=data-independent acquisition;AC=PRIDE:0000628	NT=Synapt MS;AC=MS:1001782	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	1	1	20210706_HeLa_uFASP_13_001.mgf	v1.1.0	NT=ms-proteomics;VV=v1.1.0	335
20210706_HeLa_uFASP_14_001	Mus musculus	pancreatic islet	not applicable	29	20210706_HeLa_uFASP_14_001	proteomic profiling by mass spectrometry	NT=data-independent acquisition;AC=PRIDE:0000628	NT=Synapt MS;AC=MS:1001782	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	1	1	20210706_HeLa_uFASP_14_001.mgf	v1.1.0	NT=ms-proteomics;VV=v1.1.0	335
20210707_HeLa_uFASP_11_002	Mus musculus	pancreatic islet	not applicable	30	20210707_HeLa_uFASP_11_002	proteomic profiling by mass spectrometry	NT=data-independent acquisition;AC=PRIDE:0000628	NT=Synapt MS;AC=MS:1001782	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	1	1	20210707_HeLa_uFASP_11_002.mgf	v1.1.0	NT=ms-proteomics;VV=v1.1.0	335
20210708_HeLa_uFASP_025B_001	Homo sapiens	cell culture	HeLa	31	20210708_HeLa_uFASP_025B_001	proteomic profiling by mass spectrometry	NT=data-independent acquisition;AC=PRIDE:0000628	NT=Synapt MS;AC=MS:1001782	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	1	1	20210708_HeLa_uFASP_025B_001.mgf	v1.1.0	NT=ms-proteomics;VV=v1.1.0	HeLa uFASP
20210708_HeLa_uFASP_05A_001	Homo sapiens	cell culture	HeLa	32	20210708_HeLa_uFASP_05A_001	proteomic profiling by mass spectrometry	NT=data-independent acquisition;AC=PRIDE:0000628	NT=Synapt MS;AC=MS:1001782	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	1	1	20210708_HeLa_uFASP_05A_001.mgf	v1.1.0	NT=ms-proteomics;VV=v1.1.0	HeLa uFASP
20210708_HeLa_uFASP_05C_001	Homo sapiens	cell culture	HeLa	33	20210708_HeLa_uFASP_05C_001	proteomic profiling by mass spectrometry	NT=data-independent acquisition;AC=PRIDE:0000628	NT=Synapt MS;AC=MS:1001782	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	1	1	20210708_HeLa_uFASP_05C_001.mgf	v1.1.0	NT=ms-proteomics;VV=v1.1.0	HeLa uFASP
20210708_HeLa_uFASP_1B_001	Mus musculus	pancreatic islet	not applicable	34	20210708_HeLa_uFASP_1B_001	proteomic profiling by mass spectrometry	NT=data-independent acquisition;AC=PRIDE:0000628	NT=Synapt MS;AC=MS:1001782	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	1	1	20210708_HeLa_uFASP_1B_001.mgf	v1.1.0	NT=ms-proteomics;VV=v1.1.0	355
20210709_HeLa_uFASP_025C_002	Homo sapiens	cell culture	HeLa	35	20210709_HeLa_uFASP_025C_002	proteomic profiling by mass spectrometry	NT=data-independent acquisition;AC=PRIDE:0000628	NT=Synapt MS;AC=MS:1001782	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	1	1	20210709_HeLa_uFASP_025C_002.mgf	v1.1.0	NT=ms-proteomics;VV=v1.1.0	HeLa uFASP
20210709_HeLa_uFASP_025D_001	Homo sapiens	cell culture	HeLa	36	20210709_HeLa_uFASP_025D_001	proteomic profiling by mass spectrometry	NT=data-independent acquisition;AC=PRIDE:0000628	NT=Synapt MS;AC=MS:1001782	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	1	1	20210709_HeLa_uFASP_025D_001.mgf	v1.1.0	NT=ms-proteomics;VV=v1.1.0	HeLa uFASP
20210709_HeLa_uFASP_025E_001	Homo sapiens	cell culture	HeLa	37	20210709_HeLa_uFASP_025E_001	proteomic profiling by mass spectrometry	NT=data-independent acquisition;AC=PRIDE:0000628	NT=Synapt MS;AC=MS:1001782	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	1	1	20210709_HeLa_uFASP_025E_001.mgf	v1.1.0	NT=ms-proteomics;VV=v1.1.0	HeLa uFASP
20210709_HeLa_uFASP_05B_002	Homo sapiens	cell culture	HeLa	38	20210709_HeLa_uFASP_05B_002	proteomic profiling by mass spectrometry	NT=data-independent acquisition;AC=PRIDE:0000628	NT=Synapt MS;AC=MS:1001782	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	1	1	20210709_HeLa_uFASP_05B_002.mgf	v1.1.0	NT=ms-proteomics;VV=v1.1.0	HeLa uFASP
20210709_HeLa_uFASP_05D_002	Homo sapiens	cell culture	HeLa	39	20210709_HeLa_uFASP_05D_002	proteomic profiling by mass spectrometry	NT=data-independent acquisition;AC=PRIDE:0000628	NT=Synapt MS;AC=MS:1001782	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	1	1	20210709_HeLa_uFASP_05D_002.mgf	v1.1.0	NT=ms-proteomics;VV=v1.1.0	HeLa uFASP
20210709_HeLa_uFASP_05E_001	Homo sapiens	cell culture	HeLa	40	20210709_HeLa_uFASP_05E_001	proteomic profiling by mass spectrometry	NT=data-independent acquisition;AC=PRIDE:0000628	NT=Synapt MS;AC=MS:1001782	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	1	1	20210709_HeLa_uFASP_05E_001.mgf	v1.1.0	NT=ms-proteomics;VV=v1.1.0	HeLa uFASP
20210709_HeLa_uFASP_1C_002	Mus musculus	pancreatic islet	not applicable	41	20210709_HeLa_uFASP_1C_002	proteomic profiling by mass spectrometry	NT=data-independent acquisition;AC=PRIDE:0000628	NT=Synapt MS;AC=MS:1001782	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	1	1	20210709_HeLa_uFASP_1C_002.mgf	v1.1.0	NT=ms-proteomics;VV=v1.1.0	355
20210709_HeLa_uFASP_1D_002	Mus musculus	pancreatic islet	not applicable	42	20210709_HeLa_uFASP_1D_002	proteomic profiling by mass spectrometry	NT=data-independent acquisition;AC=PRIDE:0000628	NT=Synapt MS;AC=MS:1001782	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	1	1	20210709_HeLa_uFASP_1D_002.mgf	v1.1.0	NT=ms-proteomics;VV=v1.1.0	355
20210709_HeLa_uFASP_1E_001	Mus musculus	pancreatic islet	not applicable	43	20210709_HeLa_uFASP_1E_001	proteomic profiling by mass spectrometry	NT=data-independent acquisition;AC=PRIDE:0000628	NT=Synapt MS;AC=MS:1001782	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	1	1	20210709_HeLa_uFASP_1E_001.mgf	v1.1.0	NT=ms-proteomics;VV=v1.1.0	355
20210714_Islet2_uFASP_001	Mus musculus	pancreatic islet	not applicable	44	20210714_Islet2_uFASP_001	proteomic profiling by mass spectrometry	NT=data-independent acquisition;AC=PRIDE:0000628	NT=Synapt MS;AC=MS:1001782	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	1	1	20210714_Islet2_uFASP_001.mgf	v1.1.0	NT=ms-proteomics;VV=v1.1.0	Islets uFASP
20210714_Islet3_uFASP_001	Mus musculus	pancreatic islet	not applicable	45	20210714_Islet3_uFASP_001	proteomic profiling by mass spectrometry	NT=data-independent acquisition;AC=PRIDE:0000628	NT=Synapt MS;AC=MS:1001782	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	1	1	20210714_Islet3_uFASP_001.mgf	v1.1.0	NT=ms-proteomics;VV=v1.1.0	Islets uFASP
20210714_Islet4_uFASP_001	Mus musculus	pancreatic islet	not applicable	46	20210714_Islet4_uFASP_001	proteomic profiling by mass spectrometry	NT=data-independent acquisition;AC=PRIDE:0000628	NT=Synapt MS;AC=MS:1001782	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	1	1	20210714_Islet4_uFASP_001.mgf	v1.1.0	NT=ms-proteomics;VV=v1.1.0	Islets uFASP
20210714_Islet7_uFASP_001	Mus musculus	pancreatic islet	not applicable	47	20210714_Islet7_uFASP_001	proteomic profiling by mass spectrometry	NT=data-independent acquisition;AC=PRIDE:0000628	NT=Synapt MS;AC=MS:1001782	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	1	1	20210714_Islet7_uFASP_001.mgf	v1.1.0	NT=ms-proteomics;VV=v1.1.0	Islets uFASP
20210714_Islet8_uFASP_001	Mus musculus	pancreatic islet	not applicable	48	20210714_Islet8_uFASP_001	proteomic profiling by mass spectrometry	NT=data-independent acquisition;AC=PRIDE:0000628	NT=Synapt MS;AC=MS:1001782	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	1	1	20210714_Islet8_uFASP_001.mgf	v1.1.0	NT=ms-proteomics;VV=v1.1.0	Islets uFASP
20210714_Islet9_uFASP_001	Mus musculus	pancreatic islet	not applicable	49	20210714_Islet9_uFASP_001	proteomic profiling by mass spectrometry	NT=data-independent acquisition;AC=PRIDE:0000628	NT=Synapt MS;AC=MS:1001782	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	1	1	20210714_Islet9_uFASP_001.mgf	v1.1.0	NT=ms-proteomics;VV=v1.1.0	Islets uFASP
20210727_IsletII2_uFASP_1	Mus musculus	pancreatic islet	not applicable	50	20210727_IsletII2_uFASP_1	proteomic profiling by mass spectrometry	NT=data-independent acquisition;AC=PRIDE:0000628	NT=Synapt MS;AC=MS:1001782	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	1	1	20210727_IsletII2_uFASP_1.mgf	v1.1.0	NT=ms-proteomics;VV=v1.1.0	Islets uFASP
20210727_IsletII2_uFASP_1	Mus musculus	pancreatic islet	not applicable	50	20210727_IsletII2_uFASP_1_Mouse_islets_neuropeptides_FDR1_2	proteomic profiling by mass spectrometry	NT=data-independent acquisition;AC=PRIDE:0000628	NT=Synapt MS;AC=MS:1001782	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	1	1	20210727_IsletII2_uFASP_1_Mouse_islets_neuropeptides_FDR1_2.mgf	v1.1.0	NT=ms-proteomics;VV=v1.1.0	Islets uFASP
20210727_IsletII6_uFASP_4	Mus musculus	pancreatic islet	not applicable	51	20210727_IsletII6_uFASP_4	proteomic profiling by mass spectrometry	NT=data-independent acquisition;AC=PRIDE:0000628	NT=Synapt MS;AC=MS:1001782	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	1	1	20210727_IsletII6_uFASP_4.mgf	v1.1.0	NT=ms-proteomics;VV=v1.1.0	Islets uFASP
20210727_IsletII6_uFASP_4	Mus musculus	pancreatic islet	not applicable	51	20210727_IsletII6_uFASP_4_Mouse_islets_neuropeptides_FDR1_2	proteomic profiling by mass spectrometry	NT=data-independent acquisition;AC=PRIDE:0000628	NT=Synapt MS;AC=MS:1001782	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	1	1	20210727_IsletII6_uFASP_4_Mouse_islets_neuropeptides_FDR1_2.mgf	v1.1.0	NT=ms-proteomics;VV=v1.1.0	Islets uFASP
