source name	characteristics[organism]	characteristics[organism part]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[instrument]	comment[label]	comment[cleavage agent details]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf template]	factor value[submitted sample group]
HLA-DR submitted run 20151029_09_Qp2_ajy_th_HLA-DR_14	Homo sapiens	cell culture	1	20151029_09_Qp2_ajy_th_HLA-DR_14	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=label free sample;AC=MS:1002038	NT=unspecific cleavage;AC=MS:1001955	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=NQ;MT=Variable	NT=Gln->pyro-Glu;AC=UNIMOD:28;TA=Q;MT=Variable	1	1	20151029_09_Qp2_ajy_th_HLA-DR_14.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	HLA-DR
HLA-DR submitted run 20151029_11_Qp2_ajy_th_HLA-DR_18	Homo sapiens	cell culture	1	20151029_11_Qp2_ajy_th_HLA-DR_18	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=label free sample;AC=MS:1002038	NT=unspecific cleavage;AC=MS:1001955	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=NQ;MT=Variable	NT=Gln->pyro-Glu;AC=UNIMOD:28;TA=Q;MT=Variable	1	1	20151029_11_Qp2_ajy_th_HLA-DR_18.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	HLA-DR
HLA-DR submitted run 20151029_12_Qp2_ajy_th_HLA-DR_19	Homo sapiens	cell culture	1	20151029_12_Qp2_ajy_th_HLA-DR_19	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=label free sample;AC=MS:1002038	NT=unspecific cleavage;AC=MS:1001955	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=NQ;MT=Variable	NT=Gln->pyro-Glu;AC=UNIMOD:28;TA=Q;MT=Variable	1	1	20151029_12_Qp2_ajy_th_HLA-DR_19.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	HLA-DR
HLA-DR submitted run 20151029_14_Qp2_ajy_th_HLA-DR_21	Homo sapiens	cell culture	1	20151029_14_Qp2_ajy_th_HLA-DR_21	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=label free sample;AC=MS:1002038	NT=unspecific cleavage;AC=MS:1001955	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=NQ;MT=Variable	NT=Gln->pyro-Glu;AC=UNIMOD:28;TA=Q;MT=Variable	1	1	20151029_14_Qp2_ajy_th_HLA-DR_21.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	HLA-DR
HLA-DR submitted run 20151029_15_Qp2_ajy_th_HLA-DR_22	Homo sapiens	cell culture	1	20151029_15_Qp2_ajy_th_HLA-DR_22	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=label free sample;AC=MS:1002038	NT=unspecific cleavage;AC=MS:1001955	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=NQ;MT=Variable	NT=Gln->pyro-Glu;AC=UNIMOD:28;TA=Q;MT=Variable	1	1	20151029_15_Qp2_ajy_th_HLA-DR_22.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	HLA-DR
HLA-DR submitted run 20151029_16_Qp2_ajy_th_HLA-DR_24	Homo sapiens	cell culture	1	20151029_16_Qp2_ajy_th_HLA-DR_24	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=label free sample;AC=MS:1002038	NT=unspecific cleavage;AC=MS:1001955	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=NQ;MT=Variable	NT=Gln->pyro-Glu;AC=UNIMOD:28;TA=Q;MT=Variable	1	1	20151029_16_Qp2_ajy_th_HLA-DR_24.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	HLA-DR
HLA-DR submitted run 20151029_17_Qp2_ajy_th_HLA-DR_26	Homo sapiens	cell culture	1	20151029_17_Qp2_ajy_th_HLA-DR_26	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=label free sample;AC=MS:1002038	NT=unspecific cleavage;AC=MS:1001955	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=NQ;MT=Variable	NT=Gln->pyro-Glu;AC=UNIMOD:28;TA=Q;MT=Variable	1	1	20151029_17_Qp2_ajy_th_HLA-DR_26.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	HLA-DR
HLA-DR submitted run 20151029_18_Qp2_ajy_th_HLA-DR_27	Homo sapiens	cell culture	1	20151029_18_Qp2_ajy_th_HLA-DR_27	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=label free sample;AC=MS:1002038	NT=unspecific cleavage;AC=MS:1001955	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=NQ;MT=Variable	NT=Gln->pyro-Glu;AC=UNIMOD:28;TA=Q;MT=Variable	1	1	20151029_18_Qp2_ajy_th_HLA-DR_27.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	HLA-DR
HLA-DR submitted run 20151029_19_Qp2_ajy_th_HLA-DR_31	Homo sapiens	cell culture	1	20151029_19_Qp2_ajy_th_HLA-DR_31	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=label free sample;AC=MS:1002038	NT=unspecific cleavage;AC=MS:1001955	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=NQ;MT=Variable	NT=Gln->pyro-Glu;AC=UNIMOD:28;TA=Q;MT=Variable	1	1	20151029_19_Qp2_ajy_th_HLA-DR_31.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	HLA-DR
HLA-DR submitted run 20151106_05_Qp2_ajy_th_HLA-DR_2	Homo sapiens	cell culture	1	20151106_05_Qp2_ajy_th_HLA-DR_2	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=label free sample;AC=MS:1002038	NT=unspecific cleavage;AC=MS:1001955	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=NQ;MT=Variable	NT=Gln->pyro-Glu;AC=UNIMOD:28;TA=Q;MT=Variable	1	1	20151106_05_Qp2_ajy_th_HLA-DR_2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	HLA-DR
HLA-DR submitted run 20151106_07_Qp2_ajy_th_HLA-DR_6	Homo sapiens	cell culture	1	20151106_07_Qp2_ajy_th_HLA-DR_6	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=label free sample;AC=MS:1002038	NT=unspecific cleavage;AC=MS:1001955	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=NQ;MT=Variable	NT=Gln->pyro-Glu;AC=UNIMOD:28;TA=Q;MT=Variable	1	1	20151106_07_Qp2_ajy_th_HLA-DR_6.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	HLA-DR
HLA-DR submitted run 20151106_08_Qp2_ajy_th_HLA-DR_9	Homo sapiens	cell culture	1	20151106_08_Qp2_ajy_th_HLA-DR_9	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=label free sample;AC=MS:1002038	NT=unspecific cleavage;AC=MS:1001955	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=NQ;MT=Variable	NT=Gln->pyro-Glu;AC=UNIMOD:28;TA=Q;MT=Variable	1	1	20151106_08_Qp2_ajy_th_HLA-DR_9.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	HLA-DR
HLA-DR submitted run 20151106_09_Qp2_ajy_th_HLA-DR_10	Homo sapiens	cell culture	1	20151106_09_Qp2_ajy_th_HLA-DR_10	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=label free sample;AC=MS:1002038	NT=unspecific cleavage;AC=MS:1001955	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=NQ;MT=Variable	NT=Gln->pyro-Glu;AC=UNIMOD:28;TA=Q;MT=Variable	1	1	20151106_09_Qp2_ajy_th_HLA-DR_10.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	HLA-DR
HLA-DR submitted run 20151106_10_Qp2_ajy_th_HLA-DR_12	Homo sapiens	cell culture	1	20151106_10_Qp2_ajy_th_HLA-DR_12	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=label free sample;AC=MS:1002038	NT=unspecific cleavage;AC=MS:1001955	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=NQ;MT=Variable	NT=Gln->pyro-Glu;AC=UNIMOD:28;TA=Q;MT=Variable	1	1	20151106_10_Qp2_ajy_th_HLA-DR_12.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	HLA-DR
HLA-DR submitted run 20151106_11_Qp2_ajy_th_HLA-DR_13	Homo sapiens	cell culture	1	20151106_11_Qp2_ajy_th_HLA-DR_13	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=label free sample;AC=MS:1002038	NT=unspecific cleavage;AC=MS:1001955	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=NQ;MT=Variable	NT=Gln->pyro-Glu;AC=UNIMOD:28;TA=Q;MT=Variable	1	1	20151106_11_Qp2_ajy_th_HLA-DR_13.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	HLA-DR
HLA-DR submitted run 20151106_12_Qp2_ajy_th_HLA-DR_15	Homo sapiens	cell culture	1	20151106_12_Qp2_ajy_th_HLA-DR_15	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=label free sample;AC=MS:1002038	NT=unspecific cleavage;AC=MS:1001955	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=NQ;MT=Variable	NT=Gln->pyro-Glu;AC=UNIMOD:28;TA=Q;MT=Variable	1	1	20151106_12_Qp2_ajy_th_HLA-DR_15.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	HLA-DR
HLA-DR submitted run 20151106_13_Qp2_ajy_th_HLA-DR_16	Homo sapiens	cell culture	1	20151106_13_Qp2_ajy_th_HLA-DR_16	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=label free sample;AC=MS:1002038	NT=unspecific cleavage;AC=MS:1001955	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=NQ;MT=Variable	NT=Gln->pyro-Glu;AC=UNIMOD:28;TA=Q;MT=Variable	1	1	20151106_13_Qp2_ajy_th_HLA-DR_16.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	HLA-DR
HLA-DR submitted run 20151106_14_Qp2_ajy_th_HLA-DR_23	Homo sapiens	cell culture	1	20151106_14_Qp2_ajy_th_HLA-DR_23	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=label free sample;AC=MS:1002038	NT=unspecific cleavage;AC=MS:1001955	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=NQ;MT=Variable	NT=Gln->pyro-Glu;AC=UNIMOD:28;TA=Q;MT=Variable	1	1	20151106_14_Qp2_ajy_th_HLA-DR_23.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	HLA-DR
HLA-DR submitted run 20151106_16_Qp2_ajy_th_HLA-DR_30	Homo sapiens	cell culture	1	20151106_16_Qp2_ajy_th_HLA-DR_30	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=label free sample;AC=MS:1002038	NT=unspecific cleavage;AC=MS:1001955	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=NQ;MT=Variable	NT=Gln->pyro-Glu;AC=UNIMOD:28;TA=Q;MT=Variable	1	1	20151106_16_Qp2_ajy_th_HLA-DR_30.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	HLA-DR
HLA-DR submitted run 20151106_18_Qp2_ajy_th_HLA-DR_end_22	Homo sapiens	cell culture	1	20151106_18_Qp2_ajy_th_HLA-DR_end_22	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=label free sample;AC=MS:1002038	NT=unspecific cleavage;AC=MS:1001955	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=NQ;MT=Variable	NT=Gln->pyro-Glu;AC=UNIMOD:28;TA=Q;MT=Variable	1	1	20151106_18_Qp2_ajy_th_HLA-DR_end_22.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	HLA-DR
B cell submitted run 20160114_03_Qp2_Bcell_38	Homo sapiens	cell culture	1	20160114_03_Qp2_Bcell_38	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=label free sample;AC=MS:1002038	NT=unspecific cleavage;AC=MS:1001955	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=NQ;MT=Variable	NT=Gln->pyro-Glu;AC=UNIMOD:28;TA=Q;MT=Variable	1	1	20160114_03_Qp2_Bcell_38.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	B cell
B cell submitted run 20160114_06_Qp2_Bcell_36	Homo sapiens	cell culture	1	20160114_06_Qp2_Bcell_36	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=label free sample;AC=MS:1002038	NT=unspecific cleavage;AC=MS:1001955	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=NQ;MT=Variable	NT=Gln->pyro-Glu;AC=UNIMOD:28;TA=Q;MT=Variable	1	1	20160114_06_Qp2_Bcell_36.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	B cell
BAL submitted run 20160114_07_Qp2_BAL_3	Homo sapiens	bronchoalveolar lavage	1	20160114_07_Qp2_BAL_3	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=label free sample;AC=MS:1002038	NT=unspecific cleavage;AC=MS:1001955	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=NQ;MT=Variable	NT=Gln->pyro-Glu;AC=UNIMOD:28;TA=Q;MT=Variable	1	1	20160114_07_Qp2_BAL_3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	BAL
BAL submitted run 20160114_10_Qp2_BAL_4	Homo sapiens	bronchoalveolar lavage	1	20160114_10_Qp2_BAL_4	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=label free sample;AC=MS:1002038	NT=unspecific cleavage;AC=MS:1001955	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=NQ;MT=Variable	NT=Gln->pyro-Glu;AC=UNIMOD:28;TA=Q;MT=Variable	1	1	20160114_10_Qp2_BAL_4.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	BAL
BAL submitted run 20160114_11_Qp2_BAL_4_endogpept	Homo sapiens	bronchoalveolar lavage	1	20160114_11_Qp2_BAL_4_endogpept	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=label free sample;AC=MS:1002038	NT=unspecific cleavage;AC=MS:1001955	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=NQ;MT=Variable	NT=Gln->pyro-Glu;AC=UNIMOD:28;TA=Q;MT=Variable	1	2	20160114_11_Qp2_BAL_4_endogpept.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	BAL
BAL submitted run 20160114_12_Qp2_BAL_6_endogpept	Homo sapiens	bronchoalveolar lavage	1	20160114_12_Qp2_BAL_6_endogpept	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=label free sample;AC=MS:1002038	NT=unspecific cleavage;AC=MS:1001955	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=NQ;MT=Variable	NT=Gln->pyro-Glu;AC=UNIMOD:28;TA=Q;MT=Variable	1	2	20160114_12_Qp2_BAL_6_endogpept.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	BAL
