source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[instrument]	comment[label]	comment[cleavage agent details]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf template]	factor value[analytical fraction type]
C2C12 whole proteome sample	Mus musculus	skeletal muscle cell line	C2C12	1	190329_WP_11	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion;AC=MS:1002416	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;TA=.;MT=Variable	11	1	190329_WP_11.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	whole proteome
C2C12 whole proteome sample	Mus musculus	skeletal muscle cell line	C2C12	1	190329_WP_12	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion;AC=MS:1002416	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;TA=.;MT=Variable	12	1	190329_WP_12.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	whole proteome
C2C12 whole proteome sample	Mus musculus	skeletal muscle cell line	C2C12	1	190329_WP_13	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion;AC=MS:1002416	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;TA=.;MT=Variable	13	1	190329_WP_13.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	whole proteome
C2C12 whole proteome sample	Mus musculus	skeletal muscle cell line	C2C12	1	190329_WP_14	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion;AC=MS:1002416	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;TA=.;MT=Variable	14	1	190329_WP_14.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	whole proteome
C2C12 whole proteome sample	Mus musculus	skeletal muscle cell line	C2C12	1	190329_WP_15	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion;AC=MS:1002416	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;TA=.;MT=Variable	15	1	190329_WP_15.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	whole proteome
C2C12 whole proteome sample	Mus musculus	skeletal muscle cell line	C2C12	1	190329_WP_16	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion;AC=MS:1002416	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;TA=.;MT=Variable	16	1	190329_WP_16.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	whole proteome
C2C12 whole proteome sample	Mus musculus	skeletal muscle cell line	C2C12	1	190329_WP_17	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion;AC=MS:1002416	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;TA=.;MT=Variable	17	1	190329_WP_17.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	whole proteome
C2C12 whole proteome sample	Mus musculus	skeletal muscle cell line	C2C12	1	190329_WP_18	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion;AC=MS:1002416	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;TA=.;MT=Variable	18	1	190329_WP_18.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	whole proteome
C2C12 whole proteome sample	Mus musculus	skeletal muscle cell line	C2C12	1	190329_WP_19	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion;AC=MS:1002416	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;TA=.;MT=Variable	19	1	190329_WP_19.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	whole proteome
C2C12 whole proteome sample	Mus musculus	skeletal muscle cell line	C2C12	1	190329_WP_20	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion;AC=MS:1002416	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;TA=.;MT=Variable	20	1	190329_WP_20.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	whole proteome
C2C12 whole proteome sample	Mus musculus	skeletal muscle cell line	C2C12	1	190329_WP_21	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion;AC=MS:1002416	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;TA=.;MT=Variable	21	1	190329_WP_21.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	whole proteome
C2C12 whole proteome sample	Mus musculus	skeletal muscle cell line	C2C12	1	190329_WP_22	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion;AC=MS:1002416	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;TA=.;MT=Variable	22	1	190329_WP_22.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	whole proteome
C2C12 whole proteome sample	Mus musculus	skeletal muscle cell line	C2C12	1	190329_WP_23	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion;AC=MS:1002416	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;TA=.;MT=Variable	23	1	190329_WP_23.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	whole proteome
C2C12 whole proteome sample	Mus musculus	skeletal muscle cell line	C2C12	1	190329_WP_24	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion;AC=MS:1002416	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;TA=.;MT=Variable	24	1	190329_WP_24.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	whole proteome
C2C12 phospho-enriched sample	Mus musculus	skeletal muscle cell line	C2C12	1	190412_Phospho_1	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion;AC=MS:1002416	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;TA=.;MT=Variable	1	1	190412_Phospho_1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	phospho-enriched
C2C12 phospho-enriched sample	Mus musculus	skeletal muscle cell line	C2C12	1	190412_Phospho_2	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion;AC=MS:1002416	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;TA=.;MT=Variable	2	1	190412_Phospho_2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	phospho-enriched
C2C12 phospho-enriched sample	Mus musculus	skeletal muscle cell line	C2C12	1	190412_Phospho_3	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion;AC=MS:1002416	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;TA=.;MT=Variable	3	1	190412_Phospho_3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	phospho-enriched
C2C12 phospho-enriched sample	Mus musculus	skeletal muscle cell line	C2C12	1	190412_Phospho_4	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion;AC=MS:1002416	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;TA=.;MT=Variable	4	1	190412_Phospho_4.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	phospho-enriched
C2C12 phospho-enriched sample	Mus musculus	skeletal muscle cell line	C2C12	1	190412_Phospho_5	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion;AC=MS:1002416	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;TA=.;MT=Variable	5	1	190412_Phospho_5.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	phospho-enriched
C2C12 phospho-enriched sample	Mus musculus	skeletal muscle cell line	C2C12	1	190412_Phospho_6	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion;AC=MS:1002416	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;TA=.;MT=Variable	6	1	190412_Phospho_6.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	phospho-enriched
C2C12 phospho-enriched sample	Mus musculus	skeletal muscle cell line	C2C12	1	190412_Phospho_7	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion;AC=MS:1002416	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;TA=.;MT=Variable	7	1	190412_Phospho_7.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	phospho-enriched
C2C12 phospho-enriched sample	Mus musculus	skeletal muscle cell line	C2C12	1	190412_Phospho_8	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion;AC=MS:1002416	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;TA=.;MT=Variable	8	1	190412_Phospho_8.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	phospho-enriched
C2C12 phospho-enriched sample	Mus musculus	skeletal muscle cell line	C2C12	1	190412_Phospho_9	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion;AC=MS:1002416	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;TA=.;MT=Variable	9	1	190412_Phospho_9.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	phospho-enriched
C2C12 phospho-enriched sample	Mus musculus	skeletal muscle cell line	C2C12	1	190412_Phospho_10	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion;AC=MS:1002416	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;TA=.;MT=Variable	10	1	190412_Phospho_10.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	phospho-enriched
C2C12 phospho-enriched sample	Mus musculus	skeletal muscle cell line	C2C12	1	190412_Phospho_11	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion;AC=MS:1002416	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;TA=.;MT=Variable	11	1	190412_Phospho_11.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	phospho-enriched
C2C12 phospho-enriched sample	Mus musculus	skeletal muscle cell line	C2C12	1	190412_Phospho_12	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion;AC=MS:1002416	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;TA=.;MT=Variable	12	1	190412_Phospho_12.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	phospho-enriched
