source name	characteristics[organism]	characteristics[organism part]	characteristics[developmental stage]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[instrument]	comment[label]	comment[cleavage agent details]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf template]
THC-exposure hippocampus iTRAQ series 3	Mus musculus	hippocampus	postnatal exposure study	1	DCJuniTRAQ3Fr3rpt	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=TripleTOF 5600;AC=MS:1000932	NT=iTRAQ 4plex;AC=MS:1002010	NT=Trypsin;AC=MS:1001251	3	1	DCJuniTRAQ3Fr3rpt.wiff	v1.1.0	NT=ms-proteomics;VV=v1.1.0
THC-exposure hippocampus iTRAQ series 6	Mus musculus	hippocampus	postnatal exposure study	1	DCJuliTRAQ6Fr16	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=TripleTOF 5600;AC=MS:1000932	NT=iTRAQ 4plex;AC=MS:1002010	NT=Trypsin;AC=MS:1001251	16	1	DCJuliTRAQ6Fr16.wiff	v1.1.0	NT=ms-proteomics;VV=v1.1.0
THC-exposure hippocampus iTRAQ series 4	Mus musculus	hippocampus	postnatal exposure study	1	DCJuliTRAQ4Fr14	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=TripleTOF 5600;AC=MS:1000932	NT=iTRAQ 4plex;AC=MS:1002010	NT=Trypsin;AC=MS:1001251	14	1	DCJuliTRAQ4Fr14.wiff	v1.1.0	NT=ms-proteomics;VV=v1.1.0
THC-exposure hippocampus iTRAQ series 3	Mus musculus	hippocampus	postnatal exposure study	1	DCJuniTRAQ3Fr8half	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=TripleTOF 5600;AC=MS:1000932	NT=iTRAQ 4plex;AC=MS:1002010	NT=Trypsin;AC=MS:1001251	8	1	DCJuniTRAQ3Fr8half.wiff	v1.1.0	NT=ms-proteomics;VV=v1.1.0
THC-exposure hippocampus iTRAQ series 4	Mus musculus	hippocampus	postnatal exposure study	1	DCJuliTRAQ4Fr13	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=TripleTOF 5600;AC=MS:1000932	NT=iTRAQ 4plex;AC=MS:1002010	NT=Trypsin;AC=MS:1001251	13	1	DCJuliTRAQ4Fr13.wiff	v1.1.0	NT=ms-proteomics;VV=v1.1.0
THC-exposure hippocampus iTRAQ series 6	Mus musculus	hippocampus	postnatal exposure study	1	DCJuliTRAQ6Fr5	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=TripleTOF 5600;AC=MS:1000932	NT=iTRAQ 4plex;AC=MS:1002010	NT=Trypsin;AC=MS:1001251	5	1	DCJuliTRAQ6Fr5.wiff	v1.1.0	NT=ms-proteomics;VV=v1.1.0
THC-exposure hippocampus iTRAQ series 1	Mus musculus	hippocampus	postnatal exposure study	1	DCJuniTRAQ1Fr10half	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=TripleTOF 5600;AC=MS:1000932	NT=iTRAQ 4plex;AC=MS:1002010	NT=Trypsin;AC=MS:1001251	10	1	DCJuniTRAQ1Fr10half.wiff	v1.1.0	NT=ms-proteomics;VV=v1.1.0
THC-exposure hippocampus iTRAQ series 5	Mus musculus	hippocampus	postnatal exposure study	1	DCJuliTRAQ5Fr16	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=TripleTOF 5600;AC=MS:1000932	NT=iTRAQ 4plex;AC=MS:1002010	NT=Trypsin;AC=MS:1001251	16	1	DCJuliTRAQ5Fr16.wiff	v1.1.0	NT=ms-proteomics;VV=v1.1.0
THC-exposure hippocampus iTRAQ series 6	Mus musculus	hippocampus	postnatal exposure study	1	DCJuliTRAQ6Fr2	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=TripleTOF 5600;AC=MS:1000932	NT=iTRAQ 4plex;AC=MS:1002010	NT=Trypsin;AC=MS:1001251	2	1	DCJuliTRAQ6Fr2.wiff	v1.1.0	NT=ms-proteomics;VV=v1.1.0
THC-exposure hippocampus iTRAQ series 5	Mus musculus	hippocampus	postnatal exposure study	1	DCJuliTRAQ5Fr11	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=TripleTOF 5600;AC=MS:1000932	NT=iTRAQ 4plex;AC=MS:1002010	NT=Trypsin;AC=MS:1001251	11	1	DCJuliTRAQ5Fr11.wiff	v1.1.0	NT=ms-proteomics;VV=v1.1.0
THC-exposure hippocampus iTRAQ series 3	Mus musculus	hippocampus	postnatal exposure study	1	DCJuniTRAQ3Fr14half	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=TripleTOF 5600;AC=MS:1000932	NT=iTRAQ 4plex;AC=MS:1002010	NT=Trypsin;AC=MS:1001251	14	1	DCJuniTRAQ3Fr14half.wiff	v1.1.0	NT=ms-proteomics;VV=v1.1.0
THC-exposure hippocampus iTRAQ series 4	Mus musculus	hippocampus	postnatal exposure study	1	DCJuliTRAQ4Fr2	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=TripleTOF 5600;AC=MS:1000932	NT=iTRAQ 4plex;AC=MS:1002010	NT=Trypsin;AC=MS:1001251	2	1	DCJuliTRAQ4Fr2.wiff	v1.1.0	NT=ms-proteomics;VV=v1.1.0
THC-exposure hippocampus iTRAQ series 2	Mus musculus	hippocampus	postnatal exposure study	1	DCJuniTRAQ2Fr14half	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=TripleTOF 5600;AC=MS:1000932	NT=iTRAQ 4plex;AC=MS:1002010	NT=Trypsin;AC=MS:1001251	14	1	DCJuniTRAQ2Fr14half.wiff	v1.1.0	NT=ms-proteomics;VV=v1.1.0
THC-exposure hippocampus iTRAQ series 5	Mus musculus	hippocampus	postnatal exposure study	1	DCJuliTRAQ5Fr19	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=TripleTOF 5600;AC=MS:1000932	NT=iTRAQ 4plex;AC=MS:1002010	NT=Trypsin;AC=MS:1001251	19	1	DCJuliTRAQ5Fr19.wiff	v1.1.0	NT=ms-proteomics;VV=v1.1.0
THC-exposure hippocampus iTRAQ series 5	Mus musculus	hippocampus	postnatal exposure study	1	DCJuliTRAQ5Fr17	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=TripleTOF 5600;AC=MS:1000932	NT=iTRAQ 4plex;AC=MS:1002010	NT=Trypsin;AC=MS:1001251	17	1	DCJuliTRAQ5Fr17.wiff	v1.1.0	NT=ms-proteomics;VV=v1.1.0
THC-exposure hippocampus iTRAQ series 3	Mus musculus	hippocampus	postnatal exposure study	1	DCJuniTRAQ3Fr13rpt	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=TripleTOF 5600;AC=MS:1000932	NT=iTRAQ 4plex;AC=MS:1002010	NT=Trypsin;AC=MS:1001251	13	1	DCJuniTRAQ3Fr13rpt.wiff	v1.1.0	NT=ms-proteomics;VV=v1.1.0
THC-exposure hippocampus iTRAQ series 3	Mus musculus	hippocampus	postnatal exposure study	1	DCJuniTRAQ3Fr5half	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=TripleTOF 5600;AC=MS:1000932	NT=iTRAQ 4plex;AC=MS:1002010	NT=Trypsin;AC=MS:1001251	5	1	DCJuniTRAQ3Fr5half.wiff	v1.1.0	NT=ms-proteomics;VV=v1.1.0
THC-exposure hippocampus iTRAQ series 3	Mus musculus	hippocampus	postnatal exposure study	1	DCJuniTRAQ3Fr11rpt	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=TripleTOF 5600;AC=MS:1000932	NT=iTRAQ 4plex;AC=MS:1002010	NT=Trypsin;AC=MS:1001251	11	1	DCJuniTRAQ3Fr11rpt.wiff	v1.1.0	NT=ms-proteomics;VV=v1.1.0
THC-exposure hippocampus iTRAQ series 5	Mus musculus	hippocampus	postnatal exposure study	1	DCJuliTRAQ5Fr5	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=TripleTOF 5600;AC=MS:1000932	NT=iTRAQ 4plex;AC=MS:1002010	NT=Trypsin;AC=MS:1001251	5	1	DCJuliTRAQ5Fr5.wiff	v1.1.0	NT=ms-proteomics;VV=v1.1.0
THC-exposure hippocampus iTRAQ series 6	Mus musculus	hippocampus	postnatal exposure study	1	DCJuliTRAQ6Fr8	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=TripleTOF 5600;AC=MS:1000932	NT=iTRAQ 4plex;AC=MS:1002010	NT=Trypsin;AC=MS:1001251	8	1	DCJuliTRAQ6Fr8.wiff	v1.1.0	NT=ms-proteomics;VV=v1.1.0
THC-exposure hippocampus iTRAQ series 2	Mus musculus	hippocampus	postnatal exposure study	1	DCJuniTRAQ2Fr10half	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=TripleTOF 5600;AC=MS:1000932	NT=iTRAQ 4plex;AC=MS:1002010	NT=Trypsin;AC=MS:1001251	10	1	DCJuniTRAQ2Fr10half.wiff	v1.1.0	NT=ms-proteomics;VV=v1.1.0
THC-exposure hippocampus iTRAQ series 1	Mus musculus	hippocampus	postnatal exposure study	1	DCJuniTRAQ1Fr7half	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=TripleTOF 5600;AC=MS:1000932	NT=iTRAQ 4plex;AC=MS:1002010	NT=Trypsin;AC=MS:1001251	7	1	DCJuniTRAQ1Fr7half.wiff	v1.1.0	NT=ms-proteomics;VV=v1.1.0
THC-exposure hippocampus iTRAQ series 3	Mus musculus	hippocampus	postnatal exposure study	1	DCJuniTRAQ3Fr6half	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=TripleTOF 5600;AC=MS:1000932	NT=iTRAQ 4plex;AC=MS:1002010	NT=Trypsin;AC=MS:1001251	6	1	DCJuniTRAQ3Fr6half.wiff	v1.1.0	NT=ms-proteomics;VV=v1.1.0
THC-exposure hippocampus iTRAQ series 3	Mus musculus	hippocampus	postnatal exposure study	1	DCJuniTRAQ3Fr2half	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=TripleTOF 5600;AC=MS:1000932	NT=iTRAQ 4plex;AC=MS:1002010	NT=Trypsin;AC=MS:1001251	2	1	DCJuniTRAQ3Fr2half.wiff	v1.1.0	NT=ms-proteomics;VV=v1.1.0
THC-exposure hippocampus iTRAQ series 5	Mus musculus	hippocampus	postnatal exposure study	1	DCJuliTRAQ5Fr6	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=TripleTOF 5600;AC=MS:1000932	NT=iTRAQ 4plex;AC=MS:1002010	NT=Trypsin;AC=MS:1001251	6	1	DCJuliTRAQ5Fr6.wiff	v1.1.0	NT=ms-proteomics;VV=v1.1.0
THC-exposure hippocampus iTRAQ series 6	Mus musculus	hippocampus	postnatal exposure study	1	DCJuliTRAQ6Fr1	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=TripleTOF 5600;AC=MS:1000932	NT=iTRAQ 4plex;AC=MS:1002010	NT=Trypsin;AC=MS:1001251	1	1	DCJuliTRAQ6Fr1.wiff	v1.1.0	NT=ms-proteomics;VV=v1.1.0
THC-exposure hippocampus iTRAQ series 5	Mus musculus	hippocampus	postnatal exposure study	1	DCJuliTRAQ5Fr4	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=TripleTOF 5600;AC=MS:1000932	NT=iTRAQ 4plex;AC=MS:1002010	NT=Trypsin;AC=MS:1001251	4	1	DCJuliTRAQ5Fr4.wiff	v1.1.0	NT=ms-proteomics;VV=v1.1.0
THC-exposure hippocampus iTRAQ series 2	Mus musculus	hippocampus	postnatal exposure study	1	DCJuniTRAQ2Fr2half	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=TripleTOF 5600;AC=MS:1000932	NT=iTRAQ 4plex;AC=MS:1002010	NT=Trypsin;AC=MS:1001251	2	1	DCJuniTRAQ2Fr2half.wiff	v1.1.0	NT=ms-proteomics;VV=v1.1.0
THC-exposure hippocampus iTRAQ series 5	Mus musculus	hippocampus	postnatal exposure study	1	DCJuliTRAQ5Fr7	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=TripleTOF 5600;AC=MS:1000932	NT=iTRAQ 4plex;AC=MS:1002010	NT=Trypsin;AC=MS:1001251	7	1	DCJuliTRAQ5Fr7.wiff	v1.1.0	NT=ms-proteomics;VV=v1.1.0
THC-exposure hippocampus iTRAQ series 4	Mus musculus	hippocampus	postnatal exposure study	1	DCJuliTRAQ4Fr16	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=TripleTOF 5600;AC=MS:1000932	NT=iTRAQ 4plex;AC=MS:1002010	NT=Trypsin;AC=MS:1001251	16	1	DCJuliTRAQ4Fr16.wiff	v1.1.0	NT=ms-proteomics;VV=v1.1.0
THC-exposure hippocampus iTRAQ series 2	Mus musculus	hippocampus	postnatal exposure study	1	DCJuniTRAQ2Fr12half	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=TripleTOF 5600;AC=MS:1000932	NT=iTRAQ 4plex;AC=MS:1002010	NT=Trypsin;AC=MS:1001251	12	1	DCJuniTRAQ2Fr12half.wiff	v1.1.0	NT=ms-proteomics;VV=v1.1.0
THC-exposure hippocampus iTRAQ series 2	Mus musculus	hippocampus	postnatal exposure study	1	DCJuniTRAQ2Fr1half	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=TripleTOF 5600;AC=MS:1000932	NT=iTRAQ 4plex;AC=MS:1002010	NT=Trypsin;AC=MS:1001251	1	1	DCJuniTRAQ2Fr1half.wiff	v1.1.0	NT=ms-proteomics;VV=v1.1.0
