source name	characteristics[organism]	characteristics[organism part]	characteristics[biological replicate]	characteristics[sample type]	characteristics[disease]	characteristics[material type]	characteristics[developmental stage]	characteristics[genotype]	characteristics[organism status]	assay name	technology type	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf annotation tool]	comment[proteomics data acquisition method]	comment[instrument]	comment[cleavage agent details]	comment[label]	comment[fraction identifier]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[modification parameters]	comment[modification parameters]	factor value[treatment]
vehicle db/db_4	Mus musculus	kidney	4	not available	not available	tissue	not available	db/db	diabetic	140131_LL_NGA8_LiraI_30Dil_01	proteomic profiling by mass spectrometry	1	140131_LL_NGA8_LiraI_30Dil_01.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ Orbitrap XL;AC=MS:1000556	NT=Trypsin;AC=MS:1001251	label free sample	1	5 ppm	0.8 Da	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	vehicle
vehicle db/db_4	Mus musculus	kidney	4	not available	not available	tissue	not available	db/db	diabetic	140131_LL_NGA9_LiraI_30Dil_01	proteomic profiling by mass spectrometry	2	140131_LL_NGA9_LiraI_30Dil_01.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ Orbitrap XL;AC=MS:1000556	NT=Trypsin;AC=MS:1001251	label free sample	1	5 ppm	0.8 Da	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	vehicle
vehicle db/db_5	Mus musculus	kidney	5	not available	not available	tissue	not available	db/db	diabetic	140131_LL_NGA10_LiraI_30Dil_01	proteomic profiling by mass spectrometry	2	140131_LL_NGA10_LiraI_30Dil_01.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ Orbitrap XL;AC=MS:1000556	NT=Trypsin;AC=MS:1001251	label free sample	1	5 ppm	0.8 Da	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	vehicle
liraglutide db/db_5	Mus musculus	kidney	5	not available	not available	tissue	not available	db/db	diabetic	140131_LL_NGB1_LiraI_30Dil_01	proteomic profiling by mass spectrometry	1	140131_LL_NGB1_LiraI_30Dil_01.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ Orbitrap XL;AC=MS:1000556	NT=Trypsin;AC=MS:1001251	label free sample	1	5 ppm	0.8 Da	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	liraglutide
liraglutide db/db_1	Mus musculus	kidney	1	not available	not available	tissue	not available	db/db	diabetic	140131_LL_NGB2_LiraI_30Dil_01	proteomic profiling by mass spectrometry	1	140131_LL_NGB2_LiraI_30Dil_01.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ Orbitrap XL;AC=MS:1000556	NT=Trypsin;AC=MS:1001251	label free sample	1	5 ppm	0.8 Da	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	liraglutide
liraglutide db/db_1	Mus musculus	kidney	1	not available	not available	tissue	not available	db/db	diabetic	140131_LL_NGB3_LiraI_30Dil_01	proteomic profiling by mass spectrometry	2	140131_LL_NGB3_LiraI_30Dil_01.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ Orbitrap XL;AC=MS:1000556	NT=Trypsin;AC=MS:1001251	label free sample	1	5 ppm	0.8 Da	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	liraglutide
liraglutide db/db_2	Mus musculus	kidney	2	not available	not available	tissue	not available	db/db	diabetic	140131_LL_NGB4_LiraI_30Dil_01	proteomic profiling by mass spectrometry	1	140131_LL_NGB4_LiraI_30Dil_01.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ Orbitrap XL;AC=MS:1000556	NT=Trypsin;AC=MS:1001251	label free sample	1	5 ppm	0.8 Da	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	liraglutide
liraglutide db/db_2	Mus musculus	kidney	2	not available	not available	tissue	not available	db/db	diabetic	140131_LL_NGB5_LiraI_30Dil_01	proteomic profiling by mass spectrometry	2	140131_LL_NGB5_LiraI_30Dil_01.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ Orbitrap XL;AC=MS:1000556	NT=Trypsin;AC=MS:1001251	label free sample	1	5 ppm	0.8 Da	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	liraglutide
liraglutide db/db_3	Mus musculus	kidney	3	not available	not available	tissue	not available	db/db	diabetic	140131_LL_NGB6_LiraI_30Dil_01	proteomic profiling by mass spectrometry	1	140131_LL_NGB6_LiraI_30Dil_01.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ Orbitrap XL;AC=MS:1000556	NT=Trypsin;AC=MS:1001251	label free sample	1	5 ppm	0.8 Da	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	liraglutide
liraglutide db/db_3	Mus musculus	kidney	3	not available	not available	tissue	not available	db/db	diabetic	140131_LL_NGB7_LiraI_30Dil_01	proteomic profiling by mass spectrometry	2	140131_LL_NGB7_LiraI_30Dil_01.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ Orbitrap XL;AC=MS:1000556	NT=Trypsin;AC=MS:1001251	label free sample	1	5 ppm	0.8 Da	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	liraglutide
liraglutide db/db_4	Mus musculus	kidney	4	not available	not available	tissue	not available	db/db	diabetic	140131_LL_NGB8_LiraI_30Dil_01	proteomic profiling by mass spectrometry	1	140131_LL_NGB8_LiraI_30Dil_01.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ Orbitrap XL;AC=MS:1000556	NT=Trypsin;AC=MS:1001251	label free sample	1	5 ppm	0.8 Da	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	liraglutide
liraglutide db/db_4	Mus musculus	kidney	4	not available	not available	tissue	not available	db/db	diabetic	140131_LL_NGB9_LiraI_30Dil_01	proteomic profiling by mass spectrometry	2	140131_LL_NGB9_LiraI_30Dil_01.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ Orbitrap XL;AC=MS:1000556	NT=Trypsin;AC=MS:1001251	label free sample	1	5 ppm	0.8 Da	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	liraglutide
liraglutide db/db_5	Mus musculus	kidney	5	not available	not available	tissue	not available	db/db	diabetic	140131_LL_NGB10_LiraI_30Dil_01	proteomic profiling by mass spectrometry	2	140131_LL_NGB10_LiraI_30Dil_01.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ Orbitrap XL;AC=MS:1000556	NT=Trypsin;AC=MS:1001251	label free sample	1	5 ppm	0.8 Da	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	liraglutide
insulin db/db_5	Mus musculus	kidney	5	not available	not available	tissue	not available	db/db	diabetic	140131_LL_NGC1_LiraI_30Dil_01	proteomic profiling by mass spectrometry	1	140131_LL_NGC1_LiraI_30Dil_01.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ Orbitrap XL;AC=MS:1000556	NT=Trypsin;AC=MS:1001251	label free sample	1	5 ppm	0.8 Da	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	insulin
insulin db/db_1	Mus musculus	kidney	1	not available	not available	tissue	not available	db/db	diabetic	140131_LL_NGC2_LiraI_30Dil_01	proteomic profiling by mass spectrometry	1	140131_LL_NGC2_LiraI_30Dil_01.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ Orbitrap XL;AC=MS:1000556	NT=Trypsin;AC=MS:1001251	label free sample	1	5 ppm	0.8 Da	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	insulin
insulin db/db_1	Mus musculus	kidney	1	not available	not available	tissue	not available	db/db	diabetic	140131_LL_NGC3_LiraI_30Dil_01	proteomic profiling by mass spectrometry	2	140131_LL_NGC3_LiraI_30Dil_01.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ Orbitrap XL;AC=MS:1000556	NT=Trypsin;AC=MS:1001251	label free sample	1	5 ppm	0.8 Da	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	insulin
insulin db/db_2	Mus musculus	kidney	2	not available	not available	tissue	not available	db/db	diabetic	140131_LL_NGC4_LiraI_30Dil_01	proteomic profiling by mass spectrometry	1	140131_LL_NGC4_LiraI_30Dil_01.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ Orbitrap XL;AC=MS:1000556	NT=Trypsin;AC=MS:1001251	label free sample	1	5 ppm	0.8 Da	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	insulin
insulin db/db_2	Mus musculus	kidney	2	not available	not available	tissue	not available	db/db	diabetic	140131_LL_NGC5_LiraI_30Dil_01	proteomic profiling by mass spectrometry	2	140131_LL_NGC5_LiraI_30Dil_01.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ Orbitrap XL;AC=MS:1000556	NT=Trypsin;AC=MS:1001251	label free sample	1	5 ppm	0.8 Da	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	insulin
insulin db/db_3	Mus musculus	kidney	3	not available	not available	tissue	not available	db/db	diabetic	140131_LL_NGC6_LiraI_30Dil_01	proteomic profiling by mass spectrometry	1	140131_LL_NGC6_LiraI_30Dil_01.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ Orbitrap XL;AC=MS:1000556	NT=Trypsin;AC=MS:1001251	label free sample	1	5 ppm	0.8 Da	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	insulin
insulin db/db_3	Mus musculus	kidney	3	not available	not available	tissue	not available	db/db	diabetic	140131_LL_NGC7_LiraI_30Dil_01	proteomic profiling by mass spectrometry	2	140131_LL_NGC7_LiraI_30Dil_01.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ Orbitrap XL;AC=MS:1000556	NT=Trypsin;AC=MS:1001251	label free sample	1	5 ppm	0.8 Da	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	insulin
insulin db/db_4	Mus musculus	kidney	4	not available	not available	tissue	not available	db/db	diabetic	140131_LL_NGC8_LiraI_30Dil_01	proteomic profiling by mass spectrometry	1	140131_LL_NGC8_LiraI_30Dil_01.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ Orbitrap XL;AC=MS:1000556	NT=Trypsin;AC=MS:1001251	label free sample	1	5 ppm	0.8 Da	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	insulin
insulin db/db_4	Mus musculus	kidney	4	not available	not available	tissue	not available	db/db	diabetic	140131_LL_NGC9_LiraI_30Dil_01	proteomic profiling by mass spectrometry	2	140131_LL_NGC9_LiraI_30Dil_01.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ Orbitrap XL;AC=MS:1000556	NT=Trypsin;AC=MS:1001251	label free sample	1	5 ppm	0.8 Da	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	insulin
insulin db/db_5	Mus musculus	kidney	5	not available	not available	tissue	not available	db/db	diabetic	140131_LL_NGC10_LiraI_30Dil_01	proteomic profiling by mass spectrometry	2	140131_LL_NGC10_LiraI_30Dil_01.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ Orbitrap XL;AC=MS:1000556	NT=Trypsin;AC=MS:1001251	label free sample	1	5 ppm	0.8 Da	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	insulin
