source name	characteristics[organism]	characteristics[organism part]	characteristics[disease]	characteristics[age]	characteristics[sex]	characteristics[cell line]	characteristics[time point]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[instrument]	comment[label]	comment[cleavage agent details]	comment[modification parameters]	comment[modification parameters]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	factor value[infection]
20140812_LC1_Sara_24h_MHAL_10-01	Homo sapiens	lung fibroblast cell culture	adenovirus infectious disease	not available	not available	IMR-90	24 h	2	20140812_LC1_Sara_24h_MHAL_10-01	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=SILAC;AC=PRIDE:0000315;TA=heavy mock + light Ad2-infected	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable; NT=Acetyl;AC=UNIMOD:1;TA=Protein N-term;MT=Variable	fraction 01	1	20140812_LC1_Sara_24h_MHAL_10-01.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	Ad2 infection versus mock; SILAC mixed sample
20140812_LC1_Sara_24h_MHAL_10-02	Homo sapiens	lung fibroblast cell culture	adenovirus infectious disease	not available	not available	IMR-90	24 h	2	20140812_LC1_Sara_24h_MHAL_10-02	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=SILAC;AC=PRIDE:0000315;TA=heavy mock + light Ad2-infected	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable; NT=Acetyl;AC=UNIMOD:1;TA=Protein N-term;MT=Variable	fraction 02	1	20140812_LC1_Sara_24h_MHAL_10-02.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	Ad2 infection versus mock; SILAC mixed sample
20140812_LC1_Sara_24h_MHAL_10-03	Homo sapiens	lung fibroblast cell culture	adenovirus infectious disease	not available	not available	IMR-90	24 h	2	20140812_LC1_Sara_24h_MHAL_10-03	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=SILAC;AC=PRIDE:0000315;TA=heavy mock + light Ad2-infected	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable; NT=Acetyl;AC=UNIMOD:1;TA=Protein N-term;MT=Variable	fraction 03	1	20140812_LC1_Sara_24h_MHAL_10-03.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	Ad2 infection versus mock; SILAC mixed sample
20140812_LC1_Sara_24h_MHAL_10-04	Homo sapiens	lung fibroblast cell culture	adenovirus infectious disease	not available	not available	IMR-90	24 h	2	20140812_LC1_Sara_24h_MHAL_10-04	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=SILAC;AC=PRIDE:0000315;TA=heavy mock + light Ad2-infected	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable; NT=Acetyl;AC=UNIMOD:1;TA=Protein N-term;MT=Variable	fraction 04	1	20140812_LC1_Sara_24h_MHAL_10-04.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	Ad2 infection versus mock; SILAC mixed sample
20140812_LC1_Sara_24h_MHAL_10-05	Homo sapiens	lung fibroblast cell culture	adenovirus infectious disease	not available	not available	IMR-90	24 h	2	20140812_LC1_Sara_24h_MHAL_10-05	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=SILAC;AC=PRIDE:0000315;TA=heavy mock + light Ad2-infected	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable; NT=Acetyl;AC=UNIMOD:1;TA=Protein N-term;MT=Variable	fraction 05	1	20140812_LC1_Sara_24h_MHAL_10-05.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	Ad2 infection versus mock; SILAC mixed sample
20140812_LC1_Sara_24h_MHAL_10-06	Homo sapiens	lung fibroblast cell culture	adenovirus infectious disease	not available	not available	IMR-90	24 h	2	20140812_LC1_Sara_24h_MHAL_10-06	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=SILAC;AC=PRIDE:0000315;TA=heavy mock + light Ad2-infected	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable; NT=Acetyl;AC=UNIMOD:1;TA=Protein N-term;MT=Variable	fraction 06	1	20140812_LC1_Sara_24h_MHAL_10-06.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	Ad2 infection versus mock; SILAC mixed sample
20140812_LC1_Sara_24h_MHAL_10-07	Homo sapiens	lung fibroblast cell culture	adenovirus infectious disease	not available	not available	IMR-90	24 h	2	20140812_LC1_Sara_24h_MHAL_10-07	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=SILAC;AC=PRIDE:0000315;TA=heavy mock + light Ad2-infected	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable; NT=Acetyl;AC=UNIMOD:1;TA=Protein N-term;MT=Variable	fraction 07	1	20140812_LC1_Sara_24h_MHAL_10-07.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	Ad2 infection versus mock; SILAC mixed sample
20140812_LC1_Sara_24h_MHAL_10-08	Homo sapiens	lung fibroblast cell culture	adenovirus infectious disease	not available	not available	IMR-90	24 h	2	20140812_LC1_Sara_24h_MHAL_10-08	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=SILAC;AC=PRIDE:0000315;TA=heavy mock + light Ad2-infected	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable; NT=Acetyl;AC=UNIMOD:1;TA=Protein N-term;MT=Variable	fraction 08	1	20140812_LC1_Sara_24h_MHAL_10-08.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	Ad2 infection versus mock; SILAC mixed sample
20140812_LC1_Sara_24h_MHAL_10-10	Homo sapiens	lung fibroblast cell culture	adenovirus infectious disease	not available	not available	IMR-90	24 h	2	20140812_LC1_Sara_24h_MHAL_10-10	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=SILAC;AC=PRIDE:0000315;TA=heavy mock + light Ad2-infected	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable; NT=Acetyl;AC=UNIMOD:1;TA=Protein N-term;MT=Variable	fraction 10	1	20140812_LC1_Sara_24h_MHAL_10-10.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	Ad2 infection versus mock; SILAC mixed sample
20140812_LC1_Sara_36h_MHAL_11-01	Homo sapiens	lung fibroblast cell culture	adenovirus infectious disease	not available	not available	IMR-90	36 h	2	20140812_LC1_Sara_36h_MHAL_11-01	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=SILAC;AC=PRIDE:0000315;TA=heavy mock + light Ad2-infected	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable; NT=Acetyl;AC=UNIMOD:1;TA=Protein N-term;MT=Variable	fraction 01	1	20140812_LC1_Sara_36h_MHAL_11-01.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	Ad2 infection versus mock; SILAC mixed sample
20140812_LC1_Sara_36h_MHAL_11-02	Homo sapiens	lung fibroblast cell culture	adenovirus infectious disease	not available	not available	IMR-90	36 h	2	20140812_LC1_Sara_36h_MHAL_11-02	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=SILAC;AC=PRIDE:0000315;TA=heavy mock + light Ad2-infected	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable; NT=Acetyl;AC=UNIMOD:1;TA=Protein N-term;MT=Variable	fraction 02	1	20140812_LC1_Sara_36h_MHAL_11-02.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	Ad2 infection versus mock; SILAC mixed sample
