source name	characteristics[organism]	characteristics[organism part]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[instrument]	comment[label]	comment[cleavage agent details]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf template]	factor value[submitted acquisition series]
mitoproteome quantification submitted run	Homo sapiens	mitochondrion	1	161012_QE_IA_IK_MM_09	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	1	6	161012_QE_IA_IK_MM_09.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	mitoproteome quantification
BioID experiment submitted run	Homo sapiens	mitochondrion	1	181122_FS1_Li_Jelena_01	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion;AC=MS:1002416	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	1	6	181122_FS1_Li_Jelena_01.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	BioID experiment
mitoproteome quantification submitted run	Homo sapiens	mitochondrion	1	161012_QE_IA_IK_MM_07_161017133703	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	1	7	161012_QE_IA_IK_MM_07_161017133703.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	mitoproteome quantification
BioID experiment submitted run	Homo sapiens	mitochondrion	1	181122_FS1_Li_Jelena_10	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion;AC=MS:1002416	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	1	7	181122_FS1_Li_Jelena_10.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	BioID experiment
BioID experiment submitted run	Homo sapiens	mitochondrion	1	181122_FS1_Li_Jelena_05	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion;AC=MS:1002416	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	1	8	181122_FS1_Li_Jelena_05.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	BioID experiment
mitoproteome quantification submitted run	Homo sapiens	mitochondrion	1	161012_QE_IA_IK_MM_03	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	1	8	161012_QE_IA_IK_MM_03.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	mitoproteome quantification
mitoproteome quantification submitted run	Homo sapiens	mitochondrion	1	161012_QE_IA_IK_MM_05	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	1	9	161012_QE_IA_IK_MM_05.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	mitoproteome quantification
BioID experiment submitted run	Homo sapiens	mitochondrion	1	181122_FS1_Li_Jelena_02	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion;AC=MS:1002416	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	1	9	181122_FS1_Li_Jelena_02.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	BioID experiment
BioID experiment submitted run	Homo sapiens	mitochondrion	1	181122_FS1_Li_Jelena_06	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion;AC=MS:1002416	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	1	10	181122_FS1_Li_Jelena_06.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	BioID experiment
mitoproteome quantification submitted run	Homo sapiens	mitochondrion	1	161012_QE_IA_IK_MM_01	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	1	10	161012_QE_IA_IK_MM_01.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	mitoproteome quantification
