source name	characteristics[organism]	characteristics[organism part]	characteristics[disease]	characteristics[cell type]	characteristics[material type]	characteristics[ancestry category]	characteristics[age]	characteristics[sex]	characteristics[developmental stage]	characteristics[individual]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[instrument]	comment[label]	comment[cleavage agent details]	comment[cleavage agent details]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[reduction reagent]	comment[alkylation reagent]	comment[dissociation method]	comment[collision energy]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[fractionation method]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf annotation tool]	factor value[cell type]	factor value[organism part]
pooled_1-12_skin_ILC	Homo sapiens	skin	normal	innate lymphoid cell	cell	not available	not available	not available	not available	pooled	pooled	20190722_QE8_nLC0_BDA_SA_ILC_F11	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF-X;AC=MS:1002877	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=beam-type collision-induced dissociation;AC=MS:1000422	27 NCE	not available	not available	NT=High-pH reversed-phase chromatography (hpHRP);AC=PRIDE:0000564	11	1	20190722_QE8_nLC0_BDA_SA_ILC_F11.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	manual curation	innate lymphoid cell	skin
pooled_1-12_skin_ILC	Homo sapiens	skin	normal	innate lymphoid cell	cell	not available	not available	not available	not available	pooled	pooled	20190722_QE8_nLC0_BDA_SA_ILC_F12	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF-X;AC=MS:1002877	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=beam-type collision-induced dissociation;AC=MS:1000422	27 NCE	not available	not available	NT=High-pH reversed-phase chromatography (hpHRP);AC=PRIDE:0000564	12	1	20190722_QE8_nLC0_BDA_SA_ILC_F12.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	manual curation	innate lymphoid cell	skin
pooled_1-12_skin_ILC	Homo sapiens	skin	normal	innate lymphoid cell	cell	not available	not available	not available	not available	pooled	pooled	20190722_QE8_nLC0_BDA_SA_ILC_F13	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF-X;AC=MS:1002877	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=beam-type collision-induced dissociation;AC=MS:1000422	27 NCE	not available	not available	NT=High-pH reversed-phase chromatography (hpHRP);AC=PRIDE:0000564	13	1	20190722_QE8_nLC0_BDA_SA_ILC_F13.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	manual curation	innate lymphoid cell	skin
pooled_1-12_skin_ILC	Homo sapiens	skin	normal	innate lymphoid cell	cell	not available	not available	not available	not available	pooled	pooled	20190722_QE8_nLC0_BDA_SA_ILC_F14	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF-X;AC=MS:1002877	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=beam-type collision-induced dissociation;AC=MS:1000422	27 NCE	not available	not available	NT=High-pH reversed-phase chromatography (hpHRP);AC=PRIDE:0000564	14	1	20190722_QE8_nLC0_BDA_SA_ILC_F14.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	manual curation	innate lymphoid cell	skin
pooled_1-12_skin_ILC	Homo sapiens	skin	normal	innate lymphoid cell	cell	not available	not available	not available	not available	pooled	pooled	20190722_QE8_nLC0_BDA_SA_ILC_F15	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF-X;AC=MS:1002877	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=beam-type collision-induced dissociation;AC=MS:1000422	27 NCE	not available	not available	NT=High-pH reversed-phase chromatography (hpHRP);AC=PRIDE:0000564	15	1	20190722_QE8_nLC0_BDA_SA_ILC_F15.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	manual curation	innate lymphoid cell	skin
pooled_1-12_skin_ILC	Homo sapiens	skin	normal	innate lymphoid cell	cell	not available	not available	not available	not available	pooled	pooled	20190722_QE8_nLC0_BDA_SA_ILC_F16	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF-X;AC=MS:1002877	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=beam-type collision-induced dissociation;AC=MS:1000422	27 NCE	not available	not available	NT=High-pH reversed-phase chromatography (hpHRP);AC=PRIDE:0000564	16	1	20190722_QE8_nLC0_BDA_SA_ILC_F16.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	manual curation	innate lymphoid cell	skin
pooled_1-12_blood_ILC	Homo sapiens	peripheral blood	normal	innate lymphoid cell	cell	not available	not available	not available	adult	pooled	pooled	20190722_QE8_nLC0_BDA_SA_ILC_Blood_F1	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF-X;AC=MS:1002877	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=beam-type collision-induced dissociation;AC=MS:1000422	27 NCE	not available	not available	NT=High-pH reversed-phase chromatography (hpHRP);AC=PRIDE:0000564	1	1	20190722_QE8_nLC0_BDA_SA_ILC_Blood_F1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	manual curation	innate lymphoid cell	peripheral blood
pooled_1-12_blood_ILC	Homo sapiens	peripheral blood	normal	innate lymphoid cell	cell	not available	not available	not available	adult	pooled	pooled	20190722_QE8_nLC0_BDA_SA_ILC_Blood_F2	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF-X;AC=MS:1002877	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=beam-type collision-induced dissociation;AC=MS:1000422	27 NCE	not available	not available	NT=High-pH reversed-phase chromatography (hpHRP);AC=PRIDE:0000564	2	1	20190722_QE8_nLC0_BDA_SA_ILC_Blood_F2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	manual curation	innate lymphoid cell	peripheral blood
pooled_1-12_blood_ILC	Homo sapiens	peripheral blood	normal	innate lymphoid cell	cell	not available	not available	not available	adult	pooled	pooled	20190722_QE8_nLC0_BDA_SA_ILC_Blood_F3	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF-X;AC=MS:1002877	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=beam-type collision-induced dissociation;AC=MS:1000422	27 NCE	not available	not available	NT=High-pH reversed-phase chromatography (hpHRP);AC=PRIDE:0000564	3	1	20190722_QE8_nLC0_BDA_SA_ILC_Blood_F3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	manual curation	innate lymphoid cell	peripheral blood
pooled_1-12_blood_ILC	Homo sapiens	peripheral blood	normal	innate lymphoid cell	cell	not available	not available	not available	adult	pooled	pooled	20190722_QE8_nLC0_BDA_SA_ILC_Blood_F4	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF-X;AC=MS:1002877	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=beam-type collision-induced dissociation;AC=MS:1000422	27 NCE	not available	not available	NT=High-pH reversed-phase chromatography (hpHRP);AC=PRIDE:0000564	4	1	20190722_QE8_nLC0_BDA_SA_ILC_Blood_F4.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	manual curation	innate lymphoid cell	peripheral blood
pooled_1-12_blood_ILC	Homo sapiens	peripheral blood	normal	innate lymphoid cell	cell	not available	not available	not available	adult	pooled	pooled	20190722_QE8_nLC0_BDA_SA_ILC_Blood_F5	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF-X;AC=MS:1002877	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=beam-type collision-induced dissociation;AC=MS:1000422	27 NCE	not available	not available	NT=High-pH reversed-phase chromatography (hpHRP);AC=PRIDE:0000564	5	1	20190722_QE8_nLC0_BDA_SA_ILC_Blood_F5.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	manual curation	innate lymphoid cell	peripheral blood
pooled_1-12_blood_ILC	Homo sapiens	peripheral blood	normal	innate lymphoid cell	cell	not available	not available	not available	adult	pooled	pooled	20190722_QE8_nLC0_BDA_SA_ILC_Blood_F6	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF-X;AC=MS:1002877	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=beam-type collision-induced dissociation;AC=MS:1000422	27 NCE	not available	not available	NT=High-pH reversed-phase chromatography (hpHRP);AC=PRIDE:0000564	6	1	20190722_QE8_nLC0_BDA_SA_ILC_Blood_F6.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	manual curation	innate lymphoid cell	peripheral blood
pooled_1-12_blood_ILC	Homo sapiens	peripheral blood	normal	innate lymphoid cell	cell	not available	not available	not available	adult	pooled	pooled	20190722_QE8_nLC0_BDA_SA_ILC_Blood_F7	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF-X;AC=MS:1002877	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=beam-type collision-induced dissociation;AC=MS:1000422	27 NCE	not available	not available	NT=High-pH reversed-phase chromatography (hpHRP);AC=PRIDE:0000564	7	1	20190722_QE8_nLC0_BDA_SA_ILC_Blood_F7.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	manual curation	innate lymphoid cell	peripheral blood
