source name	characteristics[organism]	characteristics[organism part]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[instrument]	comment[label]	comment[cleavage agent details]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf template]	factor value[submitted run series]
20200226_PISA_PSC_3-3 submitted run	Homo sapiens	cell culture	1	20200226_PISA_PSC_3-3	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=TMT 10-plex;AC=MS:1002010	NT=Trypsin;AC=MS:1001251	1	1	20200226_PISA_PSC_3-3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	20200226_PISA_PSC_3-3
20200226_PISA_PSC_2-10 submitted run	Homo sapiens	cell culture	1	20200226_PISA_PSC_2-10	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=TMT 10-plex;AC=MS:1002010	NT=Trypsin;AC=MS:1001251	1	1	20200226_PISA_PSC_2-10.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	20200226_PISA_PSC_2-10
20200226_PISA_PSC_1-16 submitted run	Homo sapiens	cell culture	1	20200226_PISA_PSC_1-16	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=TMT 10-plex;AC=MS:1002010	NT=Trypsin;AC=MS:1001251	1	1	20200226_PISA_PSC_1-16.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	20200226_PISA_PSC_1-16
20200226_PISA_PSC_2-17 submitted run	Homo sapiens	cell culture	1	20200226_PISA_PSC_2-17	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=TMT 10-plex;AC=MS:1002010	NT=Trypsin;AC=MS:1001251	1	1	20200226_PISA_PSC_2-17.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	20200226_PISA_PSC_2-17
20200226_PISA_PSC_3-7 submitted run	Homo sapiens	cell culture	1	20200226_PISA_PSC_3-7	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=TMT 10-plex;AC=MS:1002010	NT=Trypsin;AC=MS:1001251	1	1	20200226_PISA_PSC_3-7.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	20200226_PISA_PSC_3-7
20200226_PISA_PSC_1-7 submitted run	Homo sapiens	cell culture	1	20200226_PISA_PSC_1-7	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=TMT 10-plex;AC=MS:1002010	NT=Trypsin;AC=MS:1001251	1	1	20200226_PISA_PSC_1-7.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	20200226_PISA_PSC_1-7
20200226_PISA_PSC_2-14 submitted run	Homo sapiens	cell culture	1	20200226_PISA_PSC_2-14	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=TMT 10-plex;AC=MS:1002010	NT=Trypsin;AC=MS:1001251	1	1	20200226_PISA_PSC_2-14.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	20200226_PISA_PSC_2-14
20200226_PISA_PSC_3-19 submitted run	Homo sapiens	cell culture	1	20200226_PISA_PSC_3-19	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=TMT 10-plex;AC=MS:1002010	NT=Trypsin;AC=MS:1001251	1	1	20200226_PISA_PSC_3-19.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	20200226_PISA_PSC_3-19
20200226_PISA_PSC_2-9 submitted run	Homo sapiens	cell culture	1	20200226_PISA_PSC_2-9	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=TMT 10-plex;AC=MS:1002010	NT=Trypsin;AC=MS:1001251	1	1	20200226_PISA_PSC_2-9.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	20200226_PISA_PSC_2-9
20200226_PISA_PSC_3-1 submitted run	Homo sapiens	cell culture	1	20200226_PISA_PSC_3-1	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=TMT 10-plex;AC=MS:1002010	NT=Trypsin;AC=MS:1001251	1	1	20200226_PISA_PSC_3-1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	20200226_PISA_PSC_3-1
20200226_PISA_PSC_1-21 submitted run	Homo sapiens	cell culture	1	20200226_PISA_PSC_1-21	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=TMT 10-plex;AC=MS:1002010	NT=Trypsin;AC=MS:1001251	1	1	20200226_PISA_PSC_1-21.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	20200226_PISA_PSC_1-21
20200226_PISA_PSC_3-24 submitted run	Homo sapiens	cell culture	1	20200226_PISA_PSC_3-24	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=TMT 10-plex;AC=MS:1002010	NT=Trypsin;AC=MS:1001251	1	1	20200226_PISA_PSC_3-24.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	20200226_PISA_PSC_3-24
20200226_PISA_PSC_2-23 submitted run	Homo sapiens	cell culture	1	20200226_PISA_PSC_2-23	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=TMT 10-plex;AC=MS:1002010	NT=Trypsin;AC=MS:1001251	1	1	20200226_PISA_PSC_2-23.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	20200226_PISA_PSC_2-23
20200226_PISA_PSC_3-4 submitted run	Homo sapiens	cell culture	1	20200226_PISA_PSC_3-4	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=TMT 10-plex;AC=MS:1002010	NT=Trypsin;AC=MS:1001251	1	1	20200226_PISA_PSC_3-4.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	20200226_PISA_PSC_3-4
20200226_PISA_PSC_3-22 submitted run	Homo sapiens	cell culture	1	20200226_PISA_PSC_3-22	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=TMT 10-plex;AC=MS:1002010	NT=Trypsin;AC=MS:1001251	1	1	20200226_PISA_PSC_3-22.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	20200226_PISA_PSC_3-22
20200226_PISA_PSC_1-1 submitted run	Homo sapiens	cell culture	1	20200226_PISA_PSC_1-1	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=TMT 10-plex;AC=MS:1002010	NT=Trypsin;AC=MS:1001251	1	1	20200226_PISA_PSC_1-1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	20200226_PISA_PSC_1-1
20200226_PISA_PSC_2-3 submitted run	Homo sapiens	cell culture	1	20200226_PISA_PSC_2-3	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=TMT 10-plex;AC=MS:1002010	NT=Trypsin;AC=MS:1001251	1	1	20200226_PISA_PSC_2-3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	20200226_PISA_PSC_2-3
20200226_PISA_PSC_2-6 submitted run	Homo sapiens	cell culture	1	20200226_PISA_PSC_2-6	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=TMT 10-plex;AC=MS:1002010	NT=Trypsin;AC=MS:1001251	1	1	20200226_PISA_PSC_2-6.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	20200226_PISA_PSC_2-6
20200226_PISA_PSC_1-5 submitted run	Homo sapiens	cell culture	1	20200226_PISA_PSC_1-5	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=TMT 10-plex;AC=MS:1002010	NT=Trypsin;AC=MS:1001251	1	1	20200226_PISA_PSC_1-5.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	20200226_PISA_PSC_1-5
20200226_PISA_PSC_2-24 submitted run	Homo sapiens	cell culture	1	20200226_PISA_PSC_2-24	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=TMT 10-plex;AC=MS:1002010	NT=Trypsin;AC=MS:1001251	1	1	20200226_PISA_PSC_2-24.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	20200226_PISA_PSC_2-24
20200226_PISA_PSC_2-20 submitted run	Homo sapiens	cell culture	1	20200226_PISA_PSC_2-20	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=TMT 10-plex;AC=MS:1002010	NT=Trypsin;AC=MS:1001251	1	1	20200226_PISA_PSC_2-20.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	20200226_PISA_PSC_2-20
20200226_PISA_PSC_3-8 submitted run	Homo sapiens	cell culture	1	20200226_PISA_PSC_3-8	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=TMT 10-plex;AC=MS:1002010	NT=Trypsin;AC=MS:1001251	1	1	20200226_PISA_PSC_3-8.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	20200226_PISA_PSC_3-8
20200226_PISA_PSC_1-20 submitted run	Homo sapiens	cell culture	1	20200226_PISA_PSC_1-20	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=TMT 10-plex;AC=MS:1002010	NT=Trypsin;AC=MS:1001251	1	1	20200226_PISA_PSC_1-20.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	20200226_PISA_PSC_1-20
20200226_PISA_PSC_1-3 submitted run	Homo sapiens	cell culture	1	20200226_PISA_PSC_1-3	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=TMT 10-plex;AC=MS:1002010	NT=Trypsin;AC=MS:1001251	1	1	20200226_PISA_PSC_1-3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	20200226_PISA_PSC_1-3
20200226_PISA_PSC_3-2 submitted run	Homo sapiens	cell culture	1	20200226_PISA_PSC_3-2	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=TMT 10-plex;AC=MS:1002010	NT=Trypsin;AC=MS:1001251	1	1	20200226_PISA_PSC_3-2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	20200226_PISA_PSC_3-2
20200226_PISA_PSC_1-2 submitted run	Homo sapiens	cell culture	1	20200226_PISA_PSC_1-2	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=TMT 10-plex;AC=MS:1002010	NT=Trypsin;AC=MS:1001251	1	1	20200226_PISA_PSC_1-2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	20200226_PISA_PSC_1-2
20200226_PISA_PSC_1-9 submitted run	Homo sapiens	cell culture	1	20200226_PISA_PSC_1-9	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=TMT 10-plex;AC=MS:1002010	NT=Trypsin;AC=MS:1001251	1	1	20200226_PISA_PSC_1-9.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	20200226_PISA_PSC_1-9
20200226_PISA_PSC_3-15 submitted run	Homo sapiens	cell culture	1	20200226_PISA_PSC_3-15	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=TMT 10-plex;AC=MS:1002010	NT=Trypsin;AC=MS:1001251	1	1	20200226_PISA_PSC_3-15.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	20200226_PISA_PSC_3-15
20200226_PISA_PSC_3-20 submitted run	Homo sapiens	cell culture	1	20200226_PISA_PSC_3-20	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=TMT 10-plex;AC=MS:1002010	NT=Trypsin;AC=MS:1001251	1	1	20200226_PISA_PSC_3-20.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	20200226_PISA_PSC_3-20
20200226_PISA_PSC_1-13 submitted run	Homo sapiens	cell culture	1	20200226_PISA_PSC_1-13	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=TMT 10-plex;AC=MS:1002010	NT=Trypsin;AC=MS:1001251	1	1	20200226_PISA_PSC_1-13.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	20200226_PISA_PSC_1-13
20200226_PISA_PSC_2-4 submitted run	Homo sapiens	cell culture	1	20200226_PISA_PSC_2-4	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=TMT 10-plex;AC=MS:1002010	NT=Trypsin;AC=MS:1001251	1	1	20200226_PISA_PSC_2-4.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	20200226_PISA_PSC_2-4
20200226_PISA_PSC_1-14 submitted run	Homo sapiens	cell culture	1	20200226_PISA_PSC_1-14	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=TMT 10-plex;AC=MS:1002010	NT=Trypsin;AC=MS:1001251	1	1	20200226_PISA_PSC_1-14.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	20200226_PISA_PSC_1-14
20200226_PISA_PSC_1-18 submitted run	Homo sapiens	cell culture	1	20200226_PISA_PSC_1-18	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=TMT 10-plex;AC=MS:1002010	NT=Trypsin;AC=MS:1001251	1	1	20200226_PISA_PSC_1-18.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	20200226_PISA_PSC_1-18
20200226_PISA_PSC_3-17 submitted run	Homo sapiens	cell culture	1	20200226_PISA_PSC_3-17	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=TMT 10-plex;AC=MS:1002010	NT=Trypsin;AC=MS:1001251	1	1	20200226_PISA_PSC_3-17.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	20200226_PISA_PSC_3-17
20200226_PISA_PSC_1-4 submitted run	Homo sapiens	cell culture	1	20200226_PISA_PSC_1-4	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=TMT 10-plex;AC=MS:1002010	NT=Trypsin;AC=MS:1001251	1	1	20200226_PISA_PSC_1-4.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	20200226_PISA_PSC_1-4
20200226_PISA_PSC_2-1 submitted run	Homo sapiens	cell culture	1	20200226_PISA_PSC_2-1	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=TMT 10-plex;AC=MS:1002010	NT=Trypsin;AC=MS:1001251	1	1	20200226_PISA_PSC_2-1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	20200226_PISA_PSC_2-1
20200226_PISA_PSC_2-18 submitted run	Homo sapiens	cell culture	1	20200226_PISA_PSC_2-18	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=TMT 10-plex;AC=MS:1002010	NT=Trypsin;AC=MS:1001251	1	1	20200226_PISA_PSC_2-18.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	20200226_PISA_PSC_2-18
20200226_PISA_PSC_2-19 submitted run	Homo sapiens	cell culture	1	20200226_PISA_PSC_2-19	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=TMT 10-plex;AC=MS:1002010	NT=Trypsin;AC=MS:1001251	1	1	20200226_PISA_PSC_2-19.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	20200226_PISA_PSC_2-19
20200226_PISA_PSC_1-15 submitted run	Homo sapiens	cell culture	1	20200226_PISA_PSC_1-15	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=TMT 10-plex;AC=MS:1002010	NT=Trypsin;AC=MS:1001251	1	1	20200226_PISA_PSC_1-15.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	20200226_PISA_PSC_1-15
20200226_PISA_PSC_1-12 submitted run	Homo sapiens	cell culture	1	20200226_PISA_PSC_1-12	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=TMT 10-plex;AC=MS:1002010	NT=Trypsin;AC=MS:1001251	1	1	20200226_PISA_PSC_1-12.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	20200226_PISA_PSC_1-12
20200226_PISA_PSC_2-2 submitted run	Homo sapiens	cell culture	1	20200226_PISA_PSC_2-2	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=TMT 10-plex;AC=MS:1002010	NT=Trypsin;AC=MS:1001251	1	1	20200226_PISA_PSC_2-2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	20200226_PISA_PSC_2-2
20200226_PISA_PSC_3-21 submitted run	Homo sapiens	cell culture	1	20200226_PISA_PSC_3-21	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=TMT 10-plex;AC=MS:1002010	NT=Trypsin;AC=MS:1001251	1	1	20200226_PISA_PSC_3-21.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	20200226_PISA_PSC_3-21
20200226_PISA_PSC_2-22 submitted run	Homo sapiens	cell culture	1	20200226_PISA_PSC_2-22	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=TMT 10-plex;AC=MS:1002010	NT=Trypsin;AC=MS:1001251	1	1	20200226_PISA_PSC_2-22.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	20200226_PISA_PSC_2-22
20200226_PISA_PSC_2-5 submitted run	Homo sapiens	cell culture	1	20200226_PISA_PSC_2-5	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=TMT 10-plex;AC=MS:1002010	NT=Trypsin;AC=MS:1001251	1	1	20200226_PISA_PSC_2-5.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	20200226_PISA_PSC_2-5
20200226_PISA_PSC_3-13 submitted run	Homo sapiens	cell culture	1	20200226_PISA_PSC_3-13	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=TMT 10-plex;AC=MS:1002010	NT=Trypsin;AC=MS:1001251	1	1	20200226_PISA_PSC_3-13.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	20200226_PISA_PSC_3-13
20200226_PISA_PSC_2-15 submitted run	Homo sapiens	cell culture	1	20200226_PISA_PSC_2-15	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=TMT 10-plex;AC=MS:1002010	NT=Trypsin;AC=MS:1001251	1	1	20200226_PISA_PSC_2-15.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	20200226_PISA_PSC_2-15
20200226_PISA_PSC_3-18 submitted run	Homo sapiens	cell culture	1	20200226_PISA_PSC_3-18	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=TMT 10-plex;AC=MS:1002010	NT=Trypsin;AC=MS:1001251	1	1	20200226_PISA_PSC_3-18.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	20200226_PISA_PSC_3-18
20200226_PISA_PSC_3-23 submitted run	Homo sapiens	cell culture	1	20200226_PISA_PSC_3-23	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=TMT 10-plex;AC=MS:1002010	NT=Trypsin;AC=MS:1001251	1	1	20200226_PISA_PSC_3-23.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	20200226_PISA_PSC_3-23
20200226_PISA_PSC_3-10 submitted run	Homo sapiens	cell culture	1	20200226_PISA_PSC_3-10	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=TMT 10-plex;AC=MS:1002010	NT=Trypsin;AC=MS:1001251	1	1	20200226_PISA_PSC_3-10.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	20200226_PISA_PSC_3-10
