source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[instrument]	comment[label]	comment[cleavage agent details]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf template]	factor value[digest type]
human brain microvessel sample 14	Homo sapiens	brain microvessel	brain microvascular endothelial cell	14	TrypSample14	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	1	1	TrypSample14.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	trypsin
human brain microvessel sample 15	Homo sapiens	brain microvessel	brain microvascular endothelial cell	15	LysCsample15	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Lys-C;AC=MS:1001309	1	1	LysCsample15.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	Lys-C
human brain microvessel sample 15	Homo sapiens	brain microvessel	brain microvascular endothelial cell	15	TrypSample15	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	1	1	TrypSample15.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	trypsin
human brain microvessel sample 16	Homo sapiens	brain microvessel	brain microvascular endothelial cell	16	LysCsample16	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Lys-C;AC=MS:1001309	1	1	LysCsample16.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	Lys-C
human brain microvessel sample 16	Homo sapiens	brain microvessel	brain microvascular endothelial cell	16	TrypSample16	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	1	1	TrypSample16.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	trypsin
human brain microvessel sample 17	Homo sapiens	brain microvessel	brain microvascular endothelial cell	17	LysCsample17	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Lys-C;AC=MS:1001309	1	1	LysCsample17.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	Lys-C
human brain microvessel sample 17	Homo sapiens	brain microvessel	brain microvascular endothelial cell	17	TrypSample17	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	1	1	TrypSample17.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	trypsin
human brain microvessel sample 18	Homo sapiens	brain microvessel	brain microvascular endothelial cell	18	LysCsample18	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Lys-C;AC=MS:1001309	1	1	LysCsample18.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	Lys-C
human brain microvessel sample 18	Homo sapiens	brain microvessel	brain microvascular endothelial cell	18	TrypSample18	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	1	1	TrypSample18.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	trypsin
human brain microvessel sample 19	Homo sapiens	brain microvessel	brain microvascular endothelial cell	19	TrypSample19	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	1	1	TrypSample19.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	trypsin
human brain microvessel sample 20	Homo sapiens	brain microvessel	brain microvascular endothelial cell	20	LysCsample20	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Lys-C;AC=MS:1001309	1	1	LysCsample20.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	Lys-C
human brain microvessel sample 20	Homo sapiens	brain microvessel	brain microvascular endothelial cell	20	TrypSample20	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	1	1	TrypSample20.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	trypsin
human brain microvessel sample 21	Homo sapiens	brain microvessel	brain microvascular endothelial cell	21	LysCsample21	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Lys-C;AC=MS:1001309	1	1	LysCsample21.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	Lys-C
human brain microvessel sample 21	Homo sapiens	brain microvessel	brain microvascular endothelial cell	21	TrypSample21	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	1	1	TrypSample21.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	trypsin
human brain microvessel sample 22	Homo sapiens	brain microvessel	brain microvascular endothelial cell	22	LysCsample22	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Lys-C;AC=MS:1001309	1	1	LysCsample22.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	Lys-C
human brain microvessel sample 22	Homo sapiens	brain microvessel	brain microvascular endothelial cell	22	TrypSample22	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	1	1	TrypSample22.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	trypsin
human brain microvessel sample 23	Homo sapiens	brain microvessel	brain microvascular endothelial cell	23	LysCsample23	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Lys-C;AC=MS:1001309	1	1	LysCsample23.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	Lys-C
human brain microvessel sample 23	Homo sapiens	brain microvessel	brain microvascular endothelial cell	23	TrypSample23	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	1	1	TrypSample23.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	trypsin
human brain microvessel sample 24	Homo sapiens	brain microvessel	brain microvascular endothelial cell	24	LysCsample24	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Lys-C;AC=MS:1001309	1	1	LysCsample24.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	Lys-C
human brain microvessel sample 24	Homo sapiens	brain microvessel	brain microvascular endothelial cell	24	TrypSample24	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	1	1	TrypSample24.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	trypsin
human brain microvessel sample 25	Homo sapiens	brain microvessel	brain microvascular endothelial cell	25	LysCsample25	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Lys-C;AC=MS:1001309	1	1	LysCsample25.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	Lys-C
human brain microvessel sample 25	Homo sapiens	brain microvessel	brain microvascular endothelial cell	25	TrypSample25	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	1	1	TrypSample25.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	trypsin
human brain microvessel sample 26	Homo sapiens	brain microvessel	brain microvascular endothelial cell	26	LysCsample26	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Lys-C;AC=MS:1001309	1	1	LysCsample26.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	Lys-C
human brain microvessel sample 26	Homo sapiens	brain microvessel	brain microvascular endothelial cell	26	TrypSample26	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	1	1	TrypSample26.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	trypsin
human brain microvessel sample 27	Homo sapiens	brain microvessel	brain microvascular endothelial cell	27	LysCsample27	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Lys-C;AC=MS:1001309	1	1	LysCsample27.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	Lys-C
human brain microvessel sample 27	Homo sapiens	brain microvessel	brain microvascular endothelial cell	27	TrypSample27	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	1	1	TrypSample27.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	trypsin
human brain microvessel sample 28	Homo sapiens	brain microvessel	brain microvascular endothelial cell	28	LysCsample28	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Lys-C;AC=MS:1001309	1	1	LysCsample28.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	Lys-C
human brain microvessel sample 28	Homo sapiens	brain microvessel	brain microvascular endothelial cell	28	TrypSample28	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	1	1	TrypSample28.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	trypsin
human brain microvessel sample 29	Homo sapiens	brain microvessel	brain microvascular endothelial cell	29	LysCsample29	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Lys-C;AC=MS:1001309	1	1	LysCsample29.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	Lys-C
human brain microvessel sample 29	Homo sapiens	brain microvessel	brain microvascular endothelial cell	29	TrypSample29	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	1	1	TrypSample29.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	trypsin
human brain microvessel sample 30	Homo sapiens	brain microvessel	brain microvascular endothelial cell	30	LysCsample30	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Lys-C;AC=MS:1001309	1	1	LysCsample30.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	Lys-C
human brain microvessel sample 30	Homo sapiens	brain microvessel	brain microvascular endothelial cell	30	TrypSample30	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	1	1	TrypSample30.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	trypsin
human brain microvessel sample 31	Homo sapiens	brain microvessel	brain microvascular endothelial cell	31	LysCsample31	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Lys-C;AC=MS:1001309	1	1	LysCsample31.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	Lys-C
human brain microvessel sample 31	Homo sapiens	brain microvessel	brain microvascular endothelial cell	31	TrypSample31	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	1	1	TrypSample31.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	trypsin
human brain microvessel sample 32	Homo sapiens	brain microvessel	brain microvascular endothelial cell	32	LysCsample32	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Lys-C;AC=MS:1001309	1	1	LysCsample32.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	Lys-C
human brain microvessel sample 33	Homo sapiens	brain microvessel	brain microvascular endothelial cell	33	LysCsample33	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Lys-C;AC=MS:1001309	1	1	LysCsample33.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	Lys-C
human brain microvessel sample 33	Homo sapiens	brain microvessel	brain microvascular endothelial cell	33	TrypSample33	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	1	1	TrypSample33.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	trypsin
human brain microvessel sample 34	Homo sapiens	brain microvessel	brain microvascular endothelial cell	34	LysCsample34	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Lys-C;AC=MS:1001309	1	1	LysCsample34.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	Lys-C
human brain microvessel sample 34	Homo sapiens	brain microvessel	brain microvascular endothelial cell	34	TrypSample34	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	1	1	TrypSample34.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	trypsin
human brain microvessel sample 35	Homo sapiens	brain microvessel	brain microvascular endothelial cell	35	LysCsample35	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Lys-C;AC=MS:1001309	1	1	LysCsample35.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	Lys-C
human brain microvessel sample 35	Homo sapiens	brain microvessel	brain microvascular endothelial cell	35	TrypSample35	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	1	1	TrypSample35.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	trypsin
human brain microvessel sample 36	Homo sapiens	brain microvessel	brain microvascular endothelial cell	36	LysCsample36	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Lys-C;AC=MS:1001309	1	1	LysCsample36.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	Lys-C
human brain microvessel sample 36	Homo sapiens	brain microvessel	brain microvascular endothelial cell	36	TrypSample36	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	1	1	TrypSample36.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	trypsin
