source name	characteristics[organism]	characteristics[organism part]	characteristics[disease]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[instrument]	comment[label]	comment[cleavage agent details]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf template]	factor value[submitted sample id]
breast cancer cell submitted sample RL_12	Homo sapiens	cell culture	breast cancer	12	20150602_13_Qp2_Lee_RL_12_1	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive Plus;AC=MS:1002634	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=NQ;MT=Variable	1	1	20150602_13_Qp2_Lee_RL_12_1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	RL_12
breast cancer cell submitted sample RL_14	Homo sapiens	cell culture	breast cancer	14	20150602_14_Qp2_Lee_RL_14_1	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive Plus;AC=MS:1002634	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=NQ;MT=Variable	1	1	20150602_14_Qp2_Lee_RL_14_1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	RL_14
breast cancer cell submitted sample RL_13	Homo sapiens	cell culture	breast cancer	13	20150602_15_Qp2_Lee_RL_13_1	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive Plus;AC=MS:1002634	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=NQ;MT=Variable	1	1	20150602_15_Qp2_Lee_RL_13_1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	RL_13
breast cancer cell submitted sample RL_29	Homo sapiens	cell culture	breast cancer	29	20150602_16_Qp2_Lee_RL_29_1	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive Plus;AC=MS:1002634	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=NQ;MT=Variable	1	1	20150602_16_Qp2_Lee_RL_29_1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	RL_29
breast cancer cell submitted sample RL_40	Homo sapiens	cell culture	breast cancer	40	20150602_17_Qp2_Lee_RL_40_1	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive Plus;AC=MS:1002634	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=NQ;MT=Variable	1	1	20150602_17_Qp2_Lee_RL_40_1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	RL_40
breast cancer cell submitted sample RL_3	Homo sapiens	cell culture	breast cancer	3	20150602_18_Qp2_Lee_RL_3_1	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive Plus;AC=MS:1002634	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=NQ;MT=Variable	1	1	20150602_18_Qp2_Lee_RL_3_1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	RL_3
breast cancer cell submitted sample RL_4	Homo sapiens	cell culture	breast cancer	4	20150602_19_Qp2_Lee_RL_4_1	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive Plus;AC=MS:1002634	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=NQ;MT=Variable	1	1	20150602_19_Qp2_Lee_RL_4_1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	RL_4
breast cancer cell submitted sample RL_28	Homo sapiens	cell culture	breast cancer	28	20150602_20_Qp2_Lee_RL_28_1	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive Plus;AC=MS:1002634	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=NQ;MT=Variable	1	1	20150602_20_Qp2_Lee_RL_28_1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	RL_28
breast cancer cell submitted sample RL_20	Homo sapiens	cell culture	breast cancer	20	20150602_21_Qp2_Lee_RL_20_1	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive Plus;AC=MS:1002634	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=NQ;MT=Variable	1	1	20150602_21_Qp2_Lee_RL_20_1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	RL_20
breast cancer cell submitted sample RL_7	Homo sapiens	cell culture	breast cancer	7	20150602_22_Qp2_Lee_RL_7_1	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive Plus;AC=MS:1002634	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=NQ;MT=Variable	1	1	20150602_22_Qp2_Lee_RL_7_1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	RL_7
breast cancer cell submitted sample RL_37	Homo sapiens	cell culture	breast cancer	37	20150602_23_Qp2_Lee_RL_37_1	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive Plus;AC=MS:1002634	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=NQ;MT=Variable	1	1	20150602_23_Qp2_Lee_RL_37_1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	RL_37
breast cancer cell submitted sample RL_39	Homo sapiens	cell culture	breast cancer	39	20150602_24_Qp2_Lee_RL_39_1	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive Plus;AC=MS:1002634	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=NQ;MT=Variable	1	1	20150602_24_Qp2_Lee_RL_39_1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	RL_39
breast cancer cell submitted sample RL_10	Homo sapiens	cell culture	breast cancer	10	20150602_25_Qp2_Lee_RL_10_1	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive Plus;AC=MS:1002634	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=NQ;MT=Variable	1	1	20150602_25_Qp2_Lee_RL_10_1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	RL_10
breast cancer cell submitted sample RL_36	Homo sapiens	cell culture	breast cancer	36	20150602_26_Qp2_Lee_RL_36_1	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive Plus;AC=MS:1002634	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=NQ;MT=Variable	1	1	20150602_26_Qp2_Lee_RL_36_1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	RL_36
breast cancer cell submitted sample RL_31	Homo sapiens	cell culture	breast cancer	31	20150602_27_Qp2_Lee_RL_31_1	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive Plus;AC=MS:1002634	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=NQ;MT=Variable	1	1	20150602_27_Qp2_Lee_RL_31_1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	RL_31
breast cancer cell submitted sample RL_2	Homo sapiens	cell culture	breast cancer	2	20150602_28_Qp2_Lee_RL_2_1	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive Plus;AC=MS:1002634	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=NQ;MT=Variable	1	1	20150602_28_Qp2_Lee_RL_2_1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	RL_2
breast cancer cell submitted sample RL_23	Homo sapiens	cell culture	breast cancer	23	20150602_29_Qp2_Lee_RL_23_1	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive Plus;AC=MS:1002634	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=NQ;MT=Variable	1	1	20150602_29_Qp2_Lee_RL_23_1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	RL_23
breast cancer cell submitted sample RL_25	Homo sapiens	cell culture	breast cancer	25	20150602_30_Qp2_Lee_RL_25_1	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive Plus;AC=MS:1002634	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=NQ;MT=Variable	1	1	20150602_30_Qp2_Lee_RL_25_1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	RL_25
breast cancer cell submitted sample RL_32	Homo sapiens	cell culture	breast cancer	32	20150602_31_Qp2_Lee_RL_32_1	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive Plus;AC=MS:1002634	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=NQ;MT=Variable	1	1	20150602_31_Qp2_Lee_RL_32_1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	RL_32
breast cancer cell submitted sample RL_38	Homo sapiens	cell culture	breast cancer	38	20150602_32_Qp2_Lee_RL_38_1	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive Plus;AC=MS:1002634	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=NQ;MT=Variable	1	1	20150602_32_Qp2_Lee_RL_38_1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	RL_38
breast cancer cell submitted sample RL_8	Homo sapiens	cell culture	breast cancer	8	20150602_33_Qp2_Lee_RL_8_1	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive Plus;AC=MS:1002634	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=NQ;MT=Variable	1	1	20150602_33_Qp2_Lee_RL_8_1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	RL_8
breast cancer cell submitted sample RL_17	Homo sapiens	cell culture	breast cancer	17	20150602_34_Qp2_Lee_RL_17_1	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive Plus;AC=MS:1002634	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=NQ;MT=Variable	1	1	20150602_34_Qp2_Lee_RL_17_1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	RL_17
breast cancer cell submitted sample RL_27	Homo sapiens	cell culture	breast cancer	27	20150602_35_Qp2_Lee_RL_27_1	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive Plus;AC=MS:1002634	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=NQ;MT=Variable	1	1	20150602_35_Qp2_Lee_RL_27_1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	RL_27
breast cancer cell submitted sample RL_24	Homo sapiens	cell culture	breast cancer	24	20150602_36_Qp2_Lee_RL_24_1	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive Plus;AC=MS:1002634	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=NQ;MT=Variable	1	1	20150602_36_Qp2_Lee_RL_24_1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	RL_24
breast cancer cell submitted sample RL_33	Homo sapiens	cell culture	breast cancer	33	20150602_37_Qp2_Lee_RL_33_1	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive Plus;AC=MS:1002634	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=NQ;MT=Variable	1	1	20150602_37_Qp2_Lee_RL_33_1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	RL_33
breast cancer cell submitted sample RL_15	Homo sapiens	cell culture	breast cancer	15	20150602_38_Qp2_Lee_RL_15_1	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive Plus;AC=MS:1002634	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=NQ;MT=Variable	1	1	20150602_38_Qp2_Lee_RL_15_1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	RL_15
breast cancer cell submitted sample RL_26	Homo sapiens	cell culture	breast cancer	26	20150602_39_Qp2_Lee_RL_26_1	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive Plus;AC=MS:1002634	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=NQ;MT=Variable	1	1	20150602_39_Qp2_Lee_RL_26_1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	RL_26
breast cancer cell submitted sample RL_16	Homo sapiens	cell culture	breast cancer	16	20150602_40_Qp2_Lee_RL_16_1	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive Plus;AC=MS:1002634	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=NQ;MT=Variable	1	1	20150602_40_Qp2_Lee_RL_16_1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	RL_16
breast cancer cell submitted sample RL_22	Homo sapiens	cell culture	breast cancer	22	20150602_41_Qp2_Lee_RL_22_1	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive Plus;AC=MS:1002634	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=NQ;MT=Variable	1	1	20150602_41_Qp2_Lee_RL_22_1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	RL_22
breast cancer cell submitted sample RL_6	Homo sapiens	cell culture	breast cancer	6	20150602_43_Qp2_Lee_RL_6_1_rerun	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive Plus;AC=MS:1002634	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=NQ;MT=Variable	1	2	20150602_43_Qp2_Lee_RL_6_1_rerun.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	RL_6
