source name	characteristics[organism]	characteristics[organism part]	characteristics[biological replicate]	characteristics[treatment]	characteristics[age]	characteristics[sex]	assay name	technology type	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf annotation tool]	comment[proteomics data acquisition method]	comment[instrument]	comment[cleavage agent details]	comment[label]	comment[fraction identifier]	factor value[construct]
PXD038811-210913_TIDHEK__G1__3	Homo sapiens	cell culture	16	TID	not available	not available	210913_TIDHEK__G1__3	proteomic profiling by mass spectrometry	1	210913_TIDHEK__G1__3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	not available	label free sample	1	TID
PXD038811-220321_FOXI1_2	Homo sapiens	cell culture	17	FOXI1	not available	not available	220321_FOXI1_2	proteomic profiling by mass spectrometry	1	220321_FOXI1_2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	not available	label free sample	1	FOXI1
PXD038811-210907_D1_3	Homo sapiens	cell culture	18	not available	not available	not available	210907_D1_3	proteomic profiling by mass spectrometry	1	210907_D1_3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	not available	label free sample	1	not available
PXD038811-210907_TID1__D1_	Homo sapiens	cell culture	19	TID	not available	not available	210907_TID1__D1_	proteomic profiling by mass spectrometry	1	210907_TID1__D1_.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	not available	label free sample	1	TID
PXD038811-210907_TID3_20210908022151	Homo sapiens	cell culture	20	TID	not available	not available	210907_TID3_20210908022151	proteomic profiling by mass spectrometry	1	210907_TID3_20210908022151.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	not available	label free sample	1	TID
PXD038811-210629_TIDHEK__G1__1	Homo sapiens	cell culture	21	TID	not available	not available	210629_TIDHEK__G1__1	proteomic profiling by mass spectrometry	1	210629_TIDHEK__G1__1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	not available	label free sample	1	TID
PXD038811-220321_TID1__I1_	Homo sapiens	cell culture	22	TID	not available	not available	220321_TID1__I1_	proteomic profiling by mass spectrometry	1	220321_TID1__I1_.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	not available	label free sample	1	TID
PXD038811-210629_TIDHEK__G1__2	Homo sapiens	cell culture	23	TID	not available	not available	210629_TIDHEK__G1__2	proteomic profiling by mass spectrometry	1	210629_TIDHEK__G1__2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	not available	label free sample	1	TID
PXD038811-210629_FOXG1HEK_1	Homo sapiens	cell culture	24	FOXG1	not available	not available	210629_FOXG1HEK_1	proteomic profiling by mass spectrometry	1	210629_FOXG1HEK_1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	not available	label free sample	1	FOXG1
PXD038811-210629_TIDHEK__L1__2	Homo sapiens	cell culture	25	TID	not available	not available	210629_TIDHEK__L1__2	proteomic profiling by mass spectrometry	1	210629_TIDHEK__L1__2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	not available	label free sample	1	TID
PXD038811-210907_N4_3	Homo sapiens	cell culture	26	not available	not available	not available	210907_N4_3	proteomic profiling by mass spectrometry	1	210907_N4_3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	not available	label free sample	1	not available
PXD038811-210629_FOXG1HEK_2	Homo sapiens	cell culture	27	FOXG1	not available	not available	210629_FOXG1HEK_2	proteomic profiling by mass spectrometry	1	210629_FOXG1HEK_2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	not available	label free sample	1	FOXG1
PXD038811-210907_N4_1	Homo sapiens	cell culture	28	not available	not available	not available	210907_N4_1	proteomic profiling by mass spectrometry	1	210907_N4_1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	not available	label free sample	1	not available
PXD038811-220321_FOXI1_3	Homo sapiens	cell culture	29	FOXI1	not available	not available	220321_FOXI1_3	proteomic profiling by mass spectrometry	1	220321_FOXI1_3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	not available	label free sample	1	FOXI1
PXD038811-210907_TID1_20210907221853	Homo sapiens	cell culture	30	TID	not available	not available	210907_TID1_20210907221853	proteomic profiling by mass spectrometry	1	210907_TID1_20210907221853.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	not available	label free sample	1	TID
