source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[biological replicate]	characteristics[sample type]	characteristics[disease]	characteristics[material type]	assay name	technology type	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf template]	comment[sdrf annotation tool]	comment[proteomics data acquisition method]	comment[instrument]	comment[cleavage agent details]	comment[label]	comment[fraction identifier]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]
170707_RZ_HCC4510_Tumor_W_ReZipTip_New_adjusted_Rep1_25cm90min3s_msms46	Homo sapiens	liver	not available	17	study sample	tumor	tissue	170707_RZ_HCC4510_Tumor_W_ReZipTip_New_adjusted_Rep1_25cm90min3s_msms46.raw	proteomic profiling by mass spectrometry	1	170707_RZ_HCC4510_Tumor_W_ReZipTip_New_adjusted_Rep1_25cm90min3s_msms46.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=Trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	1	not available	not available	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable
170707_RZ_HCC4510_Tumor_W_ReZipTip_New_adjusted_Rep3_25cm90min3s_msms48	Homo sapiens	liver	not available	17	study sample	tumor	tissue	170707_RZ_HCC4510_Tumor_W_ReZipTip_New_adjusted_Rep3_25cm90min3s_msms48.raw	proteomic profiling by mass spectrometry	1	170707_RZ_HCC4510_Tumor_W_ReZipTip_New_adjusted_Rep3_25cm90min3s_msms48.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=Trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	1	not available	not available	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable
170707_RZ_HCC4511_Tumor_W_ReZipTip_New_adjusted_Rep1_25cm90min3s_msms52	Homo sapiens	liver	not available	18	study sample	tumor	tissue	170707_RZ_HCC4511_Tumor_W_ReZipTip_New_adjusted_Rep1_25cm90min3s_msms52.raw	proteomic profiling by mass spectrometry	1	170707_RZ_HCC4511_Tumor_W_ReZipTip_New_adjusted_Rep1_25cm90min3s_msms52.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=Trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	1	not available	not available	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable
170707_RZ_HCC4511_Tumor_W_ReZipTip_New_adjusted_Rep5_25cm90min3s_msms56	Homo sapiens	liver	not available	18	study sample	tumor	tissue	170707_RZ_HCC4511_Tumor_W_ReZipTip_New_adjusted_Rep5_25cm90min3s_msms56.raw	proteomic profiling by mass spectrometry	1	170707_RZ_HCC4511_Tumor_W_ReZipTip_New_adjusted_Rep5_25cm90min3s_msms56.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=Trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	1	not available	not available	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable
170707_RZ_HCC4512_Tumor_W_ReZipTip_New_adjusted_Rep2_25cm90min3s_msms59	Homo sapiens	liver	not available	19	study sample	tumor	tissue	170707_RZ_HCC4512_Tumor_W_ReZipTip_New_adjusted_Rep2_25cm90min3s_msms59.raw	proteomic profiling by mass spectrometry	1	170707_RZ_HCC4512_Tumor_W_ReZipTip_New_adjusted_Rep2_25cm90min3s_msms59.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=Trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	1	not available	not available	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable
170707_RZ_HCC4512_Tumor_W_ReZipTip_New_adjusted_Rep4_25cm90min3s_msms61	Homo sapiens	liver	not available	19	study sample	tumor	tissue	170707_RZ_HCC4512_Tumor_W_ReZipTip_New_adjusted_Rep4_25cm90min3s_msms61.raw	proteomic profiling by mass spectrometry	1	170707_RZ_HCC4512_Tumor_W_ReZipTip_New_adjusted_Rep4_25cm90min3s_msms61.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=Trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	1	not available	not available	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable
170707_RZ_HCC451_Tumor_W_NewDoseFinding_1to10_25cm90min3s_msms1	Homo sapiens	liver	not available	20	study sample	tumor	tissue	170707_RZ_HCC451_Tumor_W_NewDoseFinding_1to10_25cm90min3s_msms1.raw	proteomic profiling by mass spectrometry	1	170707_RZ_HCC451_Tumor_W_NewDoseFinding_1to10_25cm90min3s_msms1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=Trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	1	not available	not available	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable
170707_RZ_HCC452_Benign_W_ReZipTip_New_adjusted_Rep3_25cm90min3s_msms66	Homo sapiens	liver	not available	21	study sample	benign/non-tumor	tissue	170707_RZ_HCC452_Benign_W_ReZipTip_New_adjusted_Rep3_25cm90min3s_msms66.raw	proteomic profiling by mass spectrometry	1	170707_RZ_HCC452_Benign_W_ReZipTip_New_adjusted_Rep3_25cm90min3s_msms66.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=Trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	1	not available	not available	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable
170707_RZ_HCC452_Benign_W_ReZipTip_New_adjusted_Rep5_25cm90min3s_msms68	Homo sapiens	liver	not available	21	study sample	benign/non-tumor	tissue	170707_RZ_HCC452_Benign_W_ReZipTip_New_adjusted_Rep5_25cm90min3s_msms68.raw	proteomic profiling by mass spectrometry	1	170707_RZ_HCC452_Benign_W_ReZipTip_New_adjusted_Rep5_25cm90min3s_msms68.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=Trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	1	not available	not available	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable
170707_RZ_HCC452_Tumor_W_ReZipTip_New_adjusted_Rep1_25cm90min3s_msms4	Homo sapiens	liver	not available	22	study sample	tumor	tissue	170707_RZ_HCC452_Tumor_W_ReZipTip_New_adjusted_Rep1_25cm90min3s_msms4.raw	proteomic profiling by mass spectrometry	1	170707_RZ_HCC452_Tumor_W_ReZipTip_New_adjusted_Rep1_25cm90min3s_msms4.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=Trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	1	not available	not available	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable
170707_RZ_HCC452_Tumor_W_ReZipTip_New_adjusted_Rep4_25cm90min3s_msms7	Homo sapiens	liver	not available	22	study sample	tumor	tissue	170707_RZ_HCC452_Tumor_W_ReZipTip_New_adjusted_Rep4_25cm90min3s_msms7.raw	proteomic profiling by mass spectrometry	1	170707_RZ_HCC452_Tumor_W_ReZipTip_New_adjusted_Rep4_25cm90min3s_msms7.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=Trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	1	not available	not available	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable
170707_RZ_HCC453_Benign_W_ReZipTip_New_adjusted_Rep1_25cm90min3s_msms70	Homo sapiens	liver	not available	23	study sample	benign/non-tumor	tissue	170707_RZ_HCC453_Benign_W_ReZipTip_New_adjusted_Rep1_25cm90min3s_msms70.raw	proteomic profiling by mass spectrometry	1	170707_RZ_HCC453_Benign_W_ReZipTip_New_adjusted_Rep1_25cm90min3s_msms70.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=Trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	1	not available	not available	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable
170707_RZ_HCC453_Benign_W_ReZipTip_New_adjusted_Rep2_25cm90min3s_msms71	Homo sapiens	liver	not available	23	study sample	benign/non-tumor	tissue	170707_RZ_HCC453_Benign_W_ReZipTip_New_adjusted_Rep2_25cm90min3s_msms71.raw	proteomic profiling by mass spectrometry	1	170707_RZ_HCC453_Benign_W_ReZipTip_New_adjusted_Rep2_25cm90min3s_msms71.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=Trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	1	not available	not available	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable
170707_RZ_HCC454_Tumor_W_ReZipTip_New_adjusted_Rep1_25cm90min3s_msms16	Homo sapiens	liver	not available	24	study sample	tumor	tissue	170707_RZ_HCC454_Tumor_W_ReZipTip_New_adjusted_Rep1_25cm90min3s_msms16.raw	proteomic profiling by mass spectrometry	1	170707_RZ_HCC454_Tumor_W_ReZipTip_New_adjusted_Rep1_25cm90min3s_msms16.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=Trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	1	not available	not available	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable
170707_RZ_HCC454_Tumor_W_ReZipTip_New_adjusted_Rep4_25cm90min3s_msms19	Homo sapiens	liver	not available	24	study sample	tumor	tissue	170707_RZ_HCC454_Tumor_W_ReZipTip_New_adjusted_Rep4_25cm90min3s_msms19.raw	proteomic profiling by mass spectrometry	1	170707_RZ_HCC454_Tumor_W_ReZipTip_New_adjusted_Rep4_25cm90min3s_msms19.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=Trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	1	not available	not available	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable
170707_RZ_HCC455_Tumor_W_ReZipTip_New_adjusted_Rep1_25cm90min3s_msms22	Homo sapiens	liver	not available	25	study sample	tumor	tissue	170707_RZ_HCC455_Tumor_W_ReZipTip_New_adjusted_Rep1_25cm90min3s_msms22.raw	proteomic profiling by mass spectrometry	1	170707_RZ_HCC455_Tumor_W_ReZipTip_New_adjusted_Rep1_25cm90min3s_msms22.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=Trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	1	not available	not available	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable
170707_RZ_HCC455_Tumor_W_ReZipTip_New_adjusted_Rep3_25cm90min3s_msms24	Homo sapiens	liver	not available	25	study sample	tumor	tissue	170707_RZ_HCC455_Tumor_W_ReZipTip_New_adjusted_Rep3_25cm90min3s_msms24.raw	proteomic profiling by mass spectrometry	1	170707_RZ_HCC455_Tumor_W_ReZipTip_New_adjusted_Rep3_25cm90min3s_msms24.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=Trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	1	not available	not available	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable
170707_RZ_HCC455_Tumor_W_ReZipTip_New_adjusted_Rep5_25cm90min3s_msms26	Homo sapiens	liver	not available	25	study sample	tumor	tissue	170707_RZ_HCC455_Tumor_W_ReZipTip_New_adjusted_Rep5_25cm90min3s_msms26.raw	proteomic profiling by mass spectrometry	1	170707_RZ_HCC455_Tumor_W_ReZipTip_New_adjusted_Rep5_25cm90min3s_msms26.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=Trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	1	not available	not available	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable
170707_RZ_HCC456_Tumor_W_ReZipTip_New_adjusted_Rep1_25cm90min3s_msms28	Homo sapiens	liver	not available	26	study sample	tumor	tissue	170707_RZ_HCC456_Tumor_W_ReZipTip_New_adjusted_Rep1_25cm90min3s_msms28.raw	proteomic profiling by mass spectrometry	1	170707_RZ_HCC456_Tumor_W_ReZipTip_New_adjusted_Rep1_25cm90min3s_msms28.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=Trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	1	not available	not available	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable
170707_RZ_HCC456_Tumor_W_ReZipTip_New_adjusted_Rep2_25cm90min3s_msms29	Homo sapiens	liver	not available	26	study sample	tumor	tissue	170707_RZ_HCC456_Tumor_W_ReZipTip_New_adjusted_Rep2_25cm90min3s_msms29.raw	proteomic profiling by mass spectrometry	1	170707_RZ_HCC456_Tumor_W_ReZipTip_New_adjusted_Rep2_25cm90min3s_msms29.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=Trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	1	not available	not available	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable
170707_RZ_HCC456_Tumor_W_ReZipTip_New_adjusted_Rep3_25cm90min3s_msms30	Homo sapiens	liver	not available	26	study sample	tumor	tissue	170707_RZ_HCC456_Tumor_W_ReZipTip_New_adjusted_Rep3_25cm90min3s_msms30.raw	proteomic profiling by mass spectrometry	1	170707_RZ_HCC456_Tumor_W_ReZipTip_New_adjusted_Rep3_25cm90min3s_msms30.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=Trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	1	not available	not available	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable
170707_RZ_HCC456_Tumor_W_ReZipTip_New_adjusted_Rep5_25cm90min3s_msms32	Homo sapiens	liver	not available	26	study sample	tumor	tissue	170707_RZ_HCC456_Tumor_W_ReZipTip_New_adjusted_Rep5_25cm90min3s_msms32.raw	proteomic profiling by mass spectrometry	1	170707_RZ_HCC456_Tumor_W_ReZipTip_New_adjusted_Rep5_25cm90min3s_msms32.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=Trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	1	not available	not available	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable
170707_RZ_HCC458_Tumor_W_ReZipTip_New_adjusted_Rep1_25cm90min3s_msms34	Homo sapiens	liver	not available	27	study sample	tumor	tissue	170707_RZ_HCC458_Tumor_W_ReZipTip_New_adjusted_Rep1_25cm90min3s_msms34.raw	proteomic profiling by mass spectrometry	1	170707_RZ_HCC458_Tumor_W_ReZipTip_New_adjusted_Rep1_25cm90min3s_msms34.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=Trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	1	not available	not available	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable
170707_RZ_HCC458_Tumor_W_ReZipTip_New_adjusted_Rep2_25cm90min3s_msms35	Homo sapiens	liver	not available	27	study sample	tumor	tissue	170707_RZ_HCC458_Tumor_W_ReZipTip_New_adjusted_Rep2_25cm90min3s_msms35.raw	proteomic profiling by mass spectrometry	1	170707_RZ_HCC458_Tumor_W_ReZipTip_New_adjusted_Rep2_25cm90min3s_msms35.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=Trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	1	not available	not available	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable
170707_RZ_HCC458_Tumor_W_ReZipTip_New_adjusted_Rep3_25cm90min3s_msms36	Homo sapiens	liver	not available	27	study sample	tumor	tissue	170707_RZ_HCC458_Tumor_W_ReZipTip_New_adjusted_Rep3_25cm90min3s_msms36.raw	proteomic profiling by mass spectrometry	1	170707_RZ_HCC458_Tumor_W_ReZipTip_New_adjusted_Rep3_25cm90min3s_msms36.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=Trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	1	not available	not available	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable
170707_RZ_HCC459_Tumor_W_ReZipTip_New_adjusted_Rep2_25cm90min3s_msms41	Homo sapiens	liver	not available	28	study sample	tumor	tissue	170707_RZ_HCC459_Tumor_W_ReZipTip_New_adjusted_Rep2_25cm90min3s_msms41.raw	proteomic profiling by mass spectrometry	1	170707_RZ_HCC459_Tumor_W_ReZipTip_New_adjusted_Rep2_25cm90min3s_msms41.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=Trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	1	not available	not available	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable
170710_RZ_HCC451_Tumor_W_New_adjusted_Rep3_25cm90min3s_msms3	Homo sapiens	liver	not available	20	study sample	tumor	tissue	170710_RZ_HCC451_Tumor_W_New_adjusted_Rep3_25cm90min3s_msms3.raw	proteomic profiling by mass spectrometry	1	170710_RZ_HCC451_Tumor_W_New_adjusted_Rep3_25cm90min3s_msms3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=Trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	1	not available	not available	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable
170710_RZ_HCC451_Tumor_W_New_adjusted_Rep4_25cm90min3s_msms4	Homo sapiens	liver	not available	20	study sample	tumor	tissue	170710_RZ_HCC451_Tumor_W_New_adjusted_Rep4_25cm90min3s_msms4.raw	proteomic profiling by mass spectrometry	1	170710_RZ_HCC451_Tumor_W_New_adjusted_Rep4_25cm90min3s_msms4.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=Trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	1	not available	not available	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable
170710_RZ_HCC457_Tumor_W_New_adjusted_Rep1_25cm90min3s_msms7	Homo sapiens	liver	not available	29	study sample	tumor	tissue	170710_RZ_HCC457_Tumor_W_New_adjusted_Rep1_25cm90min3s_msms7.raw	proteomic profiling by mass spectrometry	1	170710_RZ_HCC457_Tumor_W_New_adjusted_Rep1_25cm90min3s_msms7.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=Trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	1	not available	not available	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable
170710_RZ_HCC457_Tumor_W_New_adjusted_Rep5_25cm90min3s_msms11	Homo sapiens	liver	not available	29	study sample	tumor	tissue	170710_RZ_HCC457_Tumor_W_New_adjusted_Rep5_25cm90min3s_msms11.raw	proteomic profiling by mass spectrometry	1	170710_RZ_HCC457_Tumor_W_New_adjusted_Rep5_25cm90min3s_msms11.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=Trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	1	not available	not available	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable
180130_LM_HCC38_Benign_W6-32_Adjusted_Rep1new_25cm90min3s_msms43	Homo sapiens	liver	not available	30	study sample	benign/non-tumor	tissue	180130_LM_HCC38_Benign_W6-32_Adjusted_Rep1new_25cm90min3s_msms43.raw	proteomic profiling by mass spectrometry	1	180130_LM_HCC38_Benign_W6-32_Adjusted_Rep1new_25cm90min3s_msms43.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=Trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	1	not available	not available	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable
