source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[biological replicate]	characteristics[sample type]	characteristics[disease]	characteristics[material type]	characteristics[age]	characteristics[sex]	characteristics[cell line]	characteristics[cellosaurus accession]	characteristics[cellosaurus name]	characteristics[chemical compound]	assay name	technology type	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]	comment[sdrf annotation tool]	comment[proteomics data acquisition method]	comment[instrument]	comment[cleavage agent details]	comment[label]	comment[fraction identifier]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	factor value[chemical compound]
Sample 11	Homo sapiens	peripheral blood	dendritic cell	2	study sample	acute myeloid leukemia	cell line	29Y	male	MUTZ-3	CVCL_1433	MUTZ-3	POEA	180709__Tim_Sample_11_15k_2um_New_15cmcolumn_80min_01	proteomic profiling by mass spectrometry	1	180709__Tim_Sample_11_15k_2um_New_15cmcolumn_80min_01.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF-X;AC=MS:1002877	NT=Trypsin;AC=MS:1001251	label free sample	1	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	POEA
Sample 12	Homo sapiens	peripheral blood	dendritic cell	2	study sample	acute myeloid leukemia	cell line	29Y	male	MUTZ-3	CVCL_1433	MUTZ-3	PPD	180706__Tim_Sample_12_15k_2um_New_15cmcolumn_80min_01	proteomic profiling by mass spectrometry	1	180706__Tim_Sample_12_15k_2um_New_15cmcolumn_80min_01.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF-X;AC=MS:1002877	NT=Trypsin;AC=MS:1001251	label free sample	1	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	PPD
Sample 13	Homo sapiens	peripheral blood	dendritic cell	2	study sample	acute myeloid leukemia	cell line	29Y	male	MUTZ-3	CVCL_1433	MUTZ-3	DMSO	180705__Tim_Sample_13_15k_2um_New_15cmcolumn_80min_01	proteomic profiling by mass spectrometry	1	180705__Tim_Sample_13_15k_2um_New_15cmcolumn_80min_01.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF-X;AC=MS:1002877	NT=Trypsin;AC=MS:1001251	label free sample	1	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	DMSO
Sample 14	Homo sapiens	peripheral blood	dendritic cell	2	study sample	acute myeloid leukemia	cell line	29Y	male	MUTZ-3	CVCL_1433	MUTZ-3	Water	180705__Tim_Sample_14_15k_2um_New_15cmcolumn_80min_01	proteomic profiling by mass spectrometry	1	180705__Tim_Sample_14_15k_2um_New_15cmcolumn_80min_01.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF-X;AC=MS:1002877	NT=Trypsin;AC=MS:1001251	label free sample	1	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	Water
Sample 15	Homo sapiens	peripheral blood	dendritic cell	3	study sample	acute myeloid leukemia	cell line	29Y	male	MUTZ-3	CVCL_1433	MUTZ-3	Glyphosate	180709__Tim_Sample_15_15k_2um_New_15cmcolumn_80min_01	proteomic profiling by mass spectrometry	1	180709__Tim_Sample_15_15k_2um_New_15cmcolumn_80min_01.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF-X;AC=MS:1002877	NT=Trypsin;AC=MS:1001251	label free sample	1	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	Glyphosate
Sample 16	Homo sapiens	peripheral blood	dendritic cell	3	study sample	acute myeloid leukemia	cell line	29Y	male	MUTZ-3	CVCL_1433	MUTZ-3	jablo	180706__Tim_Sample_16_15k_2um_New_15cmcolumn_80min_01	proteomic profiling by mass spectrometry	1	180706__Tim_Sample_16_15k_2um_New_15cmcolumn_80min_01.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF-X;AC=MS:1002877	NT=Trypsin;AC=MS:1001251	label free sample	1	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	jablo
Sample 17	Homo sapiens	peripheral blood	dendritic cell	3	study sample	acute myeloid leukemia	cell line	29Y	male	MUTZ-3	CVCL_1433	MUTZ-3	flex	180706__Tim_Sample_17_15k_2um_New_15cmcolumn_80min_01	proteomic profiling by mass spectrometry	1	180706__Tim_Sample_17_15k_2um_New_15cmcolumn_80min_01.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF-X;AC=MS:1002877	NT=Trypsin;AC=MS:1001251	label free sample	1	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	flex
Sample 18	Homo sapiens	peripheral blood	dendritic cell	3	study sample	acute myeloid leukemia	cell line	29Y	male	MUTZ-3	CVCL_1433	MUTZ-3	POEA	180709__Tim_Sample_18_15k_2um_New_15cmcolumn_80min_01	proteomic profiling by mass spectrometry	1	180709__Tim_Sample_18_15k_2um_New_15cmcolumn_80min_01.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF-X;AC=MS:1002877	NT=Trypsin;AC=MS:1001251	label free sample	1	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	POEA
Sample 19	Homo sapiens	peripheral blood	dendritic cell	3	study sample	acute myeloid leukemia	cell line	29Y	male	MUTZ-3	CVCL_1433	MUTZ-3	PPD	180709__Tim_Sample_19_15k_2um_New_15cmcolumn_80min_01	proteomic profiling by mass spectrometry	1	180709__Tim_Sample_19_15k_2um_New_15cmcolumn_80min_01.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF-X;AC=MS:1002877	NT=Trypsin;AC=MS:1001251	label free sample	1	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	PPD
Sample 20	Homo sapiens	peripheral blood	dendritic cell	3	study sample	acute myeloid leukemia	cell line	29Y	male	MUTZ-3	CVCL_1433	MUTZ-3	DMSO	180705__Tim_Sample_20_15k_2um_New_15cmcolumn_80min_01	proteomic profiling by mass spectrometry	1	180705__Tim_Sample_20_15k_2um_New_15cmcolumn_80min_01.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF-X;AC=MS:1002877	NT=Trypsin;AC=MS:1001251	label free sample	1	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	DMSO
Sample 21	Homo sapiens	peripheral blood	dendritic cell	3	study sample	acute myeloid leukemia	cell line	29Y	male	MUTZ-3	CVCL_1433	MUTZ-3	Water	180709__Tim_Sample_21_15k_2um_New_15cmcolumn_80min_01	proteomic profiling by mass spectrometry	1	180709__Tim_Sample_21_15k_2um_New_15cmcolumn_80min_01.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF-X;AC=MS:1002877	NT=Trypsin;AC=MS:1001251	label free sample	1	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	Water
