source name	characteristics[organism]	characteristics[organism part]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[instrument]	comment[label]	comment[cleavage agent details]	comment[cleavage agent details]	comment[modification parameters]	comment[modification parameters]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf template]	factor value[submitted culture condition]
Synechocystis PCC 6803 culture co2-0p15 replicate 1	Synechocystis sp. PCC 6803 substr. GT-S	photosynthetic cell	1	20180112_co2-0p15_r1_GC2_01_5489	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=maXis;AC=MS:1001541	NT=label free sample;AC=MS:1002038	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	1	1	20180112_co2-0p15_r1_GC2_01_5489.mzML	v1.1.0	NT=ms-proteomics;VV=v1.1.0	co2-0p15
Synechocystis PCC 6803 culture Cyano-200 replicate 4	Synechocystis sp. PCC 6803 substr. GT-S	photosynthetic cell	4	20170419_GM_Cyano_200_R4_BB4_01_2478	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=maXis;AC=MS:1001541	NT=label free sample;AC=MS:1002038	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	1	1	20170419_GM_Cyano_200_R4_BB4_01_2478.mzML	v1.1.0	NT=ms-proteomics;VV=v1.1.0	Cyano-200
Synechocystis PCC 6803 culture co2-0p30 replicate 2	Synechocystis sp. PCC 6803 substr. GT-S	photosynthetic cell	2	20180112_co2-0p30_r2_GB3_01_5480	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=maXis;AC=MS:1001541	NT=label free sample;AC=MS:1002038	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	1	1	20180112_co2-0p30_r2_GB3_01_5480.mzML	v1.1.0	NT=ms-proteomics;VV=v1.1.0	co2-0p30
Synechocystis PCC 6803 culture co2-0p30 replicate 3	Synechocystis sp. PCC 6803 substr. GT-S	photosynthetic cell	3	20180112_co2-0p30_r3_GB4_01_5481	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=maXis;AC=MS:1001541	NT=label free sample;AC=MS:1002038	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	1	1	20180112_co2-0p30_r3_GB4_01_5481.mzML	v1.1.0	NT=ms-proteomics;VV=v1.1.0	co2-0p30
Synechocystis PCC 6803 culture co2-0p15 replicate 2	Synechocystis sp. PCC 6803 substr. GT-S	photosynthetic cell	2	20180112_co2-0p15_r2_GC3_01_5490	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=maXis;AC=MS:1001541	NT=label free sample;AC=MS:1002038	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	1	1	20180112_co2-0p15_r2_GC3_01_5490.mzML	v1.1.0	NT=ms-proteomics;VV=v1.1.0	co2-0p15
Synechocystis PCC 6803 culture Cyano-200 replicate 3	Synechocystis sp. PCC 6803 substr. GT-S	photosynthetic cell	3	20170419_GM_Cyano_200_R3_BB3_01_2477	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=maXis;AC=MS:1001541	NT=label free sample;AC=MS:1002038	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	1	1	20170419_GM_Cyano_200_R3_BB3_01_2477.mzML	v1.1.0	NT=ms-proteomics;VV=v1.1.0	Cyano-200
Synechocystis PCC 6803 culture Cyano-100 replicate 4	Synechocystis sp. PCC 6803 substr. GT-S	photosynthetic cell	4	20170419_GM_Cyano_100_R4_BA8_01_2473	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=maXis;AC=MS:1001541	NT=label free sample;AC=MS:1002038	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	1	1	20170419_GM_Cyano_100_R4_BA8_01_2473.mzML	v1.1.0	NT=ms-proteomics;VV=v1.1.0	Cyano-100
Synechocystis PCC 6803 culture 60dcmu replicate 4	Synechocystis sp. PCC 6803 substr. GT-S	photosynthetic cell	4	FE_60dcmu_r4_GD4_01_3282	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=maXis;AC=MS:1001541	NT=label free sample;AC=MS:1002038	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	1	1	FE_60dcmu_r4_GD4_01_3282.mzML	v1.1.0	NT=ms-proteomics;VV=v1.1.0	60dcmu
Synechocystis PCC 6803 culture 300glc replicate 4	Synechocystis sp. PCC 6803 substr. GT-S	photosynthetic cell	4	FE_300glc_r4_GE4_01_3292	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=maXis;AC=MS:1001541	NT=label free sample;AC=MS:1002038	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	1	1	FE_300glc_r4_GE4_01_3292.mzML	v1.1.0	NT=ms-proteomics;VV=v1.1.0	300glc
Synechocystis PCC 6803 culture co2-1p00 replicate 2	Synechocystis sp. PCC 6803 substr. GT-S	photosynthetic cell	2	20180112_co2-1p00_r2_GA3_01_5470	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=maXis;AC=MS:1001541	NT=label free sample;AC=MS:1002038	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	1	1	20180112_co2-1p00_r2_GA3_01_5470.mzML	v1.1.0	NT=ms-proteomics;VV=v1.1.0	co2-1p00
Synechocystis PCC 6803 culture Cyano-60 replicate 2	Synechocystis sp. PCC 6803 substr. GT-S	photosynthetic cell	2	20170419_GM_Cyano_60_R2_BA2_01_2466	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=maXis;AC=MS:1001541	NT=label free sample;AC=MS:1002038	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	1	1	20170419_GM_Cyano_60_R2_BA2_01_2466.mzML	v1.1.0	NT=ms-proteomics;VV=v1.1.0	Cyano-60
Synechocystis PCC 6803 culture 60dcmu replicate 1	Synechocystis sp. PCC 6803 substr. GT-S	photosynthetic cell	1	FE_60dcmu_r1_GD1_01_3276	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=maXis;AC=MS:1001541	NT=label free sample;AC=MS:1002038	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	1	1	FE_60dcmu_r1_GD1_01_3276.mzML	v1.1.0	NT=ms-proteomics;VV=v1.1.0	60dcmu
Synechocystis PCC 6803 culture Cyano-200 replicate 2	Synechocystis sp. PCC 6803 substr. GT-S	photosynthetic cell	2	20170419_GM_Cyano_200_R2_BB2_01_2476	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=maXis;AC=MS:1001541	NT=label free sample;AC=MS:1002038	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	1	1	20170419_GM_Cyano_200_R2_BB2_01_2476.mzML	v1.1.0	NT=ms-proteomics;VV=v1.1.0	Cyano-200
Synechocystis PCC 6803 culture Cyano-100 replicate 2	Synechocystis sp. PCC 6803 substr. GT-S	photosynthetic cell	2	20170419_GM_Cyano_100_R2_BA6_01_2471	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=maXis;AC=MS:1001541	NT=label free sample;AC=MS:1002038	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	1	1	20170419_GM_Cyano_100_R2_BA6_01_2471.mzML	v1.1.0	NT=ms-proteomics;VV=v1.1.0	Cyano-100
Synechocystis PCC 6803 culture Cyano-60 replicate 4	Synechocystis sp. PCC 6803 substr. GT-S	photosynthetic cell	4	20170419_GM_Cyano_60_R4_BA4_01_2468	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=maXis;AC=MS:1001541	NT=label free sample;AC=MS:1002038	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	1	1	20170419_GM_Cyano_60_R4_BA4_01_2468.mzML	v1.1.0	NT=ms-proteomics;VV=v1.1.0	Cyano-60
Synechocystis PCC 6803 culture 300-ja8 replicate 3	Synechocystis sp. PCC 6803 substr. GT-S	photosynthetic cell	3	20180112_300_ja8_r3_GD4_01_5501	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=maXis;AC=MS:1001541	NT=label free sample;AC=MS:1002038	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	1	1	20180112_300_ja8_r3_GD4_01_5501.mzML	v1.1.0	NT=ms-proteomics;VV=v1.1.0	300-ja8
Synechocystis PCC 6803 culture co2-0p15 replicate 3	Synechocystis sp. PCC 6803 substr. GT-S	photosynthetic cell	3	20180112_co2-0p15_r3_GC4_01_5491	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=maXis;AC=MS:1001541	NT=label free sample;AC=MS:1002038	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	1	1	20180112_co2-0p15_r3_GC4_01_5491.mzML	v1.1.0	NT=ms-proteomics;VV=v1.1.0	co2-0p15
Synechocystis PCC 6803 culture Cyano-1000 replicate 2	Synechocystis sp. PCC 6803 substr. GT-S	photosynthetic cell	2	20170419_GM_Cyano_1000_R2_BC2_01_2486	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=maXis;AC=MS:1001541	NT=label free sample;AC=MS:1002038	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	1	1	20170419_GM_Cyano_1000_R2_BC2_01_2486.mzML	v1.1.0	NT=ms-proteomics;VV=v1.1.0	Cyano-1000
Synechocystis PCC 6803 culture 300glc replicate 1	Synechocystis sp. PCC 6803 substr. GT-S	photosynthetic cell	1	FE_300glc_r1_GE1_01_3289	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=maXis;AC=MS:1001541	NT=label free sample;AC=MS:1002038	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	1	1	FE_300glc_r1_GE1_01_3289.mzML	v1.1.0	NT=ms-proteomics;VV=v1.1.0	300glc
