source name	characteristics[organism]	characteristics[organism part]	characteristics[biological replicate]	assay name	technology type	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf template]	comment[sdrf annotation tool]	comment[proteomics data acquisition method]	comment[instrument]	comment[cleavage agent details]	comment[label]	comment[fraction identifier]	comment[precursor mass tolerance]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	factor value[lon protease status]	factor value[time point]
Pseudomonas-aeruginosa-set1-GMKJAK_11	Pseudomonas aeruginosa	not applicable	3	20210618_GMKJAK_1_16__set1-TMT131C	proteomic profiling by mass spectrometry	1	20210618_GMKJAK_1_16__set1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	TMT131C	1	10 ppm	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=TMTpro;AC=UNIMOD:2016;TA=K;MT=Fixed	NT=TMTpro;AC=UNIMOD:2016;PP=Any N-term;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	EV	0 min
Pseudomonas-aeruginosa-set1-GMKJAK_12	Pseudomonas aeruginosa	not applicable	3	20210618_GMKJAK_1_16__set1-TMT132N	proteomic profiling by mass spectrometry	1	20210618_GMKJAK_1_16__set1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	TMT132N	1	10 ppm	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=TMTpro;AC=UNIMOD:2016;TA=K;MT=Fixed	NT=TMTpro;AC=UNIMOD:2016;PP=Any N-term;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	EV	30 min
Pseudomonas-aeruginosa-set1-GMKJAK_13	Pseudomonas aeruginosa	not applicable	3	20210618_GMKJAK_1_16__set1-TMT132C	proteomic profiling by mass spectrometry	1	20210618_GMKJAK_1_16__set1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	TMT132C	1	10 ppm	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=TMTpro;AC=UNIMOD:2016;TA=K;MT=Fixed	NT=TMTpro;AC=UNIMOD:2016;PP=Any N-term;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	EV	60 min
Pseudomonas-aeruginosa-set1-GMKJAK_14	Pseudomonas aeruginosa	not applicable	3	20210618_GMKJAK_1_16__set1-TMT133N	proteomic profiling by mass spectrometry	1	20210618_GMKJAK_1_16__set1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	TMT133N	1	10 ppm	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=TMTpro;AC=UNIMOD:2016;TA=K;MT=Fixed	NT=TMTpro;AC=UNIMOD:2016;PP=Any N-term;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	lonOE	0 min
Pseudomonas-aeruginosa-set1-GMKJAK_15	Pseudomonas aeruginosa	not applicable	3	20210618_GMKJAK_1_16__set1-TMT133C	proteomic profiling by mass spectrometry	1	20210618_GMKJAK_1_16__set1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	TMT133C	1	10 ppm	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=TMTpro;AC=UNIMOD:2016;TA=K;MT=Fixed	NT=TMTpro;AC=UNIMOD:2016;PP=Any N-term;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	lonOE	30 min
Pseudomonas-aeruginosa-set1-GMKJAK_16	Pseudomonas aeruginosa	not applicable	3	20210618_GMKJAK_1_16__set1-TMT134N	proteomic profiling by mass spectrometry	1	20210618_GMKJAK_1_16__set1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	TMT134N	1	10 ppm	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=TMTpro;AC=UNIMOD:2016;TA=K;MT=Fixed	NT=TMTpro;AC=UNIMOD:2016;PP=Any N-term;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	lonOE2	60 min
Pseudomonas-aeruginosa-set3-GMKJAK_01_126	Pseudomonas aeruginosa	not applicable	1	20240527_GMKJAK34-52_set3-TMT126	proteomic profiling by mass spectrometry	1	20240527_GMKJAK34-52_set3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	TMT126	1	10 ppm	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=TMTpro;AC=UNIMOD:2016;TA=K;MT=Fixed	NT=TMTpro;AC=UNIMOD:2016;PP=Any N-term;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	wt	0 min
Pseudomonas-aeruginosa-set3-GMKJAK_02_127N	Pseudomonas aeruginosa	not applicable	2	20240527_GMKJAK34-52_set3-TMT127N	proteomic profiling by mass spectrometry	1	20240527_GMKJAK34-52_set3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	TMT127N	1	10 ppm	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=TMTpro;AC=UNIMOD:2016;TA=K;MT=Fixed	NT=TMTpro;AC=UNIMOD:2016;PP=Any N-term;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	wt	0 min
Pseudomonas-aeruginosa-set3-GMKJAK_03_127C	Pseudomonas aeruginosa	not applicable	3	20240527_GMKJAK34-52_set3-TMT127C	proteomic profiling by mass spectrometry	1	20240527_GMKJAK34-52_set3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	TMT127C	1	10 ppm	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=TMTpro;AC=UNIMOD:2016;TA=K;MT=Fixed	NT=TMTpro;AC=UNIMOD:2016;PP=Any N-term;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	wt	0 min
Pseudomonas-aeruginosa-set3-GMKJAK_04_128N	Pseudomonas aeruginosa	not applicable	1	20240527_GMKJAK34-52_set3-TMT128N	proteomic profiling by mass spectrometry	1	20240527_GMKJAK34-52_set3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	TMT128N	1	10 ppm	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=TMTpro;AC=UNIMOD:2016;TA=K;MT=Fixed	NT=TMTpro;AC=UNIMOD:2016;PP=Any N-term;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	wt	30 min
Pseudomonas-aeruginosa-set3-GMKJAK_05_128C	Pseudomonas aeruginosa	not applicable	2	20240527_GMKJAK34-52_set3-TMT128C	proteomic profiling by mass spectrometry	1	20240527_GMKJAK34-52_set3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	TMT128C	1	10 ppm	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=TMTpro;AC=UNIMOD:2016;TA=K;MT=Fixed	NT=TMTpro;AC=UNIMOD:2016;PP=Any N-term;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	wt	30 min
Pseudomonas-aeruginosa-set3-GMKJAK_06_129N	Pseudomonas aeruginosa	not applicable	3	20240527_GMKJAK34-52_set3-TMT129N	proteomic profiling by mass spectrometry	1	20240527_GMKJAK34-52_set3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	TMT129N	1	10 ppm	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=TMTpro;AC=UNIMOD:2016;TA=K;MT=Fixed	NT=TMTpro;AC=UNIMOD:2016;PP=Any N-term;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	wt	30 min
Pseudomonas-aeruginosa-set3-GMKJAK_07_129C	Pseudomonas aeruginosa	not applicable	1	20240527_GMKJAK34-52_set3-TMT129C	proteomic profiling by mass spectrometry	1	20240527_GMKJAK34-52_set3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	TMT129C	1	10 ppm	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=TMTpro;AC=UNIMOD:2016;TA=K;MT=Fixed	NT=TMTpro;AC=UNIMOD:2016;PP=Any N-term;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	wt	60 min
Pseudomonas-aeruginosa-set3-GMKJAK_08_130N	Pseudomonas aeruginosa	not applicable	2	20240527_GMKJAK34-52_set3-TMT130N	proteomic profiling by mass spectrometry	1	20240527_GMKJAK34-52_set3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	TMT130N	1	10 ppm	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=TMTpro;AC=UNIMOD:2016;TA=K;MT=Fixed	NT=TMTpro;AC=UNIMOD:2016;PP=Any N-term;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	wt	60 min
Pseudomonas-aeruginosa-set3-GMKJAK_09_130C	Pseudomonas aeruginosa	not applicable	3	20240527_GMKJAK34-52_set3-TMT130C	proteomic profiling by mass spectrometry	1	20240527_GMKJAK34-52_set3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	TMT130C	1	10 ppm	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=TMTpro;AC=UNIMOD:2016;TA=K;MT=Fixed	NT=TMTpro;AC=UNIMOD:2016;PP=Any N-term;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	wt	60 min
Pseudomonas-aeruginosa-set3-GMKJAK_10_131N	Pseudomonas aeruginosa	not applicable	1	20240527_GMKJAK34-52_set3-TMT131N	proteomic profiling by mass spectrometry	1	20240527_GMKJAK34-52_set3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	TMT131N	1	10 ppm	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=TMTpro;AC=UNIMOD:2016;TA=K;MT=Fixed	NT=TMTpro;AC=UNIMOD:2016;PP=Any N-term;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	lon(-)	0 min
Pseudomonas-aeruginosa-set3-GMKJAK_11_131C	Pseudomonas aeruginosa	not applicable	2	20240527_GMKJAK34-52_set3-TMT131C	proteomic profiling by mass spectrometry	1	20240527_GMKJAK34-52_set3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	TMT131C	1	10 ppm	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=TMTpro;AC=UNIMOD:2016;TA=K;MT=Fixed	NT=TMTpro;AC=UNIMOD:2016;PP=Any N-term;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	lon(-)	0 min
Pseudomonas-aeruginosa-set3-GMKJAK_12_132N	Pseudomonas aeruginosa	not applicable	3	20240527_GMKJAK34-52_set3-TMT132N	proteomic profiling by mass spectrometry	1	20240527_GMKJAK34-52_set3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	TMT132N	1	10 ppm	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=TMTpro;AC=UNIMOD:2016;TA=K;MT=Fixed	NT=TMTpro;AC=UNIMOD:2016;PP=Any N-term;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	lon(-)	0 min
Pseudomonas-aeruginosa-set3-GMKJAK_13_132C	Pseudomonas aeruginosa	not applicable	1	20240527_GMKJAK34-52_set3-TMT132C	proteomic profiling by mass spectrometry	1	20240527_GMKJAK34-52_set3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	TMT132C	1	10 ppm	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=TMTpro;AC=UNIMOD:2016;TA=K;MT=Fixed	NT=TMTpro;AC=UNIMOD:2016;PP=Any N-term;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	lon(-)	30 min
Pseudomonas-aeruginosa-set3-GMKJAK_14_133N	Pseudomonas aeruginosa	not applicable	2	20240527_GMKJAK34-52_set3-TMT133N	proteomic profiling by mass spectrometry	1	20240527_GMKJAK34-52_set3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	TMT133N	1	10 ppm	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=TMTpro;AC=UNIMOD:2016;TA=K;MT=Fixed	NT=TMTpro;AC=UNIMOD:2016;PP=Any N-term;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	lon(-)	30 min
Pseudomonas-aeruginosa-set3-GMKJAK_15_133C	Pseudomonas aeruginosa	not applicable	3	20240527_GMKJAK34-52_set3-TMT133C	proteomic profiling by mass spectrometry	1	20240527_GMKJAK34-52_set3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	TMT133C	1	10 ppm	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=TMTpro;AC=UNIMOD:2016;TA=K;MT=Fixed	NT=TMTpro;AC=UNIMOD:2016;PP=Any N-term;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	lon(-)	30 min
Pseudomonas-aeruginosa-set3-GMKJAK_16_134N	Pseudomonas aeruginosa	not applicable	1	20240527_GMKJAK34-52_set3-TMT134N	proteomic profiling by mass spectrometry	1	20240527_GMKJAK34-52_set3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	TMT134N	1	10 ppm	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=TMTpro;AC=UNIMOD:2016;TA=K;MT=Fixed	NT=TMTpro;AC=UNIMOD:2016;PP=Any N-term;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	lon(-)	60 min
Pseudomonas-aeruginosa-set3-GMKJAK_17_134C	Pseudomonas aeruginosa	not applicable	2	20240527_GMKJAK34-52_set3-TMT134C	proteomic profiling by mass spectrometry	1	20240527_GMKJAK34-52_set3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	TMT134C	1	10 ppm	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=TMTpro;AC=UNIMOD:2016;TA=K;MT=Fixed	NT=TMTpro;AC=UNIMOD:2016;PP=Any N-term;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	lon(-)	60 min
Pseudomonas-aeruginosa-set3-GMKJAK_18_135N	Pseudomonas aeruginosa	not applicable	3	20240527_GMKJAK34-52_set3-TMT135N	proteomic profiling by mass spectrometry	1	20240527_GMKJAK34-52_set3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	TMT135N	1	10 ppm	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=TMTpro;AC=UNIMOD:2016;TA=K;MT=Fixed	NT=TMTpro;AC=UNIMOD:2016;PP=Any N-term;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	lon(-)	60 min
