source name	characteristics[organism]	characteristics[organism part]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[instrument]	comment[label]	comment[cleavage agent details]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf template]	factor value[submitted experiment]
GTPBP5 knockout/rescue submitted run	Homo sapiens	cell culture	1	200731_FS1_IA_JR_MC_KO_H_rescue_L_14	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion;AC=MS:1002416	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	14	1	200731_FS1_IA_JR_MC_KO_H_rescue_L_14.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	GTPBP5 knockout/rescue
GTPBP5 knockout/rescue submitted run	Homo sapiens	cell culture	1	200731_FS1_IA_JR_MC_KO_L_rescue_H_08_rep	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion;AC=MS:1002416	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	08	1	200731_FS1_IA_JR_MC_KO_L_rescue_H_08_rep.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	GTPBP5 knockout/rescue
GTPBP5 knockout/rescue submitted run	Homo sapiens	cell culture	1	200731_FS1_IA_JR_MC_KO_H_rescue_L_07	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion;AC=MS:1002416	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	07	1	200731_FS1_IA_JR_MC_KO_H_rescue_L_07.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	GTPBP5 knockout/rescue
GTPBP5 knockout/rescue submitted run	Homo sapiens	cell culture	1	200731_FS1_IA_JR_MC_KO_L_rescue_H_16	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion;AC=MS:1002416	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	16	1	200731_FS1_IA_JR_MC_KO_L_rescue_H_16.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	GTPBP5 knockout/rescue
GTPBP5 knockout/rescue submitted run	Homo sapiens	cell culture	1	200731_FS1_IA_JR_MC_KO_L_rescue_H_07_rep	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion;AC=MS:1002416	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	07	1	200731_FS1_IA_JR_MC_KO_L_rescue_H_07_rep.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	GTPBP5 knockout/rescue
GTPBP5 knockout/rescue submitted run	Homo sapiens	cell culture	1	200731_FS1_IA_JR_MC_KO_H_rescue_L_03_04	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion;AC=MS:1002416	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	04	1	200731_FS1_IA_JR_MC_KO_H_rescue_L_03_04.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	GTPBP5 knockout/rescue
GTPBP5 knockout/rescue submitted run	Homo sapiens	cell culture	1	200731_FS1_IA_JR_MC_KO_H_rescue_L_05_rep	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion;AC=MS:1002416	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	05	1	200731_FS1_IA_JR_MC_KO_H_rescue_L_05_rep.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	GTPBP5 knockout/rescue
GTPBP5 knockout/rescue submitted run	Homo sapiens	cell culture	1	200731_FS1_IA_JR_MC_KO_L_rescue_H_17	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion;AC=MS:1002416	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	17	1	200731_FS1_IA_JR_MC_KO_L_rescue_H_17.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	GTPBP5 knockout/rescue
GTPBP5 knockout/rescue submitted run	Homo sapiens	cell culture	1	200731_FS1_IA_JR_MC_KO_L_rescue_H_17_rep	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion;AC=MS:1002416	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	17	1	200731_FS1_IA_JR_MC_KO_L_rescue_H_17_rep.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	GTPBP5 knockout/rescue
GTPBP5 knockout/rescue submitted run	Homo sapiens	cell culture	1	200731_FS1_IA_JR_MC_KO_L_rescue_H_09	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion;AC=MS:1002416	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	09	1	200731_FS1_IA_JR_MC_KO_L_rescue_H_09.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	GTPBP5 knockout/rescue
GTPBP5 knockout/rescue submitted run	Homo sapiens	cell culture	1	200731_FS1_IA_JR_MC_KO_H_rescue_L_17_rep	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion;AC=MS:1002416	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	17	1	200731_FS1_IA_JR_MC_KO_H_rescue_L_17_rep.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	GTPBP5 knockout/rescue
GTPBP5 knockout/rescue submitted run	Homo sapiens	cell culture	1	200731_FS1_IA_JR_MC_KO_L_rescue_H_15	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion;AC=MS:1002416	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	15	1	200731_FS1_IA_JR_MC_KO_L_rescue_H_15.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	GTPBP5 knockout/rescue
GTPBP5 knockout/rescue submitted run	Homo sapiens	cell culture	1	200731_FS1_IA_JR_MC_KO_L_rescue_H_05	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion;AC=MS:1002416	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	05	1	200731_FS1_IA_JR_MC_KO_L_rescue_H_05.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	GTPBP5 knockout/rescue
control submitted run	Homo sapiens	cell culture	1	180507_QE_Li_Jakob290_Ctrl02_180508205047	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion;AC=MS:1002416	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	180508205047	1	180507_QE_Li_Jakob290_Ctrl02_180508205047.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	control
GTPBP5 knockout/rescue submitted run	Homo sapiens	cell culture	1	200731_FS1_IA_JR_MC_KO_H_rescue_L_13	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion;AC=MS:1002416	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	13	1	200731_FS1_IA_JR_MC_KO_H_rescue_L_13.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	GTPBP5 knockout/rescue
GTPBP5 knockout/rescue submitted run	Homo sapiens	cell culture	1	200731_FS1_IA_JR_MC_KO_L_rescue_H_10	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion;AC=MS:1002416	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	10	1	200731_FS1_IA_JR_MC_KO_L_rescue_H_10.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	GTPBP5 knockout/rescue
GTPBP5 knockout/rescue submitted run	Homo sapiens	cell culture	1	200731_FS1_IA_JR_MC_KO_L_rescue_H_16_rep	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion;AC=MS:1002416	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	16	1	200731_FS1_IA_JR_MC_KO_L_rescue_H_16_rep.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	GTPBP5 knockout/rescue
GTPBP5 knockout/rescue submitted run	Homo sapiens	cell culture	1	200731_FS1_IA_JR_MC_KO_H_rescue_L_16	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion;AC=MS:1002416	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	16	1	200731_FS1_IA_JR_MC_KO_H_rescue_L_16.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	GTPBP5 knockout/rescue
GTPBP5 knockout/rescue submitted run	Homo sapiens	cell culture	1	200731_FS1_IA_JR_MC_KO_H_rescue_L_06_rep	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion;AC=MS:1002416	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	06	1	200731_FS1_IA_JR_MC_KO_H_rescue_L_06_rep.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	GTPBP5 knockout/rescue
GTPBP5 knockout/rescue submitted run	Homo sapiens	cell culture	1	200731_FS1_IA_JR_MC_KO_L_rescue_H_14	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion;AC=MS:1002416	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	14	1	200731_FS1_IA_JR_MC_KO_L_rescue_H_14.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	GTPBP5 knockout/rescue
GTPBP5 knockout/rescue submitted run	Homo sapiens	cell culture	1	200731_FS1_IA_JR_MC_KO_H_rescue_L_12	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion;AC=MS:1002416	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	12	1	200731_FS1_IA_JR_MC_KO_H_rescue_L_12.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	GTPBP5 knockout/rescue
GTPBP5 submitted run	Homo sapiens	cell culture	1	180507_QE_Li_Jakob290_GTPBP5_E3	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion;AC=MS:1002416	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	1	1	180507_QE_Li_Jakob290_GTPBP5_E3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	GTPBP5
GTPBP5 knockout/rescue submitted run	Homo sapiens	cell culture	1	200731_FS1_IA_JR_MC_KO_H_rescue_L_15	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion;AC=MS:1002416	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	15	1	200731_FS1_IA_JR_MC_KO_H_rescue_L_15.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	GTPBP5 knockout/rescue
GTPBP5 knockout/rescue submitted run	Homo sapiens	cell culture	1	200731_FS1_IA_JR_MC_KO_L_rescue_H_06_rep	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion;AC=MS:1002416	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	06	1	200731_FS1_IA_JR_MC_KO_L_rescue_H_06_rep.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	GTPBP5 knockout/rescue
GTPBP5 knockout/rescue submitted run	Homo sapiens	cell culture	1	200731_FS1_IA_JR_MC_KO_H_rescue_L_08_rep	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion;AC=MS:1002416	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	08	1	200731_FS1_IA_JR_MC_KO_H_rescue_L_08_rep.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	GTPBP5 knockout/rescue
GTPBP5 knockout/rescue submitted run	Homo sapiens	cell culture	1	200731_FS1_IA_JR_MC_KO_H_rescue_L_14_rep	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion;AC=MS:1002416	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	14	1	200731_FS1_IA_JR_MC_KO_H_rescue_L_14_rep.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	GTPBP5 knockout/rescue
GTPBP5 knockout/rescue submitted run	Homo sapiens	cell culture	1	200731_FS1_IA_JR_MC_KO_L_rescue_H_13_rep	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion;AC=MS:1002416	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	13	1	200731_FS1_IA_JR_MC_KO_L_rescue_H_13_rep.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	GTPBP5 knockout/rescue
GTPBP5 knockout/rescue submitted run	Homo sapiens	cell culture	1	200731_FS1_IA_JR_MC_KO_H_rescue_L_11_rep	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion;AC=MS:1002416	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	11	1	200731_FS1_IA_JR_MC_KO_H_rescue_L_11_rep.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	GTPBP5 knockout/rescue
GTPBP5 knockout/rescue submitted run	Homo sapiens	cell culture	1	200731_FS1_IA_JR_MC_KO_L_rescue_H_10_rep	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion;AC=MS:1002416	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	10	1	200731_FS1_IA_JR_MC_KO_L_rescue_H_10_rep.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	GTPBP5 knockout/rescue
GTPBP5 knockout/rescue submitted run	Homo sapiens	cell culture	1	200731_FS1_IA_JR_MC_KO_L_rescue_H_09_rep	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion;AC=MS:1002416	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	09	1	200731_FS1_IA_JR_MC_KO_L_rescue_H_09_rep.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	GTPBP5 knockout/rescue
GTPBP5 knockout/rescue submitted run	Homo sapiens	cell culture	1	200731_FS1_IA_JR_MC_KO_H_rescue_L_17	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion;AC=MS:1002416	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	17	1	200731_FS1_IA_JR_MC_KO_H_rescue_L_17.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	GTPBP5 knockout/rescue
GTPBP5 knockout/rescue submitted run	Homo sapiens	cell culture	1	200731_FS1_IA_JR_MC_KO_L_rescue_H_11	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion;AC=MS:1002416	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	11	1	200731_FS1_IA_JR_MC_KO_L_rescue_H_11.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	GTPBP5 knockout/rescue
GTPBP5 knockout/rescue submitted run	Homo sapiens	cell culture	1	200731_FS1_IA_JR_MC_KO_H_rescue_L_11	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion;AC=MS:1002416	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	11	1	200731_FS1_IA_JR_MC_KO_H_rescue_L_11.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	GTPBP5 knockout/rescue
GTPBP5 knockout/rescue submitted run	Homo sapiens	cell culture	1	200731_FS1_IA_JR_MC_KO_H_rescue_L_10_rep	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion;AC=MS:1002416	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	10	1	200731_FS1_IA_JR_MC_KO_H_rescue_L_10_rep.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	GTPBP5 knockout/rescue
GTPBP5 knockout/rescue submitted run	Homo sapiens	cell culture	1	200731_FS1_IA_JR_MC_KO_H_rescue_L_01_02	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion;AC=MS:1002416	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	02	1	200731_FS1_IA_JR_MC_KO_H_rescue_L_01_02.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	GTPBP5 knockout/rescue
GTPBP5 knockout/rescue submitted run	Homo sapiens	cell culture	1	200731_FS1_IA_JR_MC_KO_H_rescue_L_16_rep	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion;AC=MS:1002416	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	16	1	200731_FS1_IA_JR_MC_KO_H_rescue_L_16_rep.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	GTPBP5 knockout/rescue
GTPBP5 knockout/rescue submitted run	Homo sapiens	cell culture	1	200731_FS1_IA_JR_MC_KO_L_rescue_H_08	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion;AC=MS:1002416	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	08	1	200731_FS1_IA_JR_MC_KO_L_rescue_H_08.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	GTPBP5 knockout/rescue
GTPBP5 knockout/rescue submitted run	Homo sapiens	cell culture	1	200731_FS1_IA_JR_MC_KO_L_rescue_H_15_rep	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion;AC=MS:1002416	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	15	1	200731_FS1_IA_JR_MC_KO_L_rescue_H_15_rep.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	GTPBP5 knockout/rescue
GTPBP5 knockout/rescue submitted run	Homo sapiens	cell culture	1	200731_FS1_IA_JR_MC_KO_L_rescue_H_11_rep	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion;AC=MS:1002416	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	11	1	200731_FS1_IA_JR_MC_KO_L_rescue_H_11_rep.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	GTPBP5 knockout/rescue
GTPBP5 knockout/rescue submitted run	Homo sapiens	cell culture	1	200731_FS1_IA_JR_MC_KO_H_rescue_L_05	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion;AC=MS:1002416	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	05	1	200731_FS1_IA_JR_MC_KO_H_rescue_L_05.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	GTPBP5 knockout/rescue
control submitted run	Homo sapiens	cell culture	1	180507_QE_Li_Jakob290_Ctrl01_180508190438	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion;AC=MS:1002416	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	180508190438	1	180507_QE_Li_Jakob290_Ctrl01_180508190438.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	control
