source name	characteristics[organism]	characteristics[organism part]	characteristics[disease]	characteristics[age]	characteristics[sex]	characteristics[cell line]	characteristics[sample type]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[instrument]	comment[label]	comment[cleavage agent details]	comment[modification parameters]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	factor value[antibody]	factor value[cell line]	factor value[molecular weight]
ERbeta-17-2013-12-03	Homo sapiens	cell culture	not applicable	not available	not available	HCT116erb	immunoprecipitated protein gel band	1	ERbeta-17-2013-12-03	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ Orbitrap Velos Pro ETD;AC=MS:1001742	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	1	1	ERbeta-17-2013-12-03.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	PPG5	HCT116erb	50-80 kDa
ERbeta-18-2013-12-03	Homo sapiens	cell culture	not applicable	not available	not available	T47D mock	immunoprecipitated protein gel band	1	ERbeta-18-2013-12-03	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ Orbitrap Velos Pro ETD;AC=MS:1001742	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	1	1	ERbeta-18-2013-12-03.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	PPG5	T47D mock	50-80 kDa
ERbeta-20-2013-12-03	Homo sapiens	cell culture	not applicable	not available	not available	HCT116erb	immunoprecipitated protein gel band	1	ERbeta-20-2013-12-03	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ Orbitrap Velos Pro ETD;AC=MS:1001742	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	1	1	ERbeta-20-2013-12-03.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	PPG5	HCT116erb	80-110 kDa
ERbeta-21-2013-12-03	Homo sapiens	cell culture	not applicable	not available	not available	T47D mock	immunoprecipitated protein gel band	1	ERbeta-21-2013-12-03	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ Orbitrap Velos Pro ETD;AC=MS:1001742	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	1	1	ERbeta-21-2013-12-03.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	PPG5	T47D mock	80-110 kDa
ERbeta-23-2013-12-03	Homo sapiens	cell culture	not applicable	not available	not available	HCT116erb	immunoprecipitated protein gel band	1	ERbeta-23-2013-12-03	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ Orbitrap Velos Pro ETD;AC=MS:1001742	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	1	1	ERbeta-23-2013-12-03.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	PPG5	HCT116erb	120-135 kDa
ERbeta-24-2013-12-03	Homo sapiens	cell culture	not applicable	not available	not available	T47D mock	immunoprecipitated protein gel band	1	ERbeta-24-2013-12-03	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ Orbitrap Velos Pro ETD;AC=MS:1001742	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	1	1	ERbeta-24-2013-12-03.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	PPG5	T47D mock	120-135 kDa
ERbeta-26-2013-12-03	Homo sapiens	cell culture	not applicable	not available	not available	HCT116erb	immunoprecipitated protein gel band	1	ERbeta-26-2013-12-03	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ Orbitrap Velos Pro ETD;AC=MS:1001742	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	1	1	ERbeta-26-2013-12-03.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	PPG5	HCT116erb	20-25 kDa
ERbeta-27-2013-12-03	Homo sapiens	cell culture	not applicable	not available	not available	T47D mock	immunoprecipitated protein gel band	1	ERbeta-27-2013-12-03	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ Orbitrap Velos Pro ETD;AC=MS:1001742	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	1	1	ERbeta-27-2013-12-03.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	PPG5	T47D mock	20-25 kDa
ERbeta32014-03-27	Homo sapiens	cell culture	not applicable	not available	not available	HCT116erb	immunoprecipitated protein gel band	2	ERbeta32014-03-27	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ Orbitrap Velos Pro ETD;AC=MS:1001742	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	1	1	ERbeta32014-03-27.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	PPZ0506	HCT116erb	50-80 kDa
ERbeta42014-03-27	Homo sapiens	cell culture	not applicable	not available	not available	T47D mock	immunoprecipitated protein gel band	2	ERbeta42014-03-27	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ Orbitrap Velos Pro ETD;AC=MS:1001742	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	1	1	ERbeta42014-03-27.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	PPZ0506	T47D mock	50-80 kDa
ERbeta52014-03-27	Homo sapiens	cell culture	not applicable	not available	not available	HCT116erb	immunoprecipitated protein gel band	2	ERbeta52014-03-27	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ Orbitrap Velos Pro ETD;AC=MS:1001742	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	1	1	ERbeta52014-03-27.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	14C8	HCT116erb	50-80 kDa
ERbeta62014-03-27	Homo sapiens	cell culture	not applicable	not available	not available	T47D mock	immunoprecipitated protein gel band	2	ERbeta62014-03-27	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ Orbitrap Velos Pro ETD;AC=MS:1001742	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	1	1	ERbeta62014-03-27.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	14C8	T47D mock	50-80 kDa
Erbeta72014-03-27	Homo sapiens	cell culture	not applicable	not available	not available	HCT116erb	immunoprecipitated protein gel band	2	Erbeta72014-03-27	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ Orbitrap Velos Pro ETD;AC=MS:1001742	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	1	1	Erbeta72014-03-27.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	PPG5	HCT116erb	50-80 kDa
Erbeta82014-03-27	Homo sapiens	cell culture	not applicable	not available	not available	T47D mock	immunoprecipitated protein gel band	2	Erbeta82014-03-27	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ Orbitrap Velos Pro ETD;AC=MS:1001742	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	1	1	Erbeta82014-03-27.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	PPG5	T47D mock	50-80 kDa
