source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[biological replicate]	characteristics[pooled sample]	characteristics[sample type]	characteristics[disease]	characteristics[sample matrix]	characteristics[ancestry category]	characteristics[age]	characteristics[sex]	characteristics[developmental stage]	characteristics[individual]	assay name	technology type	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf annotation tool]	comment[platform]	comment[instrument]	comment[panel name]	comment[quantification unit]	comment[plate]	comment[normalization method]	comment[lot number]	comment[file uri]
PAD000028-SAMPLE_11	Homo sapiens	blood plasma	not applicable	11	not pooled	study sample	not available	blood plasma	not available	not available	not available	neonate	SAMPLE_11	PAD000028-r00011-SAMPLE_11	protein expression profiling by antibody array	1	Rawdataparent.npx.csv	v1.1.0	NT=affinity-proteomics;VV=v1.0.0	NT=human;VV=v1.1.0	NT=sdrf-skills;VV=v0.0.0	Olink Target 96	NT=Olink Target 96;AC=PRIDE:0000655	Olink Target 96 Cardiovascular III	NPX	Target96	Intensity Normalized (v.3)	6115	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2026/09/PAD000028/Rawdataparent.npx.csv
PAD000028-SAMPLE_12	Homo sapiens	blood plasma	not applicable	12	not pooled	study sample	not available	blood plasma	not available	not available	not available	neonate	SAMPLE_12	PAD000028-r00012-SAMPLE_12	protein expression profiling by antibody array	1	Rawdataparent.npx.csv	v1.1.0	NT=affinity-proteomics;VV=v1.0.0	NT=human;VV=v1.1.0	NT=sdrf-skills;VV=v0.0.0	Olink Target 96	NT=Olink Target 96;AC=PRIDE:0000655	Olink Target 96 Cardiovascular III	NPX	Target96	Intensity Normalized (v.3)	6115	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2026/09/PAD000028/Rawdataparent.npx.csv
PAD000028-SAMPLE_13	Homo sapiens	blood plasma	not applicable	13	not pooled	study sample	not available	blood plasma	not available	not available	not available	neonate	SAMPLE_13	PAD000028-r00013-SAMPLE_13	protein expression profiling by antibody array	1	Rawdataparent.npx.csv	v1.1.0	NT=affinity-proteomics;VV=v1.0.0	NT=human;VV=v1.1.0	NT=sdrf-skills;VV=v0.0.0	Olink Target 96	NT=Olink Target 96;AC=PRIDE:0000655	Olink Target 96 Cardiovascular III	NPX	Target96	Intensity Normalized (v.3)	6115	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2026/09/PAD000028/Rawdataparent.npx.csv
PAD000028-SAMPLE_14	Homo sapiens	blood plasma	not applicable	14	not pooled	study sample	not available	blood plasma	not available	not available	not available	neonate	SAMPLE_14	PAD000028-r00014-SAMPLE_14	protein expression profiling by antibody array	1	Rawdataparent.npx.csv	v1.1.0	NT=affinity-proteomics;VV=v1.0.0	NT=human;VV=v1.1.0	NT=sdrf-skills;VV=v0.0.0	Olink Target 96	NT=Olink Target 96;AC=PRIDE:0000655	Olink Target 96 Cardiovascular III	NPX	Target96	Intensity Normalized (v.3)	6115	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2026/09/PAD000028/Rawdataparent.npx.csv
PAD000028-SAMPLE_15	Homo sapiens	blood plasma	not applicable	15	not pooled	study sample	not available	blood plasma	not available	not available	not available	neonate	SAMPLE_15	PAD000028-r00015-SAMPLE_15	protein expression profiling by antibody array	1	Rawdataparent.npx.csv	v1.1.0	NT=affinity-proteomics;VV=v1.0.0	NT=human;VV=v1.1.0	NT=sdrf-skills;VV=v0.0.0	Olink Target 96	NT=Olink Target 96;AC=PRIDE:0000655	Olink Target 96 Cardiovascular III	NPX	Target96	Intensity Normalized (v.3)	6115	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2026/09/PAD000028/Rawdataparent.npx.csv
PAD000028-SAMPLE_16	Homo sapiens	blood plasma	not applicable	16	not pooled	study sample	not available	blood plasma	not available	not available	not available	neonate	SAMPLE_16	PAD000028-r00016-SAMPLE_16	protein expression profiling by antibody array	1	Rawdataparent.npx.csv	v1.1.0	NT=affinity-proteomics;VV=v1.0.0	NT=human;VV=v1.1.0	NT=sdrf-skills;VV=v0.0.0	Olink Target 96	NT=Olink Target 96;AC=PRIDE:0000655	Olink Target 96 Cardiovascular III	NPX	Target96	Intensity Normalized (v.3)	6115	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2026/09/PAD000028/Rawdataparent.npx.csv
PAD000028-SAMPLE_17	Homo sapiens	blood plasma	not applicable	17	not pooled	study sample	not available	blood plasma	not available	not available	not available	neonate	SAMPLE_17	PAD000028-r00017-SAMPLE_17	protein expression profiling by antibody array	1	Rawdataparent.npx.csv	v1.1.0	NT=affinity-proteomics;VV=v1.0.0	NT=human;VV=v1.1.0	NT=sdrf-skills;VV=v0.0.0	Olink Target 96	NT=Olink Target 96;AC=PRIDE:0000655	Olink Target 96 Cardiovascular III	NPX	Target96	Intensity Normalized (v.3)	6115	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2026/09/PAD000028/Rawdataparent.npx.csv
PAD000028-SAMPLE_18	Homo sapiens	blood plasma	not applicable	18	not pooled	study sample	not available	blood plasma	not available	not available	not available	neonate	SAMPLE_18	PAD000028-r00018-SAMPLE_18	protein expression profiling by antibody array	1	Rawdataparent.npx.csv	v1.1.0	NT=affinity-proteomics;VV=v1.0.0	NT=human;VV=v1.1.0	NT=sdrf-skills;VV=v0.0.0	Olink Target 96	NT=Olink Target 96;AC=PRIDE:0000655	Olink Target 96 Cardiovascular III	NPX	Target96	Intensity Normalized (v.3)	6115	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2026/09/PAD000028/Rawdataparent.npx.csv
PAD000028-SAMPLE_19	Homo sapiens	blood plasma	not applicable	19	not pooled	study sample	not available	blood plasma	not available	not available	not available	neonate	SAMPLE_19	PAD000028-r00019-SAMPLE_19	protein expression profiling by antibody array	1	Rawdataparent.npx.csv	v1.1.0	NT=affinity-proteomics;VV=v1.0.0	NT=human;VV=v1.1.0	NT=sdrf-skills;VV=v0.0.0	Olink Target 96	NT=Olink Target 96;AC=PRIDE:0000655	Olink Target 96 Cardiovascular III	NPX	Target96	Intensity Normalized (v.3)	6115	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2026/09/PAD000028/Rawdataparent.npx.csv
PAD000028-SAMPLE_20	Homo sapiens	blood plasma	not applicable	20	not pooled	study sample	not available	blood plasma	not available	not available	not available	neonate	SAMPLE_20	PAD000028-r00020-SAMPLE_20	protein expression profiling by antibody array	1	Rawdataparent.npx.csv	v1.1.0	NT=affinity-proteomics;VV=v1.0.0	NT=human;VV=v1.1.0	NT=sdrf-skills;VV=v0.0.0	Olink Target 96	NT=Olink Target 96;AC=PRIDE:0000655	Olink Target 96 Cardiovascular III	NPX	Target96	Intensity Normalized (v.3)	6115	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2026/09/PAD000028/Rawdataparent.npx.csv
PAD000028-SAMPLE_21	Homo sapiens	blood plasma	not applicable	21	not pooled	study sample	not available	blood plasma	not available	not available	not available	neonate	SAMPLE_21	PAD000028-r00021-SAMPLE_21	protein expression profiling by antibody array	1	Rawdataparent.npx.csv	v1.1.0	NT=affinity-proteomics;VV=v1.0.0	NT=human;VV=v1.1.0	NT=sdrf-skills;VV=v0.0.0	Olink Target 96	NT=Olink Target 96;AC=PRIDE:0000655	Olink Target 96 Cardiovascular III	NPX	Target96	Intensity Normalized (v.3)	6115	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2026/09/PAD000028/Rawdataparent.npx.csv
PAD000028-SAMPLE_22	Homo sapiens	blood plasma	not applicable	22	not pooled	study sample	not available	blood plasma	not available	not available	not available	neonate	SAMPLE_22	PAD000028-r00022-SAMPLE_22	protein expression profiling by antibody array	1	Rawdataparent.npx.csv	v1.1.0	NT=affinity-proteomics;VV=v1.0.0	NT=human;VV=v1.1.0	NT=sdrf-skills;VV=v0.0.0	Olink Target 96	NT=Olink Target 96;AC=PRIDE:0000655	Olink Target 96 Cardiovascular III	NPX	Target96	Intensity Normalized (v.3)	6115	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2026/09/PAD000028/Rawdataparent.npx.csv
PAD000028-SAMPLE_23	Homo sapiens	blood plasma	not applicable	23	not pooled	study sample	not available	blood plasma	not available	not available	not available	neonate	SAMPLE_23	PAD000028-r00023-SAMPLE_23	protein expression profiling by antibody array	1	Rawdataparent.npx.csv	v1.1.0	NT=affinity-proteomics;VV=v1.0.0	NT=human;VV=v1.1.0	NT=sdrf-skills;VV=v0.0.0	Olink Target 96	NT=Olink Target 96;AC=PRIDE:0000655	Olink Target 96 Cardiovascular III	NPX	Target96	Intensity Normalized (v.3)	6115	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2026/09/PAD000028/Rawdataparent.npx.csv
PAD000028-SAMPLE_24	Homo sapiens	blood plasma	not applicable	24	not pooled	study sample	not available	blood plasma	not available	not available	not available	neonate	SAMPLE_24	PAD000028-r00024-SAMPLE_24	protein expression profiling by antibody array	1	Rawdataparent.npx.csv	v1.1.0	NT=affinity-proteomics;VV=v1.0.0	NT=human;VV=v1.1.0	NT=sdrf-skills;VV=v0.0.0	Olink Target 96	NT=Olink Target 96;AC=PRIDE:0000655	Olink Target 96 Cardiovascular III	NPX	Target96	Intensity Normalized (v.3)	6115	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2026/09/PAD000028/Rawdataparent.npx.csv
PAD000028-SAMPLE_25	Homo sapiens	blood plasma	not applicable	25	not pooled	study sample	not available	blood plasma	not available	not available	not available	neonate	SAMPLE_25	PAD000028-r00025-SAMPLE_25	protein expression profiling by antibody array	1	Rawdataparent.npx.csv	v1.1.0	NT=affinity-proteomics;VV=v1.0.0	NT=human;VV=v1.1.0	NT=sdrf-skills;VV=v0.0.0	Olink Target 96	NT=Olink Target 96;AC=PRIDE:0000655	Olink Target 96 Cardiovascular III	NPX	Target96	Intensity Normalized (v.3)	6115	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2026/09/PAD000028/Rawdataparent.npx.csv
PAD000028-SAMPLE_26	Homo sapiens	blood plasma	not applicable	26	not pooled	study sample	not available	blood plasma	not available	not available	not available	neonate	SAMPLE_26	PAD000028-r00026-SAMPLE_26	protein expression profiling by antibody array	1	Rawdataparent.npx.csv	v1.1.0	NT=affinity-proteomics;VV=v1.0.0	NT=human;VV=v1.1.0	NT=sdrf-skills;VV=v0.0.0	Olink Target 96	NT=Olink Target 96;AC=PRIDE:0000655	Olink Target 96 Cardiovascular III	NPX	Target96	Intensity Normalized (v.3)	6115	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2026/09/PAD000028/Rawdataparent.npx.csv
PAD000028-SAMPLE_27	Homo sapiens	blood plasma	not applicable	27	not pooled	study sample	not available	blood plasma	not available	not available	not available	neonate	SAMPLE_27	PAD000028-r00027-SAMPLE_27	protein expression profiling by antibody array	1	Rawdataparent.npx.csv	v1.1.0	NT=affinity-proteomics;VV=v1.0.0	NT=human;VV=v1.1.0	NT=sdrf-skills;VV=v0.0.0	Olink Target 96	NT=Olink Target 96;AC=PRIDE:0000655	Olink Target 96 Cardiovascular III	NPX	Target96	Intensity Normalized (v.3)	6115	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2026/09/PAD000028/Rawdataparent.npx.csv
PAD000028-SAMPLE_28	Homo sapiens	blood plasma	not applicable	28	not pooled	study sample	not available	blood plasma	not available	not available	not available	neonate	SAMPLE_28	PAD000028-r00028-SAMPLE_28	protein expression profiling by antibody array	1	Rawdataparent.npx.csv	v1.1.0	NT=affinity-proteomics;VV=v1.0.0	NT=human;VV=v1.1.0	NT=sdrf-skills;VV=v0.0.0	Olink Target 96	NT=Olink Target 96;AC=PRIDE:0000655	Olink Target 96 Cardiovascular III	NPX	Target96	Intensity Normalized (v.3)	6115	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2026/09/PAD000028/Rawdataparent.npx.csv
PAD000028-SAMPLE_29	Homo sapiens	blood plasma	not applicable	29	not pooled	study sample	not available	blood plasma	not available	not available	not available	neonate	SAMPLE_29	PAD000028-r00029-SAMPLE_29	protein expression profiling by antibody array	1	Rawdataparent.npx.csv	v1.1.0	NT=affinity-proteomics;VV=v1.0.0	NT=human;VV=v1.1.0	NT=sdrf-skills;VV=v0.0.0	Olink Target 96	NT=Olink Target 96;AC=PRIDE:0000655	Olink Target 96 Cardiovascular III	NPX	Target96	Intensity Normalized (v.3)	6115	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2026/09/PAD000028/Rawdataparent.npx.csv
PAD000028-SAMPLE_30	Homo sapiens	blood plasma	not applicable	30	not pooled	study sample	not available	blood plasma	not available	not available	not available	neonate	SAMPLE_30	PAD000028-r00030-SAMPLE_30	protein expression profiling by antibody array	1	Rawdataparent.npx.csv	v1.1.0	NT=affinity-proteomics;VV=v1.0.0	NT=human;VV=v1.1.0	NT=sdrf-skills;VV=v0.0.0	Olink Target 96	NT=Olink Target 96;AC=PRIDE:0000655	Olink Target 96 Cardiovascular III	NPX	Target96	Intensity Normalized (v.3)	6115	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2026/09/PAD000028/Rawdataparent.npx.csv
PAD000028-SAMPLE_31	Homo sapiens	blood plasma	not applicable	31	not pooled	study sample	not available	blood plasma	not available	not available	not available	neonate	SAMPLE_31	PAD000028-r00031-SAMPLE_31	protein expression profiling by antibody array	1	Rawdataparent.npx.csv	v1.1.0	NT=affinity-proteomics;VV=v1.0.0	NT=human;VV=v1.1.0	NT=sdrf-skills;VV=v0.0.0	Olink Target 96	NT=Olink Target 96;AC=PRIDE:0000655	Olink Target 96 Cardiovascular III	NPX	Target96	Intensity Normalized (v.3)	6115	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2026/09/PAD000028/Rawdataparent.npx.csv
PAD000028-SAMPLE_32	Homo sapiens	blood plasma	not applicable	32	not pooled	study sample	not available	blood plasma	not available	not available	not available	neonate	SAMPLE_32	PAD000028-r00032-SAMPLE_32	protein expression profiling by antibody array	1	Rawdataparent.npx.csv	v1.1.0	NT=affinity-proteomics;VV=v1.0.0	NT=human;VV=v1.1.0	NT=sdrf-skills;VV=v0.0.0	Olink Target 96	NT=Olink Target 96;AC=PRIDE:0000655	Olink Target 96 Cardiovascular III	NPX	Target96	Intensity Normalized (v.3)	6115	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2026/09/PAD000028/Rawdataparent.npx.csv
PAD000028-SAMPLE_33	Homo sapiens	blood plasma	not applicable	33	not pooled	study sample	not available	blood plasma	not available	not available	not available	neonate	SAMPLE_33	PAD000028-r00033-SAMPLE_33	protein expression profiling by antibody array	1	Rawdataparent.npx.csv	v1.1.0	NT=affinity-proteomics;VV=v1.0.0	NT=human;VV=v1.1.0	NT=sdrf-skills;VV=v0.0.0	Olink Target 96	NT=Olink Target 96;AC=PRIDE:0000655	Olink Target 96 Cardiovascular III	NPX	Target96	Intensity Normalized (v.3)	6115	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2026/09/PAD000028/Rawdataparent.npx.csv
PAD000028-SAMPLE_34	Homo sapiens	blood plasma	not applicable	34	not pooled	study sample	not available	blood plasma	not available	not available	not available	neonate	SAMPLE_34	PAD000028-r00034-SAMPLE_34	protein expression profiling by antibody array	1	Rawdataparent.npx.csv	v1.1.0	NT=affinity-proteomics;VV=v1.0.0	NT=human;VV=v1.1.0	NT=sdrf-skills;VV=v0.0.0	Olink Target 96	NT=Olink Target 96;AC=PRIDE:0000655	Olink Target 96 Cardiovascular III	NPX	Target96	Intensity Normalized (v.3)	6115	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2026/09/PAD000028/Rawdataparent.npx.csv
PAD000028-SAMPLE_35	Homo sapiens	blood plasma	not applicable	35	not pooled	study sample	not available	blood plasma	not available	not available	not available	neonate	SAMPLE_35	PAD000028-r00035-SAMPLE_35	protein expression profiling by antibody array	1	Rawdataparent.npx.csv	v1.1.0	NT=affinity-proteomics;VV=v1.0.0	NT=human;VV=v1.1.0	NT=sdrf-skills;VV=v0.0.0	Olink Target 96	NT=Olink Target 96;AC=PRIDE:0000655	Olink Target 96 Cardiovascular III	NPX	Target96	Intensity Normalized (v.3)	6115	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2026/09/PAD000028/Rawdataparent.npx.csv
PAD000028-SAMPLE_36	Homo sapiens	blood plasma	not applicable	36	not pooled	study sample	not available	blood plasma	not available	not available	not available	neonate	SAMPLE_36	PAD000028-r00036-SAMPLE_36	protein expression profiling by antibody array	1	Rawdataparent.npx.csv	v1.1.0	NT=affinity-proteomics;VV=v1.0.0	NT=human;VV=v1.1.0	NT=sdrf-skills;VV=v0.0.0	Olink Target 96	NT=Olink Target 96;AC=PRIDE:0000655	Olink Target 96 Cardiovascular III	NPX	Target96	Intensity Normalized (v.3)	6115	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2026/09/PAD000028/Rawdataparent.npx.csv
PAD000028-SAMPLE_37	Homo sapiens	blood plasma	not applicable	37	not pooled	study sample	not available	blood plasma	not available	not available	not available	neonate	SAMPLE_37	PAD000028-r00037-SAMPLE_37	protein expression profiling by antibody array	1	Rawdataparent.npx.csv	v1.1.0	NT=affinity-proteomics;VV=v1.0.0	NT=human;VV=v1.1.0	NT=sdrf-skills;VV=v0.0.0	Olink Target 96	NT=Olink Target 96;AC=PRIDE:0000655	Olink Target 96 Cardiovascular III	NPX	Target96	Intensity Normalized (v.3)	6115	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2026/09/PAD000028/Rawdataparent.npx.csv
PAD000028-SAMPLE_38	Homo sapiens	blood plasma	not applicable	38	not pooled	study sample	not available	blood plasma	not available	not available	not available	neonate	SAMPLE_38	PAD000028-r00038-SAMPLE_38	protein expression profiling by antibody array	1	Rawdataparent.npx.csv	v1.1.0	NT=affinity-proteomics;VV=v1.0.0	NT=human;VV=v1.1.0	NT=sdrf-skills;VV=v0.0.0	Olink Target 96	NT=Olink Target 96;AC=PRIDE:0000655	Olink Target 96 Cardiovascular III	NPX	Target96	Intensity Normalized (v.3)	6115	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2026/09/PAD000028/Rawdataparent.npx.csv
PAD000028-SAMPLE_39	Homo sapiens	blood plasma	not applicable	39	not pooled	study sample	not available	blood plasma	not available	not available	not available	neonate	SAMPLE_39	PAD000028-r00039-SAMPLE_39	protein expression profiling by antibody array	1	Rawdataparent.npx.csv	v1.1.0	NT=affinity-proteomics;VV=v1.0.0	NT=human;VV=v1.1.0	NT=sdrf-skills;VV=v0.0.0	Olink Target 96	NT=Olink Target 96;AC=PRIDE:0000655	Olink Target 96 Cardiovascular III	NPX	Target96	Intensity Normalized (v.3)	6115	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2026/09/PAD000028/Rawdataparent.npx.csv
PAD000028-SAMPLE_40	Homo sapiens	blood plasma	not applicable	40	not pooled	study sample	not available	blood plasma	not available	not available	not available	neonate	SAMPLE_40	PAD000028-r00040-SAMPLE_40	protein expression profiling by antibody array	1	Rawdataparent.npx.csv	v1.1.0	NT=affinity-proteomics;VV=v1.0.0	NT=human;VV=v1.1.0	NT=sdrf-skills;VV=v0.0.0	Olink Target 96	NT=Olink Target 96;AC=PRIDE:0000655	Olink Target 96 Cardiovascular III	NPX	Target96	Intensity Normalized (v.3)	6115	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2026/09/PAD000028/Rawdataparent.npx.csv
PAD000028-SAMPLE_41	Homo sapiens	blood plasma	not applicable	41	not pooled	study sample	not available	blood plasma	not available	not available	not available	neonate	SAMPLE_41	PAD000028-r00041-SAMPLE_41	protein expression profiling by antibody array	1	Rawdataparent.npx.csv	v1.1.0	NT=affinity-proteomics;VV=v1.0.0	NT=human;VV=v1.1.0	NT=sdrf-skills;VV=v0.0.0	Olink Target 96	NT=Olink Target 96;AC=PRIDE:0000655	Olink Target 96 Cardiovascular III	NPX	Target96	Intensity Normalized (v.3)	6115	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2026/09/PAD000028/Rawdataparent.npx.csv
PAD000028-SAMPLE_42	Homo sapiens	blood plasma	not applicable	42	not pooled	study sample	not available	blood plasma	not available	not available	not available	neonate	SAMPLE_42	PAD000028-r00042-SAMPLE_42	protein expression profiling by antibody array	1	Rawdataparent.npx.csv	v1.1.0	NT=affinity-proteomics;VV=v1.0.0	NT=human;VV=v1.1.0	NT=sdrf-skills;VV=v0.0.0	Olink Target 96	NT=Olink Target 96;AC=PRIDE:0000655	Olink Target 96 Cardiovascular III	NPX	Target96	Intensity Normalized (v.3)	6115	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2026/09/PAD000028/Rawdataparent.npx.csv
