source name	characteristics[organism]	characteristics[organism part]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[instrument]	comment[label]	comment[cleavage agent details]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf annotation tool]	factor value[Fab condition]	factor value[run series]	factor value[deuterium exchange time]
RBD_Apo_series52_3000s_rep1	Homo sapiens	not applicable	1	3000s_Apofor52_20211101_213005_3000	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive Plus;AC=MS:1002634	NT=label free sample;AC=MS:1002038	NT=PepsinA;AC=MS:1001311	1	1	3000s_Apofor52_20211101_213005_3000.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	manual curation	Apo	Fab52	3000 s
RBD_Apo_series52_3000s_rep2	Homo sapiens	not applicable	2	3000s_Apofor52_20211102_022525_3000	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive Plus;AC=MS:1002634	NT=label free sample;AC=MS:1002038	NT=PepsinA;AC=MS:1001311	1	1	3000s_Apofor52_20211102_022525_3000.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	manual curation	Apo	Fab52	3000 s
RBD_Apo_series52_3000s_rep3	Homo sapiens	not applicable	3	3000s_Apofor52_20211102_071939_3000	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive Plus;AC=MS:1002634	NT=label free sample;AC=MS:1002038	NT=PepsinA;AC=MS:1001311	1	1	3000s_Apofor52_20211102_071939_3000.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	manual curation	Apo	Fab52	3000 s
RBD_Fab47_series47_3000s_rep1	Homo sapiens	not applicable	1	3000s_RBD_Fab47_20211121_164320_3000	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive Plus;AC=MS:1002634	NT=label free sample;AC=MS:1002038	NT=PepsinA;AC=MS:1001311	1	1	3000s_RBD_Fab47_20211121_164320_3000.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	manual curation	Fab47	Fab47	3000 s
RBD_Fab47_series47_3000s_rep2	Homo sapiens	not applicable	2	3000s_RBD_Fab47_20211121_204015_3000	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive Plus;AC=MS:1002634	NT=label free sample;AC=MS:1002038	NT=PepsinA;AC=MS:1001311	1	1	3000s_RBD_Fab47_20211121_204015_3000.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	manual curation	Fab47	Fab47	3000 s
RBD_Fab47_series47_3000s_rep3	Homo sapiens	not applicable	3	3000s_RBD_Fab47_20211122_003808_3000	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive Plus;AC=MS:1002634	NT=label free sample;AC=MS:1002038	NT=PepsinA;AC=MS:1001311	1	1	3000s_RBD_Fab47_20211122_003808_3000.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	manual curation	Fab47	Fab47	3000 s
RBD_Fab52_series52_3000s_rep1	Homo sapiens	not applicable	1	3000s_RBD_Fab52_20211102_121331_3000	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive Plus;AC=MS:1002634	NT=label free sample;AC=MS:1002038	NT=PepsinA;AC=MS:1001311	1	1	3000s_RBD_Fab52_20211102_121331_3000.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	manual curation	Fab52	Fab52	3000 s
RBD_Fab52_series52_3000s_rep2	Homo sapiens	not applicable	2	3000s_RBD_Fab52_20211102_170712_3000	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive Plus;AC=MS:1002634	NT=label free sample;AC=MS:1002038	NT=PepsinA;AC=MS:1001311	1	1	3000s_RBD_Fab52_20211102_170712_3000.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	manual curation	Fab52	Fab52	3000 s
RBD_Fab52_series52_3000s_rep3	Homo sapiens	not applicable	3	3000s_RBD_Fab52_20211102_220142_3000	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive Plus;AC=MS:1002634	NT=label free sample;AC=MS:1002038	NT=PepsinA;AC=MS:1001311	1	1	3000s_RBD_Fab52_20211102_220142_3000.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	manual curation	Fab52	Fab52	3000 s
RBD_Apo_series47_300s_rep1	Homo sapiens	not applicable	1	300s_Apofor47_20211122_033110_300	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive Plus;AC=MS:1002634	NT=label free sample;AC=MS:1002038	NT=PepsinA;AC=MS:1001311	1	1	300s_Apofor47_20211122_033110_300.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	manual curation	Apo	Fab47	300 s
RBD_Apo_series47_300s_rep2	Homo sapiens	not applicable	2	300s_Apofor47_20211122_072831_300	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive Plus;AC=MS:1002634	NT=label free sample;AC=MS:1002038	NT=PepsinA;AC=MS:1001311	1	1	300s_Apofor47_20211122_072831_300.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	manual curation	Apo	Fab47	300 s
RBD_Apo_series47_300s_rep3	Homo sapiens	not applicable	3	300s_Apofor47_20211122_112603_300	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive Plus;AC=MS:1002634	NT=label free sample;AC=MS:1002038	NT=PepsinA;AC=MS:1001311	1	1	300s_Apofor47_20211122_112603_300.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	manual curation	Apo	Fab47	300 s
RBD_Apo_series52_300s_rep1	Homo sapiens	not applicable	1	300s_Apofor52_20211101_202448_300	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive Plus;AC=MS:1002634	NT=label free sample;AC=MS:1002038	NT=PepsinA;AC=MS:1001311	1	1	300s_Apofor52_20211101_202448_300.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	manual curation	Apo	Fab52	300 s
RBD_Apo_series52_300s_rep2	Homo sapiens	not applicable	2	300s_Apofor52_20211102_012105_300	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive Plus;AC=MS:1002634	NT=label free sample;AC=MS:1002038	NT=PepsinA;AC=MS:1001311	1	1	300s_Apofor52_20211102_012105_300.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	manual curation	Apo	Fab52	300 s
RBD_Apo_series52_300s_rep3	Homo sapiens	not applicable	3	300s_Apofor52_20211102_061520_300	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive Plus;AC=MS:1002634	NT=label free sample;AC=MS:1002038	NT=PepsinA;AC=MS:1001311	1	1	300s_Apofor52_20211102_061520_300.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	manual curation	Apo	Fab52	300 s
RBD_Fab47_series47_300s_rep1	Homo sapiens	not applicable	1	300s_RBD_Fab47_20211121_153842_300	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive Plus;AC=MS:1002634	NT=label free sample;AC=MS:1002038	NT=PepsinA;AC=MS:1001311	1	1	300s_RBD_Fab47_20211121_153842_300.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	manual curation	Fab47	Fab47	300 s
RBD_Fab47_series47_300s_rep2	Homo sapiens	not applicable	2	300s_RBD_Fab47_20211121_193552_300	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive Plus;AC=MS:1002634	NT=label free sample;AC=MS:1002038	NT=PepsinA;AC=MS:1001311	1	1	300s_RBD_Fab47_20211121_193552_300.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	manual curation	Fab47	Fab47	300 s
RBD_Fab47_series47_300s_rep3	Homo sapiens	not applicable	3	300s_RBD_Fab47_20211121_233333_300	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive Plus;AC=MS:1002634	NT=label free sample;AC=MS:1002038	NT=PepsinA;AC=MS:1001311	1	1	300s_RBD_Fab47_20211121_233333_300.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	manual curation	Fab47	Fab47	300 s
RBD_Fab52_series52_300s_rep1	Homo sapiens	not applicable	1	300s_RBD_Fab52_20211102_205659_300	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive Plus;AC=MS:1002634	NT=label free sample;AC=MS:1002038	NT=PepsinA;AC=MS:1001311	1	1	300s_RBD_Fab52_20211102_205659_300.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	manual curation	Fab52	Fab52	300 s
RBD_Fab52_series52_300s_rep2	Homo sapiens	not applicable	2	300s_RBD_Fab52__20211102_110912_300	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive Plus;AC=MS:1002634	NT=label free sample;AC=MS:1002038	NT=PepsinA;AC=MS:1001311	1	1	300s_RBD_Fab52__20211102_110912_300.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	manual curation	Fab52	Fab52	300 s
RBD_Apo_series47_30s_rep1	Homo sapiens	not applicable	1	30s_Apofor47_20211122_023532_30	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive Plus;AC=MS:1002634	NT=label free sample;AC=MS:1002038	NT=PepsinA;AC=MS:1001311	1	1	30s_Apofor47_20211122_023532_30.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	manual curation	Apo	Fab47	30 s
RBD_Apo_series47_30s_rep2	Homo sapiens	not applicable	2	30s_Apofor47_20211122_063305_30	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive Plus;AC=MS:1002634	NT=label free sample;AC=MS:1002038	NT=PepsinA;AC=MS:1001311	1	1	30s_Apofor47_20211122_063305_30.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	manual curation	Apo	Fab47	30 s
RBD_Apo_series47_30s_rep3	Homo sapiens	not applicable	3	30s_Apofor47_20211122_103020_30	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive Plus;AC=MS:1002634	NT=label free sample;AC=MS:1002038	NT=PepsinA;AC=MS:1001311	1	1	30s_Apofor47_20211122_103020_30.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	manual curation	Apo	Fab47	30 s
RBD_Apo_series52_30s_rep1	Homo sapiens	not applicable	1	30s_Apofor52_20211101_192817_30	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive Plus;AC=MS:1002634	NT=label free sample;AC=MS:1002038	NT=PepsinA;AC=MS:1001311	1	1	30s_Apofor52_20211101_192817_30.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	manual curation	Apo	Fab52	30 s
RBD_Apo_series52_30s_rep2	Homo sapiens	not applicable	2	30s_Apofor52_20211102_002528_30	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive Plus;AC=MS:1002634	NT=label free sample;AC=MS:1002038	NT=PepsinA;AC=MS:1001311	1	1	30s_Apofor52_20211102_002528_30.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	manual curation	Apo	Fab52	30 s
RBD_Apo_series52_30s_rep3	Homo sapiens	not applicable	3	30s_Apofor52_20211102_051918_30	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive Plus;AC=MS:1002634	NT=label free sample;AC=MS:1002038	NT=PepsinA;AC=MS:1001311	1	1	30s_Apofor52_20211102_051918_30.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	manual curation	Apo	Fab52	30 s
RBD_Fab47_series47_30s_rep1	Homo sapiens	not applicable	1	30s_RBD_Fab47_20211121_144311_30	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive Plus;AC=MS:1002634	NT=label free sample;AC=MS:1002038	NT=PepsinA;AC=MS:1001311	1	1	30s_RBD_Fab47_20211121_144311_30.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	manual curation	Fab47	Fab47	30 s
RBD_Fab47_series47_30s_rep2	Homo sapiens	not applicable	2	30s_RBD_Fab47_20211121_184010_30	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive Plus;AC=MS:1002634	NT=label free sample;AC=MS:1002038	NT=PepsinA;AC=MS:1001311	1	1	30s_RBD_Fab47_20211121_184010_30.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	manual curation	Fab47	Fab47	30 s
RBD_Fab47_series47_30s_rep3	Homo sapiens	not applicable	3	30s_RBD_Fab47_20211121_223810_30	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive Plus;AC=MS:1002634	NT=label free sample;AC=MS:1002038	NT=PepsinA;AC=MS:1001311	1	1	30s_RBD_Fab47_20211121_223810_30.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	manual curation	Fab47	Fab47	30 s
RBD_Fab52_series52_30s_rep1	Homo sapiens	not applicable	1	30s_RBD_Fab52_20211102_101339_30	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive Plus;AC=MS:1002634	NT=label free sample;AC=MS:1002038	NT=PepsinA;AC=MS:1001311	1	1	30s_RBD_Fab52_20211102_101339_30.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	manual curation	Fab52	Fab52	30 s
RBD_Fab52_series52_30s_rep2	Homo sapiens	not applicable	2	30s_RBD_Fab52_20211102_150715_30	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive Plus;AC=MS:1002634	NT=label free sample;AC=MS:1002038	NT=PepsinA;AC=MS:1001311	1	1	30s_RBD_Fab52_20211102_150715_30.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	manual curation	Fab52	Fab52	30 s
RBD_Fab52_series52_30s_rep3	Homo sapiens	not applicable	3	30s_RBD_Fab52_20211102_200122_30	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive Plus;AC=MS:1002634	NT=label free sample;AC=MS:1002038	NT=PepsinA;AC=MS:1001311	1	1	30s_RBD_Fab52_20211102_200122_30.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	manual curation	Fab52	Fab52	30 s
