source name	characteristics[organism]	characteristics[organism part]	characteristics[biological replicate]	assay name	technology type	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf template]	comment[sdrf annotation tool]	comment[proteomics data acquisition method]	comment[instrument]	comment[cleavage agent details]	comment[label]	comment[fraction identifier]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]
160610_BWNilsen_SILAC_A4	Homo sapiens	cell culture	1	160610_BWNilsen_SILAC_A4	proteomic profiling by mass spectrometry	1	160610_BWNilsen_SILAC_A4.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	NT=SILAC;AC=MS:1002010;TA=Arg10,Lys8	1	not available	not available	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Arg10;AC=UNIMOD:267;TA=R;MT=Variable	NT=Lys8;AC=UNIMOD:259;TA=K;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable
160610_BWNilsen_SILAC_A4_b	Homo sapiens	cell culture	1	160610_BWNilsen_SILAC_A4_b	proteomic profiling by mass spectrometry	1	160610_BWNilsen_SILAC_A4_b.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	NT=SILAC;AC=MS:1002010;TA=Arg10,Lys8	1	not available	not available	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Arg10;AC=UNIMOD:267;TA=R;MT=Variable	NT=Lys8;AC=UNIMOD:259;TA=K;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable
160610_BWNilsen_SILAC_B1	Homo sapiens	cell culture	1	160610_BWNilsen_SILAC_B1	proteomic profiling by mass spectrometry	1	160610_BWNilsen_SILAC_B1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	NT=SILAC;AC=MS:1002010;TA=Arg10,Lys8	1	not available	not available	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Arg10;AC=UNIMOD:267;TA=R;MT=Variable	NT=Lys8;AC=UNIMOD:259;TA=K;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable
160610_BWNilsen_SILAC_B2	Homo sapiens	cell culture	1	160610_BWNilsen_SILAC_B2	proteomic profiling by mass spectrometry	1	160610_BWNilsen_SILAC_B2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	NT=SILAC;AC=MS:1002010;TA=Arg10,Lys8	1	not available	not available	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Arg10;AC=UNIMOD:267;TA=R;MT=Variable	NT=Lys8;AC=UNIMOD:259;TA=K;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable
160610_BWNilsen_SILAC_B3	Homo sapiens	cell culture	1	160610_BWNilsen_SILAC_B3	proteomic profiling by mass spectrometry	1	160610_BWNilsen_SILAC_B3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	NT=SILAC;AC=MS:1002010;TA=Arg10,Lys8	1	not available	not available	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Arg10;AC=UNIMOD:267;TA=R;MT=Variable	NT=Lys8;AC=UNIMOD:259;TA=K;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable
160610_BWNilsen_SILAC_B4	Homo sapiens	cell culture	1	160610_BWNilsen_SILAC_B4	proteomic profiling by mass spectrometry	1	160610_BWNilsen_SILAC_B4.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	NT=SILAC;AC=MS:1002010;TA=Arg10,Lys8	1	not available	not available	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Arg10;AC=UNIMOD:267;TA=R;MT=Variable	NT=Lys8;AC=UNIMOD:259;TA=K;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable
160610_BWNilsen_SILAC_C1	Homo sapiens	cell culture	1	160610_BWNilsen_SILAC_C1	proteomic profiling by mass spectrometry	1	160610_BWNilsen_SILAC_C1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	NT=SILAC;AC=MS:1002010;TA=Arg10,Lys8	1	not available	not available	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Arg10;AC=UNIMOD:267;TA=R;MT=Variable	NT=Lys8;AC=UNIMOD:259;TA=K;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable
160610_BWNilsen_SILAC_C2	Homo sapiens	cell culture	1	160610_BWNilsen_SILAC_C2	proteomic profiling by mass spectrometry	1	160610_BWNilsen_SILAC_C2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	NT=SILAC;AC=MS:1002010;TA=Arg10,Lys8	1	not available	not available	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Arg10;AC=UNIMOD:267;TA=R;MT=Variable	NT=Lys8;AC=UNIMOD:259;TA=K;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable
160610_BWNilsen_SILAC_C3	Homo sapiens	cell culture	1	160610_BWNilsen_SILAC_C3	proteomic profiling by mass spectrometry	1	160610_BWNilsen_SILAC_C3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	NT=SILAC;AC=MS:1002010;TA=Arg10,Lys8	1	not available	not available	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Arg10;AC=UNIMOD:267;TA=R;MT=Variable	NT=Lys8;AC=UNIMOD:259;TA=K;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable
160610_BWNilsen_SILAC_C4	Homo sapiens	cell culture	1	160610_BWNilsen_SILAC_C4	proteomic profiling by mass spectrometry	1	160610_BWNilsen_SILAC_C4.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	NT=SILAC;AC=MS:1002010;TA=Arg10,Lys8	1	not available	not available	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Arg10;AC=UNIMOD:267;TA=R;MT=Variable	NT=Lys8;AC=UNIMOD:259;TA=K;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable
160610_BWNilsen_SILAC_D1	Homo sapiens	cell culture	1	160610_BWNilsen_SILAC_D1	proteomic profiling by mass spectrometry	1	160610_BWNilsen_SILAC_D1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	NT=SILAC;AC=MS:1002010;TA=Arg10,Lys8	1	not available	not available	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Arg10;AC=UNIMOD:267;TA=R;MT=Variable	NT=Lys8;AC=UNIMOD:259;TA=K;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable
160610_BWNilsen_SILAC_D2	Homo sapiens	cell culture	1	160610_BWNilsen_SILAC_D2	proteomic profiling by mass spectrometry	1	160610_BWNilsen_SILAC_D2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	NT=SILAC;AC=MS:1002010;TA=Arg10,Lys8	1	not available	not available	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Arg10;AC=UNIMOD:267;TA=R;MT=Variable	NT=Lys8;AC=UNIMOD:259;TA=K;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable
160610_BWNilsen_SILAC_D3	Homo sapiens	cell culture	1	160610_BWNilsen_SILAC_D3	proteomic profiling by mass spectrometry	1	160610_BWNilsen_SILAC_D3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	NT=SILAC;AC=MS:1002010;TA=Arg10,Lys8	1	not available	not available	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Arg10;AC=UNIMOD:267;TA=R;MT=Variable	NT=Lys8;AC=UNIMOD:259;TA=K;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable
160610_BWNilsen_SILAC_D4	Homo sapiens	cell culture	1	160610_BWNilsen_SILAC_D4	proteomic profiling by mass spectrometry	1	160610_BWNilsen_SILAC_D4.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	NT=SILAC;AC=MS:1002010;TA=Arg10,Lys8	1	not available	not available	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Arg10;AC=UNIMOD:267;TA=R;MT=Variable	NT=Lys8;AC=UNIMOD:259;TA=K;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable
160610_BWNilsen_SILAC_G1	Homo sapiens	cell culture	1	160610_BWNilsen_SILAC_G1	proteomic profiling by mass spectrometry	1	160610_BWNilsen_SILAC_G1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	NT=SILAC;AC=MS:1002010;TA=Arg10,Lys8	1	not available	not available	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Arg10;AC=UNIMOD:267;TA=R;MT=Variable	NT=Lys8;AC=UNIMOD:259;TA=K;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable
160610_BWNilsen_SILAC_G2	Homo sapiens	cell culture	1	160610_BWNilsen_SILAC_G2	proteomic profiling by mass spectrometry	1	160610_BWNilsen_SILAC_G2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	NT=SILAC;AC=MS:1002010;TA=Arg10,Lys8	1	not available	not available	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Arg10;AC=UNIMOD:267;TA=R;MT=Variable	NT=Lys8;AC=UNIMOD:259;TA=K;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable
160610_BWNilsen_SILAC_G3	Homo sapiens	cell culture	1	160610_BWNilsen_SILAC_G3	proteomic profiling by mass spectrometry	1	160610_BWNilsen_SILAC_G3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	NT=SILAC;AC=MS:1002010;TA=Arg10,Lys8	1	not available	not available	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Arg10;AC=UNIMOD:267;TA=R;MT=Variable	NT=Lys8;AC=UNIMOD:259;TA=K;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable
160610_BWNilsen_SILAC_G4	Homo sapiens	cell culture	1	160610_BWNilsen_SILAC_G4	proteomic profiling by mass spectrometry	1	160610_BWNilsen_SILAC_G4.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	NT=SILAC;AC=MS:1002010;TA=Arg10,Lys8	1	not available	not available	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Arg10;AC=UNIMOD:267;TA=R;MT=Variable	NT=Lys8;AC=UNIMOD:259;TA=K;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable
160610_BWNilsen_SILAC_H1	Homo sapiens	cell culture	1	160610_BWNilsen_SILAC_H1	proteomic profiling by mass spectrometry	1	160610_BWNilsen_SILAC_H1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	NT=SILAC;AC=MS:1002010;TA=Arg10,Lys8	1	not available	not available	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Arg10;AC=UNIMOD:267;TA=R;MT=Variable	NT=Lys8;AC=UNIMOD:259;TA=K;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable
160610_BWNilsen_SILAC_H2	Homo sapiens	cell culture	1	160610_BWNilsen_SILAC_H2	proteomic profiling by mass spectrometry	1	160610_BWNilsen_SILAC_H2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	NT=SILAC;AC=MS:1002010;TA=Arg10,Lys8	1	not available	not available	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Arg10;AC=UNIMOD:267;TA=R;MT=Variable	NT=Lys8;AC=UNIMOD:259;TA=K;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable
160610_BWNilsen_SILAC_H3	Homo sapiens	cell culture	1	160610_BWNilsen_SILAC_H3	proteomic profiling by mass spectrometry	1	160610_BWNilsen_SILAC_H3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	NT=SILAC;AC=MS:1002010;TA=Arg10,Lys8	1	not available	not available	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Arg10;AC=UNIMOD:267;TA=R;MT=Variable	NT=Lys8;AC=UNIMOD:259;TA=K;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable
160610_BWNilsen_SILAC_H4	Homo sapiens	cell culture	1	160610_BWNilsen_SILAC_H4	proteomic profiling by mass spectrometry	1	160610_BWNilsen_SILAC_H4.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	NT=SILAC;AC=MS:1002010;TA=Arg10,Lys8	1	not available	not available	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Arg10;AC=UNIMOD:267;TA=R;MT=Variable	NT=Lys8;AC=UNIMOD:259;TA=K;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable
160811_BWNilsen_SILAC_A1	Homo sapiens	cell culture	1	160811_BWNilsen_SILAC_A1	proteomic profiling by mass spectrometry	1	160811_BWNilsen_SILAC_A1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	NT=SILAC;AC=MS:1002010;TA=Arg10,Lys8	1	not available	not available	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Arg10;AC=UNIMOD:267;TA=R;MT=Variable	NT=Lys8;AC=UNIMOD:259;TA=K;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable
