source name	characteristics[organism]	characteristics[organism part]	characteristics[disease]	characteristics[age]	characteristics[sex]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[instrument]	comment[label]	comment[cleavage agent details]	comment[modification parameters]	comment[modification parameters]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	factor value[disease]
D1_AD4_TechRep_8	Homo sapiens	temporal neocortex	Alzheimer's disease	not available	not available	4	D1_AD4_TechRep_8	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ FT;AC=MS:1000448	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable; NT=Deamidation;AC=UNIMOD:7;TA=N,Q;MT=Variable	1	8	D1_AD4_TechRep_8.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	Alzheimer's disease
D1_AD4_TechRep_9	Homo sapiens	temporal neocortex	Alzheimer's disease	not available	not available	4	D1_AD4_TechRep_9	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ FT;AC=MS:1000448	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable; NT=Deamidation;AC=UNIMOD:7;TA=N,Q;MT=Variable	1	9	D1_AD4_TechRep_9.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	Alzheimer's disease
D1_AD5_TechRep_1	Homo sapiens	temporal neocortex	Alzheimer's disease	not available	not available	5	D1_AD5_TechRep_1	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ FT;AC=MS:1000448	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable; NT=Deamidation;AC=UNIMOD:7;TA=N,Q;MT=Variable	1	1	D1_AD5_TechRep_1.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	Alzheimer's disease
D1_AD6_TechRep_1	Homo sapiens	temporal neocortex	Alzheimer's disease	not available	not available	6	D1_AD6_TechRep_1	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ FT;AC=MS:1000448	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable; NT=Deamidation;AC=UNIMOD:7;TA=N,Q;MT=Variable	1	1	D1_AD6_TechRep_1.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	Alzheimer's disease
D1_AD6_TechRep_2	Homo sapiens	temporal neocortex	Alzheimer's disease	not available	not available	6	D1_AD6_TechRep_2	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ FT;AC=MS:1000448	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable; NT=Deamidation;AC=UNIMOD:7;TA=N,Q;MT=Variable	1	2	D1_AD6_TechRep_2.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	Alzheimer's disease
D1_AD7_TechRep_1	Homo sapiens	temporal neocortex	Alzheimer's disease	not available	not available	7	D1_AD7_TechRep_1	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ FT;AC=MS:1000448	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable; NT=Deamidation;AC=UNIMOD:7;TA=N,Q;MT=Variable	1	1	D1_AD7_TechRep_1.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	Alzheimer's disease
D1_AD8_TechRep_1	Homo sapiens	temporal neocortex	Alzheimer's disease	not available	not available	8	D1_AD8_TechRep_1	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ FT;AC=MS:1000448	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable; NT=Deamidation;AC=UNIMOD:7;TA=N,Q;MT=Variable	1	1	D1_AD8_TechRep_1.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	Alzheimer's disease
D1_Control1_TechRep_1	Homo sapiens	temporal neocortex	not applicable	not available	not available	1	D1_Control1_TechRep_1	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ FT;AC=MS:1000448	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable; NT=Deamidation;AC=UNIMOD:7;TA=N,Q;MT=Variable	1	1	D1_Control1_TechRep_1.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	not applicable
D1_Control1_TechRep_2	Homo sapiens	temporal neocortex	not applicable	not available	not available	1	D1_Control1_TechRep_2	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ FT;AC=MS:1000448	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable; NT=Deamidation;AC=UNIMOD:7;TA=N,Q;MT=Variable	1	2	D1_Control1_TechRep_2.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	not applicable
D1_Control2_TechRep_1	Homo sapiens	temporal neocortex	not applicable	not available	not available	2	D1_Control2_TechRep_1	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ FT;AC=MS:1000448	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable; NT=Deamidation;AC=UNIMOD:7;TA=N,Q;MT=Variable	1	1	D1_Control2_TechRep_1.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	not applicable
D1_Control2_TechRep_2	Homo sapiens	temporal neocortex	not applicable	not available	not available	2	D1_Control2_TechRep_2	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ FT;AC=MS:1000448	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable; NT=Deamidation;AC=UNIMOD:7;TA=N,Q;MT=Variable	1	2	D1_Control2_TechRep_2.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	not applicable
D1_Control2_TechRep_3	Homo sapiens	temporal neocortex	not applicable	not available	not available	2	D1_Control2_TechRep_3	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ FT;AC=MS:1000448	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable; NT=Deamidation;AC=UNIMOD:7;TA=N,Q;MT=Variable	1	3	D1_Control2_TechRep_3.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	not applicable
D1_Control3_TechRep_1	Homo sapiens	temporal neocortex	not applicable	not available	not available	3	D1_Control3_TechRep_1	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ FT;AC=MS:1000448	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable; NT=Deamidation;AC=UNIMOD:7;TA=N,Q;MT=Variable	1	1	D1_Control3_TechRep_1.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	not applicable
D1_Control3_TechRep_2	Homo sapiens	temporal neocortex	not applicable	not available	not available	3	D1_Control3_TechRep_2	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ FT;AC=MS:1000448	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable; NT=Deamidation;AC=UNIMOD:7;TA=N,Q;MT=Variable	1	2	D1_Control3_TechRep_2.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	not applicable
D1_Control4_TechRep_1	Homo sapiens	temporal neocortex	not applicable	not available	not available	4	D1_Control4_TechRep_1	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ FT;AC=MS:1000448	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable; NT=Deamidation;AC=UNIMOD:7;TA=N,Q;MT=Variable	1	1	D1_Control4_TechRep_1.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	not applicable
D1_Control4_TechRep_2	Homo sapiens	temporal neocortex	not applicable	not available	not available	4	D1_Control4_TechRep_2	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ FT;AC=MS:1000448	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable; NT=Deamidation;AC=UNIMOD:7;TA=N,Q;MT=Variable	1	2	D1_Control4_TechRep_2.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	not applicable
D1_OND1_TechRep_1	Homo sapiens	temporal neocortex	other neurological disorder	not available	not available	1	D1_OND1_TechRep_1	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ FT;AC=MS:1000448	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable; NT=Deamidation;AC=UNIMOD:7;TA=N,Q;MT=Variable	1	1	D1_OND1_TechRep_1.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	other neurological disorder
D1_OND2_TechRep_1	Homo sapiens	temporal neocortex	other neurological disorder	not available	not available	2	D1_OND2_TechRep_1	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ FT;AC=MS:1000448	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable; NT=Deamidation;AC=UNIMOD:7;TA=N,Q;MT=Variable	1	1	D1_OND2_TechRep_1.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	other neurological disorder
D1_OND2_TechRep_2	Homo sapiens	temporal neocortex	other neurological disorder	not available	not available	2	D1_OND2_TechRep_2	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ FT;AC=MS:1000448	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable; NT=Deamidation;AC=UNIMOD:7;TA=N,Q;MT=Variable	1	2	D1_OND2_TechRep_2.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	other neurological disorder
D1_OND3_TechRep_1	Homo sapiens	temporal neocortex	other neurological disorder	not available	not available	3	D1_OND3_TechRep_1	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ FT;AC=MS:1000448	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable; NT=Deamidation;AC=UNIMOD:7;TA=N,Q;MT=Variable	1	1	D1_OND3_TechRep_1.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	other neurological disorder
D1_OND3_TechRep_2	Homo sapiens	temporal neocortex	other neurological disorder	not available	not available	3	D1_OND3_TechRep_2	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ FT;AC=MS:1000448	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable; NT=Deamidation;AC=UNIMOD:7;TA=N,Q;MT=Variable	1	2	D1_OND3_TechRep_2.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	other neurological disorder
D1_OND4_TechRep_1	Homo sapiens	temporal neocortex	other neurological disorder	not available	not available	4	D1_OND4_TechRep_1	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ FT;AC=MS:1000448	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable; NT=Deamidation;AC=UNIMOD:7;TA=N,Q;MT=Variable	1	1	D1_OND4_TechRep_1.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	other neurological disorder
D1_OND4_TechRep_2	Homo sapiens	temporal neocortex	other neurological disorder	not available	not available	4	D1_OND4_TechRep_2	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ FT;AC=MS:1000448	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable; NT=Deamidation;AC=UNIMOD:7;TA=N,Q;MT=Variable	1	2	D1_OND4_TechRep_2.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	other neurological disorder
D1_OND5_TechRep_1	Homo sapiens	temporal neocortex	other neurological disorder	not available	not available	5	D1_OND5_TechRep_1	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ FT;AC=MS:1000448	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable; NT=Deamidation;AC=UNIMOD:7;TA=N,Q;MT=Variable	1	1	D1_OND5_TechRep_1.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	other neurological disorder
D1_OND5_TechRep_2	Homo sapiens	temporal neocortex	other neurological disorder	not available	not available	5	D1_OND5_TechRep_2	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ FT;AC=MS:1000448	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable; NT=Deamidation;AC=UNIMOD:7;TA=N,Q;MT=Variable	1	2	D1_OND5_TechRep_2.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	other neurological disorder
D2_AD1_TechRep_1	Homo sapiens	temporal neocortex	Alzheimer's disease	not available	not available	1	D2_AD1_TechRep_1	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ FT;AC=MS:1000448	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable; NT=Deamidation;AC=UNIMOD:7;TA=N,Q;MT=Variable	1	1	D2_AD1_TechRep_1.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	Alzheimer's disease
D2_AD1_TechRep_2	Homo sapiens	temporal neocortex	Alzheimer's disease	not available	not available	1	D2_AD1_TechRep_2	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ FT;AC=MS:1000448	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable; NT=Deamidation;AC=UNIMOD:7;TA=N,Q;MT=Variable	1	2	D2_AD1_TechRep_2.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	Alzheimer's disease
D2_AD1_TechRep_3	Homo sapiens	temporal neocortex	Alzheimer's disease	not available	not available	1	D2_AD1_TechRep_3	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ FT;AC=MS:1000448	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable; NT=Deamidation;AC=UNIMOD:7;TA=N,Q;MT=Variable	1	3	D2_AD1_TechRep_3.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	Alzheimer's disease
D2_AD2_TechRep_1	Homo sapiens	temporal neocortex	Alzheimer's disease	not available	not available	2	D2_AD2_TechRep_1	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ FT;AC=MS:1000448	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable; NT=Deamidation;AC=UNIMOD:7;TA=N,Q;MT=Variable	1	1	D2_AD2_TechRep_1.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	Alzheimer's disease
